ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/extra_tomb_king_lords	
stephen_anc_mount_tomb_king_warsphinx	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_steed	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_chariot	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_grief_warsphinx	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_grief_steed	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_grief_chariot	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_terror_warsphinx	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_terror_steed	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_terror_chariot	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_madness_warsphinx	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_madness_steed	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_madness_chariot	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_sacrament_warsphinx	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_sacrament_steed	wh2_dlc09_sc_tmb_tomb_kings
stephen_anc_mount_tomb_king_sacrament_chariot	wh2_dlc09_sc_tmb_tomb_kings
