type	ui_icon
#ancillary_types_tables	0	db/ancillary_types_tables/extra_tomb_king_lords
stephen_anc_mount_tomb_king_warsphinx	ui/campaign ui/mounts/mount_warsphinx.png
stephen_anc_mount_tomb_king_steed	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
stephen_anc_mount_tomb_king_chariot	ui/campaign ui/mounts/mount_skeleton_chariot.png
stephen_anc_mount_tomb_king_grief_warsphinx	ui/campaign ui/mounts/mount_warsphinx.png
stephen_anc_mount_tomb_king_grief_steed	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
stephen_anc_mount_tomb_king_grief_chariot	ui/campaign ui/mounts/mount_chariot_of_the_gods.png
stephen_anc_mount_tomb_king_terror_warsphinx	ui/campaign ui/mounts/mount_warsphinx.png
stephen_anc_mount_tomb_king_terror_steed	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
stephen_anc_mount_tomb_king_terror_chariot	ui/campaign ui/mounts/mount_chariot_of_the_gods.png
stephen_anc_mount_tomb_king_madness_warsphinx	ui/campaign ui/mounts/mount_warsphinx.png
stephen_anc_mount_tomb_king_madness_steed	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
stephen_anc_mount_tomb_king_madness_chariot	ui/campaign ui/mounts/mount_chariot_of_the_gods.png
stephen_anc_mount_tomb_king_sacrament_warsphinx	ui/campaign ui/mounts/mount_warsphinx.png
stephen_anc_mount_tomb_king_sacrament_steed	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
stephen_anc_mount_tomb_king_sacrament_chariot	ui/campaign ui/mounts/mount_chariot_of_the_gods.png
