armed_citizenry_units_to_unit_groups_junctions_tables	0
id	unit_group	unit	priority
8877669002	wh2_dlc09_tmb_inf_crypt_ghouls	wh2_dlc09_tmb_inf_crypt_ghouls	120
8877669003	steve_ark_cairn_wraith	steve_ark_cairn_wraith	120
8877669004	steve_ark_grave_guard	steve_ark_grave_guard	120
8877669005	wh2_dlc09_tmb_cav_hexwraiths	wh2_dlc09_tmb_cav_hexwraiths	120
8877669006	wh2_dlc09_tmb_mon_fell_bats	wh2_dlc09_tmb_mon_fell_bats	120
8877669007	steve_ark_crypt_horror	steve_ark_crypt_horror	120
8877669008	steve_ark_terrorgheist	steve_ark_terrorgheist	120
8877668911	arkhan_garrison_1	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668912	arkhan_garrison_1	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668913	arkhan_garrison_1	wh2_dlc09_tmb_mon_fell_bats	100
8877668914	arkhan_garrison_1	wh2_dlc09_tmb_inf_skeleton_archers_0	100
8877668915	arkhan_garrison_1	wh2_dlc09_tmb_inf_skeleton_archers_0	100
8877668916	arkhan_garrison_2	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668917	arkhan_garrison_2	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668918	arkhan_garrison_2	wh2_dlc09_tmb_inf_skeleton_archers_0	100
8877668919	arkhan_garrison_2	wh2_dlc09_tmb_inf_skeleton_archers_0	100
8877668920	arkhan_garrison_2	wh2_dlc09_tmb_cav_hexwraiths	100
8877668921	arkhan_garrison_2	wh2_dlc09_tmb_mon_fell_bats	100
8877668922	arkhan_walls_1	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668923	arkhan_walls_1	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668924	arkhan_walls_1	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668925	arkhan_walls_1	wh2_dlc09_tmb_inf_skeleton_archers_0	100
8877668926	arkhan_walls_1	wh2_dlc09_tmb_inf_skeleton_archers_0	100
8877668927	arkhan_walls_2	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668928	arkhan_walls_2	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668929	arkhan_walls_2	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668930	arkhan_walls_2	wh2_dlc09_tmb_cav_hexwraiths	100
8877668931	arkhan_walls_2	wh2_dlc09_tmb_inf_skeleton_archers_0	100
8877668932	arkhan_walls_2	wh2_dlc09_tmb_inf_skeleton_archers_0	100
8877668933	arkhan_walls_3	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668934	arkhan_walls_3	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668935	arkhan_walls_3	wh2_dlc09_tmb_mon_necrosphinx_0	100
8877668936	arkhan_walls_3	steve_ark_grave_guard	100
8877668937	arkhan_walls_3	steve_ark_grave_guard	100
8877668938	arkhan_walls_3	wh2_dlc09_tmb_cav_hexwraiths	100
8877668939	arkhan_walls_3	wh2_dlc09_tmb_inf_skeleton_archers_0	100
8877668940	arkhan_walls_3	wh2_dlc09_tmb_inf_skeleton_archers_0	100
8877668941	arkhan_great_necropolis_1	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668942	arkhan_great_necropolis_1	wh2_dlc09_tmb_inf_crypt_ghouls	100
8877668943	arkhan_great_necropolis_2	steve_ark_grave_guard	100
8877668944	arkhan_great_necropolis_2	steve_ark_grave_guard	100
8877668945	arkhan_great_necropolis_3	steve_ark_grave_guard	100
8877668946	arkhan_great_necropolis_3	steve_ark_grave_guard	100
