key	man_animations_table	type	variant	battle_entity	rider_attachment_point	battle_entity_stats	autonomous_rider_hero
#battle_personalities_tables	9	db/battle_personalities_tables/extra_tomb_king_lords
stephen_tmb_tomb_king_chariot_rider	hu1_tomb_wm_tomb_chariot01_sword_and_shield	autonomous_rider	arkhan_tmb_tomb_king_1	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_1		false
stephen_tmb_tomb_king_warsphinx	hu1_tomb_skeleton_sword_and_shield	autonomous_rider	arkhan_tmb_tomb_king_1	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_0		false
stephen_tmb_tomb_king_grief_chariot_rider	hu1_tomb_wm_tomb_chariot01_sword_and_shield	autonomous_rider	arkhan_tmb_tomb_king_grief_1	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_1		false
stephen_tmb_tomb_king_terror_chariot_rider	hu1_tomb_wm_tomb_chariot01_sword_and_shield	autonomous_rider	arkhan_tmb_tomb_king_terror_1	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_1		false
stephen_tmb_tomb_king_madness_chariot_rider	hu1_tomb_wm_tomb_chariot01_sword_and_shield	autonomous_rider	arkhan_tmb_tomb_king_madness_1	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_1		false
stephen_tmb_tomb_king_sacrament_chariot_rider	hu1_tomb_wm_tomb_chariot01_sword_and_shield	autonomous_rider	arkhan_tmb_tomb_king_sacrament_1	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_1		false
stephen_tmb_tomb_king_grief_warsphinx	hu1_tomb_skeleton_sword_and_shield	autonomous_rider	arkhan_tmb_tomb_king_grief_1	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_0		false
stephen_tmb_tomb_king_terror_warsphinx	hu1_tomb_skeleton_sword_and_shield	autonomous_rider	arkhan_tmb_tomb_king_terror_1	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_0		false
stephen_tmb_tomb_king_madness_warsphinx	hu1_tomb_skeleton_sword_and_shield	autonomous_rider	arkhan_tmb_tomb_king_madness_1	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_0		false
stephen_tmb_tomb_king_sacrament_warsphinx	hu1_tomb_skeleton_sword_and_shield	autonomous_rider	arkhan_tmb_tomb_king_sacrament_1	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_0		false
