key	man_animations_table	type	variant	battle_entity	rider_attachment_point	battle_entity_stats	autonomous_rider_hero
#battle_personalities_tables	9	db/battle_personalities_tables/sda_tomb_kings
wh_dlc04_vmp_mortis_engine_rider1_steve	hu1_liche_priest_staff_and_sword	autonomous_rider	wh2_dlc09_tmb_liche_priest_casket	wh_main_infantry_rider	ap_crewposition_0		true
wh_dlc04_vmp_mortis_engine_banshee1_arkhan	gh1_banshee_mortisengine	autonomous_rider	wh_vmp_ghost_cairnwraith_nagash	wh_main_infantry_rider	ap_banshee_0		false
wh_dlc04_vmp_mortis_engine_banshee2_arkhan	gh1_banshee_mortisengine	autonomous_rider	wh_vmp_ghost_cairnwraith_nagash	wh_main_infantry_rider	ap_banshee_1		false
wh_dlc04_vmp_mortis_engine_banshee3_arkhan	gh1_banshee_mortisengine	autonomous_rider	wh_vmp_ghost_cairnwraith_nagash	wh_main_infantry_rider	ap_banshee_2		false
wh_dlc04_vmp_mortis_engine_cairn_wraith1_arkhan	gh1_cairn_wraith_nagash	autonomous_rider	wh_vmp_ghost_cairnwraith_nagash	wh_main_infantry_rider	ap_cairn_wraith_0		false
wh_dlc04_vmp_mortis_engine_cairn_wraith2_arkhan	gh1_cairn_wraith_nagash	autonomous_rider	wh_vmp_ghost_cairnwraith_nagash	wh_main_infantry_rider	ap_cairn_wraith_1		false
wh_dlc04_vmp_mortis_engine_horse1_arkhan	hr1_vmp_skeletal_steed_mortisengine	autonomous_rider	wh2_dlc09_tmb_skeletal_steed_mortis_engine	wh_main_infantry_rider	ap_draughtposition_0		false
wh_dlc04_vmp_mortis_engine_horse2_arkhan	hr1_vmp_skeletal_steed_mortisengine	autonomous_rider	wh2_dlc09_tmb_skeletal_steed_mortis_engine	wh_main_infantry_rider	ap_draughtposition_1		false
wh_dlc04_vmp_mortis_engine_horse3_arkhan	hr1_vmp_skeletal_steed_mortisengine	autonomous_rider	wh2_dlc09_tmb_skeletal_steed_mortis_engine	wh_main_infantry_rider	ap_draughtposition_2		false
wh_dlc04_vmp_mortis_engine_knight01_arkhan	hu1_skeleton_hr1_skeletal_steed_mortis_engine	autonomous_rider	wh2_dlc09_tmb_tomb_guard_halberd_shield	wh_main_infantry_rider	ap_riderposition_0		false
wh_dlc04_vmp_mortis_engine_knight02_arkhan	hu1_skeleton_hr1_skeletal_steed_mortis_engine	autonomous_rider	wh2_dlc09_tmb_tomb_guard_halberd_shield	wh_main_infantry_rider	ap_riderposition_1		false
wh_dlc04_vmp_mortis_engine_knight03_arkhan	hu1_skeleton_hr1_skeletal_steed_mortis_engine	autonomous_rider	wh2_dlc09_tmb_tomb_guard_halberd_shield	wh_main_infantry_rider	ap_riderposition_2		false
wh_dlc04_vmp_mortis_engine_skeleton1_arkhan	hu1_sk_mortisengine_left_00	autonomous_rider	wh2_dlc09_tmb_tomb_guard_dual_swords_ror	wh_main_infantry_rider	ap_skeleton_0		false
wh_dlc04_vmp_mortis_engine_skeleton2_arkhan	hu1_sk_mortisengine_left_01	autonomous_rider	wh2_dlc09_tmb_skeleton_armoured_sword_shield	wh_main_infantry_rider	ap_skeleton_1		false
wh_dlc04_vmp_mortis_engine_skeleton3_arkhan	hu1_sk_mortisengine_left_02	autonomous_rider	wh2_dlc09_tmb_skeleton_sword	wh_main_infantry_rider	ap_skeleton_2		false
wh_dlc04_vmp_mortis_engine_skeleton4_arkhan	hu1_sk_mortisengine_right_00	autonomous_rider	wh2_dlc09_tmb_skeleton_sword_shield	wh_main_infantry_rider	ap_skeleton_3		false
wh_dlc04_vmp_mortis_engine_skeleton5_arkhan	hu1_sk_mortisengine_right_01	autonomous_rider	wh2_dlc09_tmb_tomb_guard_dual_swords_ror	wh_main_infantry_rider	ap_skeleton_4		false
wh_dlc04_vmp_mortis_engine_skeleton6_arkhan	hu1_sk_mortisengine_right_02	autonomous_rider	wh2_dlc09_tmb_tomb_guard_spear_shield_ror	wh_main_infantry_rider	ap_skeleton_5		false
