building	effect	value	effect_scope	value_damaged	value_ruined
#building_effects_junction_tables	3	db/building_effects_junction_tables/sda_tomb_kings
wh2_dlc09_tmb_arkhan_burial_mound	wh_main_effect_religion_conversion_undeath	1.0	region_to_region_own	1.0	0.0
wh2_dlc09_tmb_arkhan_burial_mound	sda_effect_unit_cap_steve_ark_skeleton_archers	4.0	building_to_faction_own	2.0	0.0
wh2_dlc09_tmb_arkhan_burial_mound_2	wh_main_effect_religion_conversion_undeath	1.0	region_to_region_own	1.0	0.0
wh2_dlc09_tmb_arkhan_burial_mound_2	wh2_dlc09_effect_unit_cap_steve_ark_grave_guard	2.0	building_to_faction_own	1.0	0.0
wh2_dlc09_tmb_arkhan_burial_mound_2	wh2_dlc09_effect_unit_cap_steve_ark_grave_guard_great	1.0	building_to_faction_own	1.0	0.0
wh2_dlc09_tmb_arkhan_burial_mound_2	sda_effect_unit_cap_steve_ark_skeleton_archers	4.0	building_to_faction_own	2.0	0.0
arkhan_vmp_halls_dead_0	wh_main_effect_religion_conversion_undeath	1.0	region_to_region_own	1.0	0.0
arkhan_vmp_halls_dead_0	sda_effect_unit_cap_steve_ark_cairn_wraith	4.0	building_to_faction_own	1.0	0.0
arkhan_vmp_halls_dead_1	wh_main_effect_religion_conversion_undeath	1.0	region_to_region_own	1.0	0.0
arkhan_vmp_halls_dead_1	sda_effect_unit_cap_steve_ark_cairn_wraith	4.0	building_to_faction_own	1.0	0.0
arkhan_vmp_halls_dead_1	wh2_dlc09_effect_unit_cap_tmb_cav_hexwraiths_replacement	2.0	building_to_faction_own	1.0	0.0
arkhan_vmp_halls_dead_2	wh_main_effect_religion_conversion_undeath	1.0	region_to_region_own	1.0	0.0
arkhan_vmp_halls_dead_2	sda_effect_unit_cap_steve_ark_cairn_wraith	6.0	building_to_faction_own	3.0	0.0
arkhan_vmp_halls_dead_2	wh2_dlc09_effect_unit_cap_tmb_cav_hexwraiths_replacement	2.0	building_to_faction_own	1.0	0.0
arkhan_vmp_halls_dead_2	sda_effect_unit_cap_steve_ark_mortis_engine	1.0	building_to_faction_own	1.0	0.0
arkhan_vmp_great_necropolis_1	wh_dlc03_effect_technology_research_points	4.0	faction_to_faction_own_unseen	2.0	0.0
arkhan_vmp_great_necropolis_1	wh_main_effect_military_force_winds_of_magic_depletion_mod_other	2.0	faction_to_force_own	1.0	0.0
arkhan_vmp_great_necropolis_1	wh2_main_effect_campaign_enemy_attrition_vampiric_attrition_casualties	10.0	region_to_force_enemy	5.0	0.0
arkhan_vmp_great_necropolis_1	wh_main_effect_religion_conversion_undeath	5.0	region_to_region_own	1.0	0.0
arkhan_vmp_great_necropolis_2	wh_dlc03_effect_technology_research_points	8.0	faction_to_faction_own_unseen	4.0	0.0
arkhan_vmp_great_necropolis_2	wh_main_effect_military_force_winds_of_magic_depletion_mod_other	3.0	faction_to_force_own	1.0	0.0
arkhan_vmp_great_necropolis_2	wh2_main_effect_campaign_enemy_attrition_vampiric_attrition_casualties	15.0	region_to_force_enemy	7.0	0.0
arkhan_vmp_great_necropolis_2	arkhan_necromantic_dummy	3.0	region_to_province_own	3.0	0.0
arkhan_vmp_great_necropolis_2	wh_main_effect_religion_conversion_undeath	10.0	region_to_region_own	1.0	0.0
arkhan_vmp_great_necropolis_2	wh_main_faction_xp_increase_generals	1.0	faction_to_province_own	1.0	0.0
arkhan_vmp_great_necropolis_2	wh2_dlc09_effect_unit_cap_tmb_art_screaming_skull_catapult_0	2.0	building_to_faction_own	1.0	0.0
arkhan_vmp_great_necropolis_2	wh2_dlc09_pooled_resource_canopic_jars_buildings	1.0	region_to_region_own	1.0	0.0
arkhan_vmp_great_necropolis_3	wh_dlc03_effect_technology_research_points	12.0	faction_to_faction_own_unseen	6.0	0.0
arkhan_vmp_great_necropolis_3	wh_main_effect_military_force_winds_of_magic_depletion_mod_other	4.0	faction_to_force_own	2.0	0.0
arkhan_vmp_great_necropolis_3	wh2_main_effect_campaign_enemy_attrition_vampiric_attrition_casualties	20.0	region_to_force_enemy	10.0	0.0
arkhan_vmp_great_necropolis_3	arkhan_necromantic_dummy	5.0	region_to_province_own	5.0	0.0
arkhan_vmp_great_necropolis_3	wh_main_effect_religion_conversion_undeath	15.0	region_to_region_own	1.0	0.0
arkhan_vmp_great_necropolis_3	wh_main_faction_xp_increase_generals	2.0	faction_to_province_own_unseen	1.0	0.0
arkhan_vmp_great_necropolis_3	wh2_dlc09_effect_unit_cap_tmb_art_screaming_skull_catapult_0	2.0	building_to_faction_own	1.0	0.0
arkhan_vmp_great_necropolis_3	wh2_dlc09_pooled_resource_canopic_jars_buildings	2.0	region_to_region_own	1.0	0.0
arkhan_vmp_fell_tree_1	wh_main_effect_religion_conversion_undeath	1.0	region_to_region_own	1.0	0.0
arkhan_vmp_fell_tree_1	wh2_dlc09_effect_unit_cap_steve_ark_crypt_horror	2.0	building_to_faction_own	1.0	0.0
arkhan_vmp_fell_tree_2	wh_main_effect_religion_conversion_undeath	1.0	region_to_region_own	1.0	0.0
arkhan_vmp_fell_tree_2	wh2_dlc09_effect_unit_cap_steve_ark_crypt_horror	2.0	building_to_faction_own	1.0	0.0
arkhan_vmp_fell_tree_2	wh2_dlc09_effect_unit_cap_steve_ark_vargheist	1.0	building_to_faction_own	1.0	0.0
arkhan_vmp_fell_tree_3	wh_main_effect_religion_conversion_undeath	1.0	region_to_region_own	1.0	0.0
arkhan_vmp_fell_tree_3	wh2_dlc09_effect_unit_cap_steve_ark_crypt_horror	2.0	building_to_faction_own	1.0	0.0
arkhan_vmp_fell_tree_3	wh2_dlc09_effect_unit_cap_steve_ark_vargheist	2.0	building_to_faction_own	1.0	0.0
arkhan_vmp_fell_tree_3	wh2_dlc09_effect_unit_cap_steve_ark_terrorgheist	1.0	building_to_faction_own	1.0	0.0
arkhan_vmp_balefire_1	wh_main_effect_public_order_base	4.0	province_to_province_own	2.0	0.0
arkhan_vmp_balefire_1	wh_main_effect_religion_conversion_undeath	4.0	region_to_region_own	2.0	0.0
arkhan_vmp_balefire_1	wh2_dlc09_effect_unit_cap_tmb_mon_fell_bats_replacement	4.0	building_to_faction_own	1.0	0.0
arkhan_vmp_balefire_1	wh2_dlc09_effect_unit_cap_tmb_mon_dire_wolves_replacement	4.0	building_to_faction_own	1.0	0.0
arkhan_vmp_balefire_1	wh2_dlc09_effect_unit_cap_tmb_inf_crypt_ghouls_replacement	4.0	building_to_faction_own	1.0	0.0
arkhan_vmp_balefire_2	wh_main_effect_public_order_base	6.0	province_to_province_own	3.0	0.0
arkhan_vmp_balefire_2	wh_main_effect_religion_conversion_undeath	6.0	region_to_region_own	3.0	0.0
arkhan_vmp_balefire_2	wh2_dlc09_effect_unit_cap_tmb_mon_fell_bats_replacement	4.0	building_to_faction_own	1.0	0.0
arkhan_vmp_balefire_2	wh2_dlc09_effect_unit_cap_tmb_mon_dire_wolves_replacement	4.0	building_to_faction_own	1.0	0.0
arkhan_vmp_balefire_2	wh2_dlc09_effect_unit_cap_tmb_inf_crypt_ghouls_replacement	4.0	building_to_faction_own	1.0	0.0
arkhan_vmp_balefire_3	wh_main_effect_public_order_base	8.0	province_to_province_own	4.0	0.0
arkhan_vmp_balefire_3	wh_main_effect_religion_conversion_undeath	8.0	region_to_region_own	4.0	0.0
arkhan_vmp_balefire_3	wh2_dlc09_effect_unit_cap_tmb_mon_fell_bats_replacement	4.0	building_to_faction_own	1.0	0.0
arkhan_vmp_balefire_3	wh2_dlc09_effect_unit_cap_tmb_mon_dire_wolves_replacement	4.0	building_to_faction_own	1.0	0.0
arkhan_vmp_balefire_3	wh2_dlc09_effect_unit_cap_tmb_inf_crypt_ghouls_replacement	4.0	building_to_faction_own	1.0	0.0
