building	effect	value	effect_scope	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/sda_tomb_kings_garrisons					
arkhan_minor_walls_1	wh_main_effect_religion_conversion_undeath	1.0	region_to_region_own	1.0	0.0
arkhan_minor_walls_2	wh_main_effect_religion_conversion_undeath	1.0	region_to_region_own	1.0	0.0
arkhan_minor_walls_2	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
arkhan_minor_walls_2	wh_main_effect_textonly_walls	1.0	region_to_region_own	1.0	0.0
arkhan_minor_walls_2	tech_arkhan_enable_garrison_ability_skullstorm	1.0	region_to_force_own	1.0	0.0
arkhan_major_walls_1	wh_main_effect_religion_conversion_undeath	1.0	region_to_region_own	1.0	0.0
arkhan_major_walls_1	tech_arkhan_enable_garrison_ability_skullstorm	1.0	region_to_force_own	1.0	0.0
arkhan_major_walls_1	wh2_main_effect_tower_projectile_lzd_2	2.0	region_to_region_own	2.0	2.0
arkhan_major_walls_2	wh_main_effect_religion_conversion_undeath	1.0	region_to_region_own	1.0	0.0
arkhan_major_walls_2	tech_arkhan_enable_garrison_ability_skullstorm	1.0	region_to_force_own	1.0	0.0
arkhan_major_walls_2	wh2_main_effect_tower_projectile_lzd_3	3.0	region_to_region_own	3.0	3.0
arkhan_major_walls_3	wh_main_effect_religion_conversion_undeath	1.0	region_to_region_own	1.0	0.0
arkhan_major_walls_3	tech_arkhan_enable_garrison_ability_skullstorm	1.0	region_to_force_own	1.0	0.0
arkhan_major_walls_3	wh2_main_effect_tower_projectile_lzd_4	4.0	region_to_region_own	4.0	4.0
