building_set_to_building_junctions_tables	0
building_set	building_level	building_chain	exclude
wh2_dlc09_set_tomb_kings_basic_infra	arkhan_vmp_balefire_1		false
wh2_dlc09_set_tomb_kings_basic_infra	arkhan_vmp_balefire_2		false
wh2_dlc09_set_tomb_kings_basic_infra	arkhan_vmp_balefire_3		false
wh2_dlc09_set_tomb_kings_basic_infra	arkhan_vmp_great_necropolis_1		false
wh2_dlc09_set_tomb_kings_basic_infra	arkhan_vmp_great_necropolis_2		false
wh2_dlc09_set_tomb_kings_basic_infra	arkhan_vmp_great_necropolis_3		false
wh2_dlc09_set_tomb_kings_defence		arkhan_minor_walls	false
wh2_dlc09_set_tomb_kings_defence		arkhan_major_walls	false
wh2_dlc09_set_tomb_kings_infrastructure		arkhan_vmp_balefire	false
wh2_dlc09_set_tomb_kings_infrastructure		arkhan_vmp_great_necropolis	false
wh2_dlc09_set_tomb_kings_infrastructure		arkhan_vmp_halls_dead	false
wh2_dlc09_set_tomb_kings_infantry	wh2_dlc09_tmb_arkhan_burial_mound_2		false
wh2_dlc09_set_tomb_kings_infantry	wh2_dlc09_tmb_arkhan_burial_mound		false
wh2_dlc09_set_tomb_kings_economy	arkhan_vmp_halls_dead_0		false
wh2_dlc09_set_tomb_kings_economy	arkhan_vmp_halls_dead_1		false
wh2_dlc09_set_tomb_kings_economy	arkhan_vmp_halls_dead_2		false
wh2_dlc09_set_tomb_kings_economy	arkhan_vmp_balefire_1		false
wh2_dlc09_set_tomb_kings_economy	arkhan_vmp_balefire_2		false
wh2_dlc09_set_tomb_kings_economy	arkhan_vmp_balefire_3		false
wh2_dlc09_set_tomb_kings_economy	arkhan_vmp_great_necropolis_1		false
wh2_dlc09_set_tomb_kings_economy	arkhan_vmp_great_necropolis_2		false
wh2_dlc09_set_tomb_kings_economy	arkhan_vmp_great_necropolis_3		false
wh2_dlc09_set_tomb_kings_garrison	arkhan_awaken_battlefield_1		false
wh2_dlc09_set_tomb_kings_garrison	arkhan_minor_walls_1		false
wh2_dlc09_set_tomb_kings_garrison	arkhan_minor_walls_2		false
wh2_dlc09_set_tomb_kings_garrison	arkhan_major_walls_1		false
wh2_dlc09_set_tomb_kings_garrison	arkhan_major_walls_2		false
wh2_dlc09_set_tomb_kings_garrison	arkhan_major_walls_3		false
wh2_dlc09_set_tomb_kings_constructs	arkhan_vmp_fell_tree_1		false
wh2_dlc09_set_tomb_kings_constructs	arkhan_vmp_fell_tree_2		false
wh2_dlc09_set_tomb_kings_constructs	arkhan_vmp_fell_tree_3		false
wh2_dlc09_set_tomb_kings_military_support		arkhan_vmp_fell_tree	false
wh2_dlc09_set_tomb_kings_estate_citadel	arkhan_vmp_halls_dead_0		false
wh2_dlc09_set_tomb_kings_estate_citadel	arkhan_vmp_halls_dead_1		false
wh2_dlc09_set_tomb_kings_estate_citadel	arkhan_vmp_halls_dead_2		false
