from	to
#building_upgrades_junction_tables	0	db/building_upgrades_junction_tables/sda_tomb_kings
arkhan_minor_walls_1	arkhan_minor_walls_2
arkhan_major_walls_1	arkhan_major_walls_2
arkhan_major_walls_2	arkhan_major_walls_3
arkhan_vmp_halls_dead_0	arkhan_vmp_halls_dead_1
arkhan_vmp_halls_dead_1	arkhan_vmp_halls_dead_2
arkhan_vmp_fell_tree_1	arkhan_vmp_fell_tree_2
arkhan_vmp_fell_tree_2	arkhan_vmp_fell_tree_3
arkhan_vmp_guns_powder_1	arkhan_vmp_guns_powder_2
arkhan_vmp_guns_powder_2	arkhan_vmp_guns_powder_3
arkhan_vmp_guns_powder_3	arkhan_vmp_guns_powder_4
arkhan_vmp_balefire_1	arkhan_vmp_balefire_2
arkhan_vmp_balefire_2	arkhan_vmp_balefire_3
arkhan_vmp_great_necropolis_1	arkhan_vmp_great_necropolis_2
arkhan_vmp_great_necropolis_2	arkhan_vmp_great_necropolis_3
arkhan_vmp_ushabti_1	arkhan_vmp_ushabti_2
