key	path_key	priority
#cai_personalities_technology_research_path_junctions_tables	0	db/cai_personalities_technology_research_path_junctions_tables/arkhan_technology
dlc09_tmb_followers_of_nagash	followers_army_unlock_left	10
dlc09_tmb_followers_of_nagash	followers_army_unlock_right	7
dlc09_tmb_followers_of_nagash	followers_army_ability_1	5
dlc09_tmb_followers_of_nagash	followers_army_ability_2	5
dlc09_tmb_followers_of_nagash	followers_army_ability_3	5
dlc09_tmb_followers_of_nagash	followers_rank_7_left	5
dlc09_tmb_followers_of_nagash	followers_rank_7_right	5
dlc09_tmb_followers_of_nagash	followers_lord_unlock_left	6
dlc09_tmb_followers_of_nagash	followers_lord_unlock_right	6
