campaign_character_arts_tables	7
art_set_id	level	season	age	portrait	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	id	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
stephen_art_set_tmb_tomb_king_01	0	none	0		wh2_dlc09_uniform_tmb_tomb_king_01			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06	1279683		0	0	0
stephen_art_set_tmb_tomb_king_02	0	none	0		wh2_dlc09_uniform_tmb_tomb_king_02			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06	1279684		0	0	0
stephen_art_set_tmb_tomb_king_03	0	none	0		wh2_dlc09_uniform_tmb_tomb_king_03			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06	1279685		0	0	0
stephen_art_set_tmb_tomb_king_04	0	none	0		wh2_dlc09_uniform_tmb_tomb_king_04			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06	1279686		0	0	0
stephen_art_set_tmb_tomb_king_05	0	none	0		wh2_dlc09_uniform_tmb_tomb_king_05			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06	1279687		0	0	0
stephen_art_set_tmb_tomb_king_06	0	none	0		wh2_dlc09_uniform_tmb_tomb_king_01			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06	1279688		0	0	0
stephen_art_set_tmb_tomb_king_07	0	none	0		wh2_dlc09_uniform_tmb_tomb_king_02			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06	1279689		0	0	0
stephen_art_set_liche_priest_death_1	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_01			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279690		44	0	0
stephen_art_set_liche_priest_death_2	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_02			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279691		44	0	0
stephen_art_set_liche_priest_death_3	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_03			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279692		44	0	0
