character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
#campaign_mount_animation_set_overrides_tables	2	db/campaign_mount_animation_set_overrides_tables/extra_tomb_king_lords
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_2	cam_lord_hu1_tomb_hr1_tomb_steed_sword_and_shield	0
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_3	cam_hu1_tomb_sword_and_shield_chariot	0
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_4	cam_hu1_tomb_sword_and_shield_chariot	0
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_grief_horse	cam_lord_hu1_tomb_hr1_tomb_steed_sword_and_shield	0
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_grief_chariot	cam_hu1_tomb_sword_and_shield_chariot	45
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_grief_warsphinx	cam_hu1_tomb_sword_and_shield_chariot	45
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_terror_horse	cam_lord_hu1_tomb_hr1_tomb_steed_sword_and_shield	0
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_terror_chariot	cam_hu1_tomb_sword_and_shield_chariot	45
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_terror_warsphinx	cam_hu1_tomb_sword_and_shield_chariot	45
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_madness_horse	cam_lord_hu1_tomb_hr1_tomb_steed_sword_and_shield	0
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_madness_chariot	cam_hu1_tomb_sword_and_shield_chariot	45
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_madness_warsphinx	cam_hu1_tomb_sword_and_shield_chariot	45
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_sacrament_horse	cam_lord_hu1_tomb_hr1_tomb_steed_sword_and_shield	0
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_sacrament_chariot	cam_hu1_tomb_sword_and_shield_chariot	45
cam_hu1_empire_sword_and_shield	stephen_tmb_cha_tomb_king_sacrament_warsphinx	cam_hu1_tomb_sword_and_shield_chariot	45
