character_skill_level_to_effects_junctions_tables	1
character_skill_key	level	effect_key	value	effect_scope
the_rise_of_nagash_skilldump_1	1	wh2_dlc09_pooled_resource_canopic_jars_characters	1.0	character_to_faction_unseen
the_rise_of_nagash_skilldump_1	1	wh_main_effect_agent_action_success_chance_enemy_skill	-1.0	character_to_character_own
the_rise_of_nagash_skilldump_1	2	wh2_dlc09_pooled_resource_canopic_jars_characters	2.0	character_to_faction_unseen
the_rise_of_nagash_skilldump_1	2	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
the_rise_of_nagash_skilldump_1	3	wh2_dlc09_pooled_resource_canopic_jars_characters	3.0	character_to_faction_unseen
the_rise_of_nagash_skilldump_1	3	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
the_rise_of_nagash_skilldump_1	4	wh2_dlc09_pooled_resource_canopic_jars_characters	4.0	character_to_faction_unseen
the_rise_of_nagash_skilldump_1	4	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
the_rise_of_nagash_skilldump_1	5	wh2_dlc09_pooled_resource_canopic_jars_characters	5.0	character_to_faction_unseen
the_rise_of_nagash_skilldump_1	5	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
the_rise_of_nagash_skilldump_1	6	wh2_dlc09_pooled_resource_canopic_jars_characters	6.0	character_to_faction_unseen
the_rise_of_nagash_skilldump_1	6	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
the_rise_of_nagash_skilldump_1	7	wh2_dlc09_pooled_resource_canopic_jars_characters	7.0	character_to_faction_unseen
the_rise_of_nagash_skilldump_1	7	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
the_rise_of_nagash_skilldump_1	8	wh2_dlc09_pooled_resource_canopic_jars_characters	8.0	character_to_faction_unseen
the_rise_of_nagash_skilldump_1	8	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
the_rise_of_nagash_skilldump_1	9	wh2_dlc09_pooled_resource_canopic_jars_characters	9.0	character_to_faction_unseen
the_rise_of_nagash_skilldump_1	9	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
the_rise_of_nagash_skilldump_1	10	wh2_dlc09_pooled_resource_canopic_jars_characters	10.0	character_to_faction_unseen
the_rise_of_nagash_skilldump_1	10	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
the_rise_of_nagash_skilldump_1	11	wh2_dlc09_pooled_resource_canopic_jars_characters	10.0	character_to_faction_unseen
the_rise_of_nagash_skilldump_1	11	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
the_rise_of_nagash_skilldump_1	12	wh2_dlc09_pooled_resource_canopic_jars_characters	10.0	character_to_faction_unseen
the_rise_of_nagash_skilldump_1	12	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
the_rise_of_nagash_skilldump_1	13	wh2_dlc09_pooled_resource_canopic_jars_characters	10.0	character_to_faction_unseen
the_rise_of_nagash_skilldump_1	13	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
