character_skill_key	level	effect_key	value	effect_scope
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/sda_tomb_kings				
arkhan_skill_mount_tmb_wizard_unique_liche_priest_death_skeletal_steed	1	wh_main_effect_agent_action_success_chance_enemy_skill	-1.0	character_to_character_own
arkhan_skill_mount_tmb_wizard_unique_liche_priest_death_skeletal_steed	1	wh_main_effect_agent_action_success_chance_skill	1.0	character_to_character_own
arkhan_skill_mount_tmb_wizard_unique_liche_priest_death_skeletal_steed	1	wh_main_effect_enable_mount_skeletal_steed	1.0	character_to_character_own
wh2_dlc09_skill_innate_tmb_arkhan	1	wh_main_effect_religion_conversion_undeath	1.0	faction_to_province_own
wh2_dlc09_skill_innate_tmb_arkhan	1	wh_main_effect_agent_enable_recruitment_wizard_steve_ark_tmb_liche_priest_vampire	1.0	faction_to_province_own
nagash_must_rise	1	skill_arkhan_passive_endless_hordes	1.0	character_to_character_own
nagash_must_rise	1	sda_skill_liber_mortis_add	3.0	character_to_character_own
nagash_must_rise	1	sda_skill_necropolis_blast_add	3.0	character_to_character_own
wh2_dlc09_skill_tmb_lord_unique_arkhan_skeleton_chariot	1	wh2_dlc17_effect_ability_enable_wayfarer	1.0	character_to_character_own
wh2_dlc09_skill_tmb_arkhan_unique_4	1	wh2_main_effect_magic_death_reduce_wom_cost_soulblight_upgraded	-2.0	character_to_character_own
wh2_dlc09_skill_tmb_arkhan_unique_4	1	wh2_main_effect_magic_death_reduce_wom_cost_the_fate_of_bjuna	-2.0	character_to_character_own
wh2_dlc09_skill_tmb_arkhan_unique_4	1	wh2_main_effect_magic_death_reduce_wom_cost_the_purple_sun_of_xereus_upgraded	-2.0	character_to_character_own
wh2_dlc09_skill_tmb_arkhan_unique_4	1	wh_main_effect_agent_action_success_chance_enemy_skill	-1.0	character_to_character_own
wh2_dlc09_skill_tmb_arkhan_unique_4	1	wh_main_effect_agent_action_success_chance_skill	1.0	character_to_character_own
wh2_dlc09_skill_tmb_arkhan_unique_4	1	wh_main_effect_battle_magic_lore_of_death_cooldown_rate	-25.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	1	wh_main_effect_agent_action_success_chance_enemy_skill	-1.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	1	wh_main_effect_agent_action_success_chance_skill	1.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	1	wh2_dlc09_effect_magic_enable_wh2_dlc09_spell_vampires_raise_dead	1.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	2	wh2_dlc09_effect_magic_enable_wh2_dlc09_spell_vampires_raise_dead_upgraded	1.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	2	wh2_dlc09_effect_magic_uses_wh2_dlc09_spell_vampires_raise_dead	1.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	2	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	2	wh_main_effect_agent_action_success_chance_skill	2.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	2	wh2_dlc09_effect_magic_cooldown_wh2_dlc09_spell_vampires_raise_dead	-30.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	3	wh2_dlc09_effect_magic_uses_wh2_dlc09_spell_vampires_raise_dead	2.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	3	wh2_dlc09_effect_magic_enable_wh2_dlc09_spell_vampires_raise_dead_upgraded	1.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	3	wh2_dlc09_effect_magic_miscast_percentage_mod_wh2_dlc09_spell_vampires_raise_dead_upgraded	-15.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	3	wh_main_effect_agent_action_success_chance_enemy_skill	-3.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	3	wh_main_effect_agent_action_success_chance_skill	3.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead	3	wh2_dlc09_effect_magic_cooldown_wh2_dlc09_spell_vampires_raise_dead	-50.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead_lord	1	wh2_dlc09_effect_magic_enable_wh2_dlc09_spell_vampires_raise_dead_upgraded	1.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead_lord	1	wh2_dlc09_effect_magic_uses_wh2_dlc09_spell_vampires_raise_dead	1.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead_lord	1	wh_main_effect_agent_action_success_chance_enemy_skill	-2.0	character_to_character_own
