character_skill_key	level	effect_key	value	effect_scope
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/unique_tomb_king_lords				
stephen_skill_tmb_tomb_king_grief_mount_chariot	1	wh2_dlc09_effect_enable_mount_tmb_chariot_of_the_gods	1.0	character_to_character_own
stephen_skill_tmb_tomb_king_grief_mount_chariot	1	wh_main_effect_agent_action_success_chance_enemy_skill	-1.0	character_to_character_own
stephen_skill_tmb_tomb_king_grief_mount_chariot	1	wh_main_effect_agent_action_success_chance_skill	1.0	character_to_character_own
stephen_skill_tmb_tomb_king_terror_mount_chariot	1	wh2_dlc09_effect_enable_mount_tmb_chariot_of_the_gods	1.0	character_to_character_own
stephen_skill_tmb_tomb_king_terror_mount_chariot	1	wh_main_effect_agent_action_success_chance_enemy_skill	-1.0	character_to_character_own
stephen_skill_tmb_tomb_king_terror_mount_chariot	1	wh_main_effect_agent_action_success_chance_skill	1.0	character_to_character_own
stephen_skill_tmb_tomb_king_madness_mount_chariot	1	wh2_dlc09_effect_enable_mount_tmb_chariot_of_the_gods	1.0	character_to_character_own
stephen_skill_tmb_tomb_king_madness_mount_chariot	1	wh_main_effect_agent_action_success_chance_enemy_skill	-1.0	character_to_character_own
stephen_skill_tmb_tomb_king_madness_mount_chariot	1	wh_main_effect_agent_action_success_chance_skill	1.0	character_to_character_own
stephen_skill_tmb_tomb_king_sacrament_mount_chariot	1	wh2_dlc09_effect_enable_mount_tmb_chariot_of_the_gods	1.0	character_to_character_own
stephen_skill_tmb_tomb_king_sacrament_mount_chariot	1	wh_main_effect_agent_action_success_chance_enemy_skill	-1.0	character_to_character_own
stephen_skill_tmb_tomb_king_sacrament_mount_chariot	1	wh_main_effect_agent_action_success_chance_skill	1.0	character_to_character_own
stephen_skill_tmb_tmb_king_innate_trait_1	1	wh2_main_effect_grant_immortality_lord	1.0	character_to_character_own
stephen_skill_tmb_tmb_king_innate_trait_1	1	skill_arkhan_lord_passive_aoe_drain_enable	1.0	character_to_character_own
stephen_skill_tmb_tmb_king_innate_trait_1	1	wh2_main_effect_campaign_enemy_attrition_vampiric_attrition_casualties	25.0	character_to_force_enemy_provincewide
stephen_skill_tmb_tmb_king_innate_trait_1	1	wh2_dlc11_effect_force_all_enemy_campaign_replenishment_rate	-10.0	character_to_force_enemy_provincewide
stephen_skill_tmb_tmb_king_innate_trait_1	1	wh_main_effect_religion_conversion_undeath	2.0	character_to_character_own
stephen_skill_tmb_tmb_king_innate_trait_2	1	wh2_main_effect_grant_immortality_lord	1.0	character_to_character_own
stephen_skill_tmb_tmb_king_innate_trait_2	1	skill_arkhan_lord_passive_aoe_debuff_enable	1.0	character_to_character_own
stephen_skill_tmb_tmb_king_innate_trait_2	1	wh_main_effect_public_order_characters_negative	-10.0	character_to_enemy_province
stephen_skill_tmb_tmb_king_innate_trait_2	1	wh_main_effect_force_army_battle_enemy_unit_morale	-5.0	character_to_force_enemy_provincewide
stephen_skill_tmb_tmb_king_innate_trait_2	1	wh_main_effect_religion_conversion_undeath	2.0	character_to_character_own
stephen_skill_tmb_tmb_king_innate_trait_3	1	wh2_main_effect_grant_immortality_lord	1.0	character_to_character_own
