character_skill_nodes_tables	5
key	character_skill_node_set_key	character_skill_key	faction_key	campaign_key	tier	indent	subculture	points_on_creation	required_num_parents	visible_in_ui
tomb_king_skill_node_undead_0	wh2_dlc09_skill_node_set_tmb_tomb_king	arkhan_skill_tmb_army_leadership	wh2_dlc09_tmb_followers_of_nagash		1.0	3.0		0	0	true
tomb_king_skill_node_undead_1	wh2_dlc09_skill_node_set_tmb_tomb_king	arkhan_skill_tmb_crypt_ghouls_crypt_horrors	wh2_dlc09_tmb_followers_of_nagash		2.0	3.0		0	0	true
tomb_king_skill_node_undead_2	wh2_dlc09_skill_node_set_tmb_tomb_king	arkhan_skill_tmb_fell_bats_dire_wolves	wh2_dlc09_tmb_followers_of_nagash		3.0	3.0		0	0	true
tomb_king_skill_node_undead_3	wh2_dlc09_skill_node_set_tmb_tomb_king	arkhan_skill_tmb_grave_guard	wh2_dlc09_tmb_followers_of_nagash		4.0	3.0		0	0	true
tomb_king_skill_node_undead_4	wh2_dlc09_skill_node_set_tmb_tomb_king	arkhan_skill_tmb_ethereal	wh2_dlc09_tmb_followers_of_nagash		5.0	3.0		0	0	true
tomb_king_skill_node_undead_5	wh2_dlc09_skill_node_set_tmb_tomb_king	arkhan_skill_tmb_vargheist_terrorgheist	wh2_dlc09_tmb_followers_of_nagash		6.0	3.0		0	0	true
tomb_king_skill_node_undead_6	wh2_dlc09_skill_node_set_tmb_tomb_king	arkhan_skill_tmb_skeletons	wh2_dlc09_tmb_followers_of_nagash		7.0	3.0		0	0	true
arkhan_skill_node_undead_0	wh2_dlc09_skill_node_set_tmb_arkhan	arkhan_skill_tmb_army_leadership	wh2_dlc09_tmb_followers_of_nagash		9.0	0.0		0	0	true
arkhan_skill_node_undead_1	wh2_dlc09_skill_node_set_tmb_arkhan	arkhan_skill_tmb_crypt_ghouls_crypt_horrors	wh2_dlc09_tmb_followers_of_nagash		10.0	0.0		0	0	true
arkhan_skill_node_undead_2	wh2_dlc09_skill_node_set_tmb_arkhan	arkhan_skill_tmb_fell_bats_dire_wolves	wh2_dlc09_tmb_followers_of_nagash		11.0	0.0		0	0	true
arkhan_skill_node_undead_3	wh2_dlc09_skill_node_set_tmb_arkhan	arkhan_skill_tmb_grave_guard	wh2_dlc09_tmb_followers_of_nagash		12.0	0.0		0	0	true
arkhan_skill_node_undead_4	wh2_dlc09_skill_node_set_tmb_arkhan	arkhan_skill_tmb_ethereal	wh2_dlc09_tmb_followers_of_nagash		13.0	0.0		0	0	true
arkhan_skill_node_undead_5	wh2_dlc09_skill_node_set_tmb_arkhan	arkhan_skill_tmb_vargheist_terrorgheist	wh2_dlc09_tmb_followers_of_nagash		14.0	0.0		0	0	true
arkhan_skill_node_undead_6	wh2_dlc09_skill_node_set_tmb_arkhan	arkhan_skill_tmb_skeletons	wh2_dlc09_tmb_followers_of_nagash		15.0	0.0		0	0	true
arkhan_tomb_king_skill_node_undead_0	stephen_skill_node_set_tmb_tomb_king_vampire	arkhan_skill_tmb_army_leadership	wh2_dlc09_tmb_followers_of_nagash		1.0	3.0		0	0	true
arkhan_tomb_king_skill_node_undead_1	stephen_skill_node_set_tmb_tomb_king_vampire	arkhan_skill_tmb_crypt_ghouls_crypt_horrors	wh2_dlc09_tmb_followers_of_nagash		2.0	3.0		0	0	true
arkhan_tomb_king_skill_node_undead_2	stephen_skill_node_set_tmb_tomb_king_vampire	arkhan_skill_tmb_fell_bats_dire_wolves	wh2_dlc09_tmb_followers_of_nagash		3.0	3.0		0	0	true
arkhan_tomb_king_skill_node_undead_3	stephen_skill_node_set_tmb_tomb_king_vampire	arkhan_skill_tmb_grave_guard	wh2_dlc09_tmb_followers_of_nagash		4.0	3.0		0	0	true
arkhan_tomb_king_skill_node_undead_4	stephen_skill_node_set_tmb_tomb_king_vampire	arkhan_skill_tmb_ethereal	wh2_dlc09_tmb_followers_of_nagash		5.0	3.0		0	0	true
arkhan_tomb_king_skill_node_undead_5	stephen_skill_node_set_tmb_tomb_king_vampire	arkhan_skill_tmb_vargheist_terrorgheist	wh2_dlc09_tmb_followers_of_nagash		6.0	3.0		0	0	true
arkhan_tomb_king_skill_node_undead_6	stephen_skill_node_set_tmb_tomb_king_vampire	arkhan_skill_tmb_skeletons	wh2_dlc09_tmb_followers_of_nagash		7.0	3.0		0	0	true
arkhan_skill_node_chariot_upgrade_0	wh2_dlc09_skill_node_set_tmb_arkhan	arkhan_skill_tmb_chariot_rampage	wh2_dlc09_tmb_followers_of_nagash		4.0	0.0		0	0	true
arkhan_skill_node_chariot_upgrade_1	wh2_dlc09_skill_node_set_tmb_arkhan	arkhan_skill_tmb_chariot_devastation	wh2_dlc09_tmb_followers_of_nagash		5.0	0.0		0	0	true
wh2_dlc09_skill_tmb_arkhan_misc_0	wh2_dlc09_skill_node_set_tmb_arkhan	wh2_dlc09_skill_tmb_tomb_king_returned_in_madness			4.0	0.0		0	0	false
wh2_dlc09_skill_tmb_arkhan_misc_1	wh2_dlc09_skill_node_set_tmb_arkhan	wh2_dlc09_skill_tmb_tomb_king_ancient_tyrant			5.0	0.0		0	0	false
