key	character_skill_node_set_key	character_skill_key	faction_key	campaign_key	tier	indent	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;5;db/character_skill_nodes_tables/extra_tomb_king_lords										
stephen_skill_tmb_tomb_king_army_0	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_lord_army_base			0.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_army_1	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_army_buff_basic_archers			1.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_army_10	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_army_buff_vet_infantry			10.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_army_11	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_army_buff_vet_structure			11.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_army_12	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_lord_rally_upgraded			12.0	4.0		0	1	true
stephen_skill_tmb_tomb_king_army_2	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_army_buff_basic_infantry			2.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_army_3	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_army_buff_cav			3.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_army_4	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_army_buff_chariot			4.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_army_5	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_army_buff_structure_infantry			5.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_army_6	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_army_buff_elite_structure			6.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_army_7	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_lord_rally			7.0	4.0		0	5	true
stephen_skill_tmb_tomb_king_army_8	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_army_buff_vet_archer			8.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_army_9	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_army_buff_vet_cav			9.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_campaign_0	stephen_skill_node_set_tmb_tomb_king_vampire	wh_main_skill_all_lord_campaign_route_marcher			0.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_campaign_1	stephen_skill_node_set_tmb_tomb_king_vampire	wh_main_skill_emp_lord_campaign_iron_disciplinarian			1.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_campaign_10	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_self_defense			10.0	5.0		0	4	true
stephen_skill_tmb_tomb_king_campaign_2	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_campaign_2			2.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_campaign_3	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_campaign_3			3.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_campaign_4	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_campaign_4			4.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_campaign_5	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_campaign_5			5.0	5.0		0	4	true
stephen_skill_tmb_tomb_king_campaign_6	stephen_skill_node_set_tmb_tomb_king_vampire	wh_main_skill_all_lord_campaign_lightning_strike			6.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_campaign_7	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_campaign_7			7.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_campaign_8	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_campaign_8			8.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_campaign_9	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_campaign_9			9.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_mount_khemrian_warsphinx	stephen_skill_node_set_tmb_tomb_king_vampire	stephen_skill_tmb_tomb_king_mount_warsphinx			1.0	0.0		0	0	true
stephen_skill_tmb_tomb_king_mount_skeletal_steed	stephen_skill_node_set_tmb_tomb_king_vampire	stephen_skill_tmb_tomb_king_mount_steed			0.0	0.0		0	0	true
stephen_skill_tmb_tomb_king_mount_skeleton_chariot	stephen_skill_node_set_tmb_tomb_king_vampire	stephen_skill_tmb_tomb_king_mount_chariot			2.0	0.0		0	0	true
stephen_skill_tmb_tomb_king_personal_0	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_personal_base			0.0	2.0		0	0	true
stephen_skill_tmb_tomb_king_personal_1	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_personal_conqueror			1.0	2.0		0	0	true
stephen_skill_tmb_tomb_king_personal_10	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_personal_10			10.0	2.0		0	4	true
stephen_skill_tmb_tomb_king_personal_2	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc11_skill_all_lord_self_blade_master			2.0	2.0		0	0	true
stephen_skill_tmb_tomb_king_personal_3	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc11_skill_all_lord_self_hard_to_hit			3.0	2.0		0	0	true
stephen_skill_tmb_tomb_king_personal_4	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc11_skill_all_lord_self_self_indomitable			4.0	2.0		0	0	true
stephen_skill_tmb_tomb_king_personal_5	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_personal_5			5.0	2.0		0	4	true
stephen_skill_tmb_tomb_king_personal_6	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc11_skill_all_lord_self_wound-maker			6.0	2.0		0	0	true
stephen_skill_tmb_tomb_king_personal_7	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc11_skill_all_lord_self_full_plate_armour			7.0	2.0		0	0	true
stephen_skill_tmb_tomb_king_personal_8	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc11_skill_all_lord_self_devastating_charge			8.0	2.0		0	0	true
stephen_skill_tmb_tomb_king_personal_9	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_personal_9			9.0	2.0		0	0	true
stephen_skill_tmb_arkhan_misc_0	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_tomb_king_returned_in_madness			7.0	0.0		0	0	true
stephen_skill_tmb_arkhan_misc_1	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_tomb_king_ancient_tyrant			8.0	0.0		0	0	true
stephen_skill_tmb_arkhan_misc_2	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_tomb_king_embalmed_in_elixir			9.0	0.0		0	0	true
stephen_skill_tmb_arkhan_misc_3	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_tomb_king_ceremonial_bandages			10.0	0.0		0	0	true
stephen_skill_tmb_dummy_immortality_tomb_king	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_tmb_dummy_immortality			0.0	8.0		1	0	false
stephen_skill_tmb_tmb_king_unique_1	stephen_skill_node_set_tmb_tomb_king_vampire	stephen_skill_tmb_taint_of_nagash			1.0	1.0		0	0	true
stephen_skill_tmb_tmb_king_unique_2	stephen_skill_node_set_tmb_tomb_king_vampire	stephen_skill_tmb_tomb_king_blessed_blades			2.0	1.0		0	0	true
stephen_skill_tmb_tmb_king_unique_3	stephen_skill_node_set_tmb_tomb_king_vampire	stephen_skill_tmb_tomb_king_desert_crown			3.0	1.0		0	0	true
stephen_skill_tmb_tmb_king_unique_4	stephen_skill_node_set_tmb_tomb_king_vampire	stephen_skill_tmb_tomb_king_ancient_shields			4.0	1.0		0	0	true
stephen_skill_tmb_tmb_king_unique_5	stephen_skill_node_set_tmb_tomb_king_vampire	stephen_skill_tmb_tomb_king_hunger_power			5.0	1.0		0	3	true
stephen_skill_tmb_tmb_king_hidden_title	stephen_skill_node_set_tmb_tomb_king_vampire	stephen_skill_tmb_tomb_king_title			1.0	8.0		1	0	false
stephen_skill_tmb_tmb_king_innate_trait_1	stephen_skill_node_set_tmb_tomb_king_vampire	wh2_dlc09_skill_innate_tmb_wrathful			0.0	6.0		0	0	false
