key	character_skill_node_set_key	character_skill_key	faction_key	campaign_key	tier	indent	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables	5	db/character_skill_nodes_tables/unique_tomb_king_lords
stephen_skill_tmb_tmb_king_grief_innate_trait_1	stephen_skill_node_set_tmb_tomb_king_grief	stephen_skill_tmb_tmb_king_innate_trait_1			0.0	6.0		0	0	false
stephen_skill_tmb_tmb_king_terror_innate_trait_1	stephen_skill_node_set_tmb_tomb_king_terror	stephen_skill_tmb_tmb_king_innate_trait_2			0.0	6.0		0	0	false
stephen_skill_tmb_tmb_king_madness_innate_trait_1	stephen_skill_node_set_tmb_tomb_king_madness	stephen_skill_tmb_tmb_king_innate_trait_3			0.0	6.0		0	0	false
stephen_skill_tmb_tmb_king_sacrament_innate_trait_1	stephen_skill_node_set_tmb_tomb_king_sacrament	stephen_skill_tmb_tmb_king_innate_trait_4			0.0	6.0		0	0	false
stephen_skill_tmb_tomb_king_grief_army_0	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_lord_army_base			0.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_grief_army_1	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_army_buff_basic_archers			1.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_grief_army_10	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_army_buff_vet_infantry			10.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_grief_army_11	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_army_buff_vet_structure			11.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_grief_army_12	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_lord_rally_upgraded			12.0	4.0		0	1	true
stephen_skill_tmb_tomb_king_grief_army_2	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_army_buff_basic_infantry			2.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_grief_army_3	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_army_buff_cav			3.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_grief_army_4	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_army_buff_chariot			4.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_grief_army_5	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_army_buff_structure_infantry			5.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_grief_army_6	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_army_buff_elite_structure			6.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_grief_army_7	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_lord_rally			7.0	4.0		0	5	true
stephen_skill_tmb_tomb_king_grief_army_8	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_army_buff_vet_archer			8.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_grief_army_9	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_army_buff_vet_cav			9.0	4.0		0	0	true
stephen_skill_tmb_tomb_king_grief_campaign_0	stephen_skill_node_set_tmb_tomb_king_grief	wh_main_skill_all_lord_campaign_route_marcher			0.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_grief_campaign_1	stephen_skill_node_set_tmb_tomb_king_grief	wh_main_skill_emp_lord_campaign_iron_disciplinarian			1.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_grief_campaign_10	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_self_defense			10.0	5.0		0	4	true
stephen_skill_tmb_tomb_king_grief_campaign_2	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_campaign_2			2.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_grief_campaign_3	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_campaign_3			3.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_grief_campaign_4	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_campaign_4			4.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_grief_campaign_5	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_campaign_5			5.0	5.0		0	4	true
stephen_skill_tmb_tomb_king_grief_campaign_6	stephen_skill_node_set_tmb_tomb_king_grief	wh_main_skill_all_lord_campaign_lightning_strike			6.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_grief_campaign_7	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_campaign_7			7.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_grief_campaign_8	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_campaign_8			8.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_grief_campaign_9	stephen_skill_node_set_tmb_tomb_king_grief	wh2_dlc09_skill_tmb_campaign_9			9.0	5.0		0	0	true
stephen_skill_tmb_tomb_king_mount_grief_khemrian_warsphinx	stephen_skill_node_set_tmb_tomb_king_grief	stephen_skill_tmb_tomb_king_mount_warsphinx			1.0	0.0		0	0	true
stephen_skill_tmb_tomb_king_mount_grief_skeletal_steed	stephen_skill_node_set_tmb_tomb_king_grief	stephen_skill_tmb_tomb_king_mount_steed			0.0	0.0		0	0	true
stephen_skill_tmb_tomb_king_mount_grief_skeleton_chariot	stephen_skill_node_set_tmb_tomb_king_grief	stephen_skill_tmb_tomb_king_grief_mount_chariot			2.0	0.0		0	0	true
