key	hint
#character_skill_utilization_hints_junctions_tables	0	db/character_skill_utilization_hints_junctions_tables/arkhan_technology
arkhan_skill_tmb_crypt_ghouls_crypt_horrors	USEFUL_ALWAYS
arkhan_skill_tmb_fell_bats_dire_wolves	USEFUL_ALWAYS
arkhan_skill_tmb_grave_guard	USEFUL_ALWAYS
arkhan_skill_tmb_ethereal	USEFUL_ALWAYS
arkhan_skill_tmb_vargheist_terrorgheist	USEFUL_ALWAYS
arkhan_skill_tmb_skeletons	USEFUL_ALWAYS
arkhan_skill_tmb_army_leadership	USEFUL_ALWAYS
arkhan_skill_tmb_chariot_rampage	USEFUL_ALWAYS
arkhan_skill_tmb_chariot_devastation	USEFUL_ALWAYS
