character_skill_utilization_hints_junctions_tables	0
key	hint
stephen_skill_tmb_tomb_king_mount_steed	USEFUL_ALWAYS
stephen_skill_tmb_tomb_king_mount_warsphinx	USEFUL_ALWAYS
stephen_skill_tmb_tomb_king_mount_chariot	USEFUL_ALWAYS
stephen_skill_tmb_tomb_king_grief_mount_chariot	USEFUL_ALWAYS
stephen_skill_tmb_tomb_king_terror_mount_chariot	USEFUL_ALWAYS
stephen_skill_tmb_tomb_king_madness_mount_chariot	USEFUL_ALWAYS
stephen_skill_tmb_tomb_king_sacrament_mount_chariot	USEFUL_ALWAYS
stephen_skill_tmb_taint_of_nagash	USEFUL_ALWAYS
stephen_skill_tmb_tomb_king_blessed_blades	USEFUL_ALWAYS
stephen_skill_tmb_tomb_king_desert_crown	USEFUL_ALWAYS
stephen_skill_tmb_tomb_king_ancient_shields	USEFUL_ALWAYS
stephen_skill_tmb_tomb_king_hunger_power	USEFUL_ALWAYS
