key	image_path	localised_name	localised_description	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting	influence_cost
#character_skills_tables;5;db/character_skills_tables/arkhan_technology									
arkhan_skill_tmb_crypt_ghouls_crypt_horrors	wh2_dlc11_infinite_hatred.png	Fiendish Ghouls	Though not truly Undead, Crypt Ghouls unconsciously feel the Dark Magic that surrounds the most powerful Undead lords and are drawn inexorably towards it. Incantations bring out latent power.	1	false	false	false	0.0	0
arkhan_skill_tmb_fell_bats_dire_wolves	wh2_dlc11_fell_nest.png	Dark Creatures	Dire Wolves are the hunting hounds of the Vampires and their senses are as keen as they were in life. With a body as long as a grown man, Fell Bats are a fearsome sight. Foul magic only makes these creatures stronger.	1	false	false	false	0.0	0
arkhan_skill_tmb_grave_guard	wh2_dlc11_grave_sentinels.png	Grave Legions	Although their bodies have decayed, leaving only bones and tattered flesh, a Grave Guard is held together by evil magic so strong that it has endured for centuries. 	1	false	false	false	0.0	0
arkhan_skill_tmb_ethereal	wh2_dlc11_cynosure.png	Wraiths	Within the material world, these spirits are amongst the most dreaded of all Undead. Lacking physical forms altogether, they cannot be put down by axe, sword or hammer. 	1	false	false	false	0.0	0
arkhan_skill_tmb_vargheist_terrorgheist	wh2_dlc11_brooding_horrors.png	Gigantic Bats	Vargheists are the darkness in a Vampire's soul made manifest. Terrorgheist are the largest and most ferocious bat species to have ever existed. Crackling with eldritch power, these beasts are now even more ferocious.	1	false	false	false	0.0	0
arkhan_skill_tmb_skeletons	wh2_dlc11_nehekharas_noble_blood.png	Skeletal Legions	Rising up from the dusty dunes, rank upon rank of these Skeleton Warriors stand ready to kill once more in the name of their immortal monarchs.	1	false	false	false	0.0	0
wh2_dlc09_skill_tmb_arkhan_unique_3	character_bonus_vs_infantry.png	Legions of Death	Although not as numerous as Settra's grand army, Arkhan's Undead legions are bolstered by the Liche King's unparalleled necromantic dexterity.	9	false	false	false	0.0	0
wh2_dlc09_skill_tmb_arkhan_unique_5	campaign_vampiric_corruption.png	Right-Hand of Nagash	The first and most loyal of the Great Necromancer's followers will stand at his side once again. So it is written…	9	false	false	false	0.0	0
arkhan_skill_tmb_army_leadership	character_raise_dead.png	Restless Dead	The dead do not sit idly by in Nehekhara...	1	false	false	false	0.0	0
arkhan_skill_tmb_chariot_rampage	character_charge.png	Deathly Invocation	Clouds of deathly magic swirl around Arkhan.	13	false	false	false	0.0	0
arkhan_skill_tmb_chariot_devastation	character_general_ability.png	Desert Wind	No creature is safe from the destructive power that Arkhan wields.....	13	false	false	false	0.0	0
