culture_pack	battle_animations_table
#culture_to_battle_animation_tables_tables;0;db/culture_to_battle_animation_tables_tables/sda_tomb_kings	
wh2_dlc09_tmb_tomb_kings	ba1_bat
wh2_dlc09_tmb_tomb_kings	bi2_terrorgheist
wh2_dlc09_tmb_tomb_kings	bi2_terrorgheist_boss
wh2_dlc09_tmb_tomb_kings	dr1_dragon_zombie
wh2_dlc09_tmb_tomb_kings	gh1_banshee
wh2_dlc09_tmb_tomb_kings	gh1_banshee_mortisengine
wh2_dlc09_tmb_tomb_kings	gh1_banshee_mortisengine_nagash
wh2_dlc09_tmb_tomb_kings	gh1_cairn_wraith
wh2_dlc09_tmb_tomb_kings	gh1_cairn_wraith_nagash
wh2_dlc09_tmb_tomb_kings	gh1_cairn_wraith_wm_carriage01
wh2_dlc09_tmb_tomb_kings	hr1_hexwraiths_skeletal_steed
wh2_dlc09_tmb_tomb_kings	hr1_pegasus
wh2_dlc09_tmb_tomb_kings	hr1_skeletal_steed
wh2_dlc09_tmb_tomb_kings	hr1_skeletal_steed_draught
wh2_dlc09_tmb_tomb_kings	hr1_vmp_skeletal_steed_mortisengine
wh2_dlc09_tmb_tomb_kings	hr1_warhorse
wh2_dlc09_tmb_tomb_kings	hr1_warhorse_draught
wh2_dlc09_tmb_tomb_kings	hu1_black_knights_hr1_skeletal_steed_lance_sword_shield
wh2_dlc09_tmb_tomb_kings	hu1_black_knights_hr1_skeletal_steed_sword_and_shield
wh2_dlc09_tmb_tomb_kings	hu1_bretonnian_hr1_pegasus_lancer
wh2_dlc09_tmb_tomb_kings	hu1_empire_2handed_sword
wh2_dlc09_tmb_tomb_kings	hu1_empire_hr1_pegasus_staff_and_sword
wh2_dlc09_tmb_tomb_kings	hu1_empire_hr1_pegasus_sword_and_shield
wh2_dlc09_tmb_tomb_kings	hu1_empire_hr1_warhorse_dual_hammer
wh2_dlc09_tmb_tomb_kings	hu1_empire_hr1_warhorse_lance_sword_shield
wh2_dlc09_tmb_tomb_kings	hu1_empire_hr1_warhorse_staff_and_sword
wh2_dlc09_tmb_tomb_kings	hu1_empire_hr1_warhorse_sword
wh2_dlc09_tmb_tomb_kings	hu1_empire_hr1_warhorse_sword_and_shield
wh2_dlc09_tmb_tomb_kings	hu1_empire_staff_and_sword
wh2_dlc09_tmb_tomb_kings	hu1_empire_sword
wh2_dlc09_tmb_tomb_kings	hu1_empire_sword_and_shield
wh2_dlc09_tmb_tomb_kings	hu1_empire_sword_crossbow
wh2_dlc09_tmb_tomb_kings	hu1_empire_sword_rifle
wh2_dlc09_tmb_tomb_kings	hu1_graveguard_2handed_sword
wh2_dlc09_tmb_tomb_kings	hu1_graveguard_sword_and_shield
wh2_dlc09_tmb_tomb_kings	hu1_mannfred_hr1_pegasus_staff_and_sword
wh2_dlc09_tmb_tomb_kings	hu1_mannfred_hr1_warhorse_staff_and_sword
wh2_dlc09_tmb_tomb_kings	hu1_mannfred_staff_and_sword
wh2_dlc09_tmb_tomb_kings	hu1_sk_mortisengine_left_00
wh2_dlc09_tmb_tomb_kings	hu1_sk_mortisengine_left_01
wh2_dlc09_tmb_tomb_kings	hu1_sk_mortisengine_left_02
wh2_dlc09_tmb_tomb_kings	hu1_sk_mortisengine_right_00
wh2_dlc09_tmb_tomb_kings	hu1_sk_mortisengine_right_01
wh2_dlc09_tmb_tomb_kings	hu1_sk_mortisengine_right_02
wh2_dlc09_tmb_tomb_kings	hu1_skeleton_hr1_skeletal_steed_mortis_engine
wh2_dlc09_tmb_tomb_kings	hu1_skeleton_spear_and_shield
wh2_dlc09_tmb_tomb_kings	hu1_skeleton_sword_and_shield
wh2_dlc09_tmb_tomb_kings	hu1_vampire_counts_dr1_zombie_dragon_wb_sword_and_shield
wh2_dlc09_tmb_tomb_kings	hu1_vampire_counts_hr1_warhorse_scythe
wh2_dlc09_tmb_tomb_kings	hu1_vampire_zombie_sword
wh2_dlc09_tmb_tomb_kings	hu1_vampire_zombie_sword_draught
wh2_dlc09_tmb_tomb_kings	hu1_wight_king_hr1_skeletal_steed_sword_shield
wh2_dlc09_tmb_tomb_kings	hu1_wight_king_sword_and_shield
wh2_dlc09_tmb_tomb_kings	hu1b_bretonnian_hr1_warhorse_sword_and_chalice
wh2_dlc09_tmb_tomb_kings	hu1b_bretonnian_sword_and_chalice
wh2_dlc09_tmb_tomb_kings	hu1b_elf_dr1_dragon_wb_sword_and_shield
wh2_dlc09_tmb_tomb_kings	hu1b_vampire_hr1_pegasus_sword
wh2_dlc09_tmb_tomb_kings	hu1b_vampire_hr1_pegasus_sword_and_chalice
wh2_dlc09_tmb_tomb_kings	hu1b_vampire_hr1_warhorse_sword
wh2_dlc09_tmb_tomb_kings	hu1b_vampire_sword
wh2_dlc09_tmb_tomb_kings	hu8_crypt_horror_club
wh2_dlc09_tmb_tomb_kings	hu8_strigoi
wh2_dlc09_tmb_tomb_kings	hu8_strigoi_bi2_terrorgheist_wb
wh2_dlc09_tmb_tomb_kings	hu8b_vargheist
wh2_dlc09_tmb_tomb_kings	hu8c_ghoul_club
wh2_dlc09_tmb_tomb_kings	wf1_dire_wolf
wh2_dlc09_tmb_tomb_kings	wm_mortisengine01
wh2_dlc09_tmb_tomb_kings	wm_mortisengine01_nagash
wh2_dlc09_tmb_tomb_kings	cr1_cst_leviathon
wh2_dlc09_tmb_tomb_kings	cr1_cst_promethean
wh2_dlc09_tmb_tomb_kings	gh4_cst_mourngul
wh2_dlc09_tmb_tomb_kings	gh4_cst_mourngul_haunter
wh2_dlc09_tmb_tomb_kings	hu1_bretonnian_hr1_warhorse_2handed_sword
wh2_dlc09_tmb_tomb_kings	hu1_cst_admiral_cr1_promethean_wb_halberd
wh2_dlc09_tmb_tomb_kings	hu1_cst_admiral_halberd
wh2_dlc09_tmb_tomb_kings	hu1_cst_deck_ba1_wb_bomb
wh2_dlc09_tmb_tomb_kings	hu1_cst_deck_ba1_wb_pistol_and_sword
wh2_dlc09_tmb_tomb_kings	hu1_cst_deck_ba1_wb_rifle
wh2_dlc09_tmb_tomb_kings	hu1_cst_zombie_cr1_leviathon_wb_rifle
wh2_dlc09_tmb_tomb_kings	hu1_cst_zombie_cr1_pomenthean_wb_hand_cannon
wh2_dlc09_tmb_tomb_kings	hu1_cst_zombie_cr1_promethean_wb_cutlass_and_pistol
wh2_dlc09_tmb_tomb_kings	hu1_cst_zombie_cr1_promethean_wb_hand_cannon
wh2_dlc09_tmb_tomb_kings	hu1_cst_zombie_cr1_promethean_wb_hand_cannon1
wh2_dlc09_tmb_tomb_kings	hu1_cst_zombie_cutlass_and_pistol
wh2_dlc09_tmb_tomb_kings	hu1_cst_zombie_dual_cutlass
wh2_dlc09_tmb_tomb_kings	hu1_cst_zombie_gi2_resurrect_1
wh2_dlc09_tmb_tomb_kings	hu1_cst_zombie_halberd
wh2_dlc09_tmb_tomb_kings	hu1_cst_zombie_hand_cannon
wh2_dlc09_tmb_tomb_kings	hu1_cst_zombie_rifle
wh2_dlc09_tmb_tomb_kings	hu1_cst_zombie_rifle_bayonet
wh2_dlc09_tmb_tomb_kings	hu1_empire_sword_and_pistol
wh2_dlc09_tmb_tomb_kings	hu1b_cst_admiral_cr1_promethean_wb_cutlass_and_pistol
wh2_dlc09_tmb_tomb_kings	hu1b_cst_admiral_cutlass_and_pistol
wh2_dlc09_tmb_tomb_kings	hu1b_cst_captain_cutlass_and_hook
wh2_dlc09_tmb_tomb_kings	hu1_pr8_amethyst_staff_and_sword
