effect	bonus_value_id	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/arkhan_technology		
tech_arkhan_crypt_ghoul_bonus_1	melee_damage_mod_mult	wh2_dlc09_tmb_inf_crypt_ghouls
tech_arkhan_crypt_ghoul_bonus_1	melee_damage_ap_mod_mult	wh2_dlc09_tmb_inf_crypt_ghouls
tech_arkhan_crypt_ghoul_bonus_2	melee_attack_mod	wh2_dlc09_tmb_inf_crypt_ghouls
tech_arkhan_crypt_ghoul_bonus_3	mod_land_movement_battle	wh2_dlc09_tmb_inf_crypt_ghouls
tech_arkhan_bats_defence	melee_defence_mod	wh2_dlc09_tmb_mon_fell_bats
tech_arkhan_bats_phys_resistance	unit_damage_resistance_physical_mod	wh2_dlc09_tmb_mon_fell_bats
tech_arkhan_dire_wolves_bonus_1	unit_damage_resistance_missile_mod	wh2_dlc09_tmb_mon_dire_wolves
tech_arkhan_dire_wolves_bonus_2	mod_land_movement_battle	wh2_dlc09_tmb_mon_dire_wolves
tech_arkhan_dire_wolves_bonus_3	melee_defence_mod	wh2_dlc09_tmb_mon_dire_wolves
tech_arkhan_grave_guard_bonus_1	melee_damage_mod_mult	grave_guard_set
tech_arkhan_grave_guard_bonus_1	melee_damage_ap_mod_mult	grave_guard_set
tech_arkhan_grave_guard_bonus_2	melee_defence_mod	grave_guard_set
tech_arkhan_grave_guard_bonus_3	melee_attack_mod	grave_guard_set
tech_arkhan_grave_guard_bonus_4	armour_mod	grave_guard_set
tech_arkhan_ethereal_bonus_1	unit_damage_resistance_magic_mod	ethereal_set
tech_arkhan_ethereal_bonus_2	melee_damage_mod_mult	ethereal_set
tech_arkhan_ethereal_bonus_2	melee_damage_ap_mod_mult	ethereal_set
tech_arkhan_ethereal_bonus_3	melee_attack_mod	ethereal_set
tech_arkhan_crypt_horror_bonus_1	melee_attack_mod	steve_ark_crypt_horror
tech_arkhan_crypt_horror_weapon_strength	melee_damage_mod_mult	steve_ark_crypt_horror
tech_arkhan_crypt_horror_weapon_strength	melee_damage_ap_mod_mult	steve_ark_crypt_horror
tech_arkhan_crypt_horror_speed	mod_land_movement_battle	steve_ark_crypt_horror
tech_arkhan_vargheist_weapon_strength	melee_damage_mod_mult	steve_ark_vargheist
tech_arkhan_vargheist_weapon_strength	melee_damage_ap_mod_mult	steve_ark_vargheist
tech_arkhan_vargheist_speed	mod_land_movement_battle	steve_ark_vargheist
tech_arkhan_vargheist_charge_bonus	charge_add	steve_ark_vargheist
tech_arkhan_terrorgheist_melee_attack	melee_attack_mod	steve_ark_terrorgheist
tech_arkhan_terrorgheist_weapon_strength	melee_damage_mod_mult	steve_ark_terrorgheist
tech_arkhan_terrorgheist_weapon_strength	melee_damage_ap_mod_mult	steve_ark_terrorgheist
tech_arkhan_terrorgheist_charge_bonus	charge_add	steve_ark_terrorgheist
tech_arkhan_rank_7_defence_armour	armour_mod	arkhan_vampires_all_rank_7
tech_arkhan_rank_7_defence_melee_defence	melee_defence_mod	arkhan_vampires_all_rank_7
tech_arkhan_rank_7_offence_weapon_strength	melee_damage_mod_mult	arkhan_vampires_all_rank_7
tech_arkhan_rank_7_offence_weapon_strength	melee_damage_ap_mod_mult	arkhan_vampires_all_rank_7
tech_arkhan_rank_7_offence_missile_strength	missile_damage_ap_mod_mult	tomb_kings_all
tech_arkhan_rank_7_offence_missile_strength	missile_damage_mod_mult	tomb_kings_all
tech_arkhan_rank_7_offence_melee_attack	melee_attack_mod	arkhan_vampires_all_rank_7
tech_arkhan_army_1_missile_resistance	unit_damage_resistance_missile_mod	arkhan_vampires_all
tech_arkhan_army_2_magic_resistance	unit_damage_resistance_magic_mod	arkhan_vampires_all
tech_arkhan_army_3_physical_resistance	unit_damage_resistance_physical_mod	arkhan_vampires_all
tech_arkhan_global_recruitment_duration_arkhan_vampiric_units	global_recruit_time_mod	arkhan_vampires_all
skill_arkhan_crypt_ghouls_crypt_horrors_bonus_1	melee_attack_mod	ushabti_set
skill_arkhan_crypt_ghouls_crypt_horrors_bonus_2	melee_defence_mod	ushabti_set
skill_arkhan_crypt_ghouls_crypt_horrors_bonus_3	missile_damage_mod_mult	ushabti_set
skill_arkhan_crypt_ghouls_crypt_horrors_bonus_3	missile_damage_ap_mod_mult	ushabti_set
skill_arkhan_skull_catapult_bonus_1	missile_damage_mod_mult	stephen_tmb_art_screaming_skull_catapult
skill_arkhan_skull_catapult_bonus_1	missile_damage_ap_mod_mult	stephen_tmb_art_screaming_skull_catapult
skill_arkhan_skull_catapult_bonus_2	ammo_mod	stephen_tmb_art_screaming_skull_catapult
skill_arkhan_fell_bats_dire_wolves_bonus_1	charge_add	wolves_bats_set
skill_arkhan_fell_bats_dire_wolves_bonus_2	mod_land_movement_battle	wolves_bats_set
skill_arkhan_vargheists_terrorgheists_bonus_1	charge_add	titanic_bats_set
skill_arkhan_vargheists_terrorgheists_bonus_2	melee_attack_mod	titanic_bats_set
skill_arkhan_tomb_skeleton_bonus_1	armour_mod	skeleton_set
skill_arkhan_tomb_skeleton_bonus_2	melee_defence_mod	skeleton_set
skill_arkhan_tomb_skeleton_bonus_4	ammo_mod	steve_ark_skeleton_archers
skill_arkhan_tomb_skeleton_bonus_5	missile_damage_mod_mult	steve_ark_skeleton_archers
skill_arkhan_tomb_skeleton_bonus_5	missile_damage_ap_mod_mult	steve_ark_skeleton_archers
skill_arkhan_level_10_bonus_1	armour_mod	steve_ark_crypt_horror
skill_arkhan_level_10_bonus_1	armour_mod	steve_ark_grave_guard
skill_arkhan_level_10_bonus_1	armour_mod	steve_ark_grave_guard_great
skill_arkhan_level_10_bonus_1	armour_mod	steve_ark_terrorgheist
skill_arkhan_level_10_bonus_1	armour_mod	steve_ark_vargheist
skill_arkhan_level_10_bonus_1	armour_mod	wh2_dlc09_tmb_cav_hexwraiths
skill_arkhan_level_10_bonus_1	armour_mod	wh2_dlc09_tmb_inf_crypt_ghouls
