effect	bonus_value_id	unit_set
#effect_bonus_value_ids_unit_sets_tables	0	db/effect_bonus_value_ids_unit_sets_tables/sda_tomb_kings
wh2_dlc10_effect_skill_rank_increase_fell_bats_crypt_ghoul_dire_wolves_hexwraiths	unit_xp_mod	steve_ark_cairn_wraith
wh2_dlc10_effect_skill_rank_increase_fell_bats_crypt_ghoul_dire_wolves_hexwraiths	unit_xp_mod	grave_guard_set
wh2_dlc10_effect_skill_rank_increase_fell_bats_crypt_ghoul_dire_wolves_hexwraiths	unit_xp_mod	skeleton_set
wh2_dlc11_effect_skill_morale_increase_crypt_ghouls_horrors	morale	steve_ark_crypt_horror
wh2_dlc11_effect_skill_morale_increase_crypt_ghouls_horrors	morale	wh2_dlc09_tmb_inf_crypt_ghouls
wh2_dlc11_effect_skill_physical_resistance_crypt_ghouls_horrors	unit_damage_resistance_physical_mod	steve_ark_crypt_horror
wh2_dlc11_effect_skill_physical_resistance_crypt_ghouls_horrors	unit_damage_resistance_physical_mod	wh2_dlc09_tmb_inf_crypt_ghouls
wh2_dlc15_effect_global_recruitment_duration_arkhan_counts_units	global_recruit_time_mod	steve_ark_grave_guard
wh2_dlc15_effect_global_recruitment_duration_arkhan_counts_units	global_recruit_time_mod	steve_ark_grave_guard_great
wh2_dlc15_effect_global_recruitment_duration_arkhan_counts_units	global_recruit_time_mod	steve_ark_terrorgheist
wh2_dlc15_effect_global_recruitment_duration_arkhan_counts_units	global_recruit_time_mod	steve_ark_vargheist
wh2_dlc15_effect_global_recruitment_duration_arkhan_counts_units	global_recruit_time_mod	steve_ark_crypt_horror
wh2_dlc15_effect_global_recruitment_duration_arkhan_counts_units	global_recruit_time_mod	steve_ark_cairn_wraith
wh2_dlc15_effect_global_recruitment_duration_arkhan_counts_units	global_recruit_time_mod	steve_ark_mortis_engine
wh2_dlc15_effect_global_recruitment_duration_arkhan_counts_units	global_recruit_time_mod	steve_ark_nagashizzar_guard
