effect_bundle_key	effect_key	value	effect_scope	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/arkhan_ai_difficulty				
arkhan_difficulty_AI_easy	wh2_dlc09_effect_increase_army_capacity_hidden	0.0	faction_to_faction_own_unseen	start_turn_completed
arkhan_difficulty_AI_normal	wh2_dlc09_effect_increase_army_capacity_hidden	1.0	faction_to_faction_own_unseen	start_turn_completed
arkhan_difficulty_AI_hard	wh2_dlc09_effect_increase_army_capacity_hidden	2.0	faction_to_faction_own_unseen	start_turn_completed
arkhan_difficulty_AI_very_hard	wh2_dlc09_effect_increase_army_capacity_hidden	3.0	faction_to_faction_own_unseen	start_turn_completed
arkhan_difficulty_AI_legendary	wh2_dlc09_effect_increase_army_capacity_hidden	4.0	faction_to_faction_own_unseen	start_turn_completed
arkhan_difficulty_AI_very_hard	wh_main_effect_technology_research_points	20.0	faction_to_faction_own_unseen	start_turn_completed
arkhan_difficulty_AI_very_hard	wh_main_effect_unit_recruitment_points	2.0	faction_to_province_own	start_turn_completed
arkhan_difficulty_AI_very_hard	wh_main_effect_agent_cap_increase_wizard_steve_ark_tmb_liche_priest_vampire	4.0	faction_to_faction_own_unseen	start_turn_completed
arkhan_difficulty_AI_legendary	wh_main_effect_technology_research_points	20.0	faction_to_faction_own_unseen	start_turn_completed
arkhan_difficulty_AI_legendary	wh_main_effect_unit_recruitment_points	2.0	faction_to_province_own	start_turn_completed
arkhan_difficulty_AI_legendary	wh_main_effect_agent_cap_increase_wizard_steve_ark_tmb_liche_priest_vampire	4.0	faction_to_faction_own_unseen	start_turn_completed
