effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables	3	db/effects_tables/arkhan_technology
tech_arkhan_crypt_ghoul_bonus_1	weapon_damage.png	100	weapon_damage.png	battle	true
tech_arkhan_crypt_ghoul_bonus_2	melee.png	100	melee.png	battle	true
tech_arkhan_crypt_ghoul_bonus_3	battle_movement.png	100	battle_movement.png	battle	true
tech_arkhan_bats_defence	defence.png	100	defence.png	battle	true
tech_arkhan_bats_phys_resistance	resistance_physical.png	100	resistance_physical.png	battle	true
tech_arkhan_bats_vanguard	attribute_guerrilla_deploy.png	100	attribute_guerrilla_deploy.png	battle	true
tech_arkhan_dire_wolves_bonus_1	resistance_missile.png	100	resistance_missile.png	battle	true
tech_arkhan_dire_wolves_bonus_2	battle_movement.png	100	battle_movement.png	battle	true
tech_arkhan_dire_wolves_bonus_3	defence.png	100	defence.png	battle	true
tech_arkhan_grave_guard_bonus_1	weapon_damage.png	99	weapon_damage.png	battle	true
tech_arkhan_grave_guard_bonus_2	defence.png	98	defence.png	battle	true
tech_arkhan_grave_guard_bonus_3	melee.png	100	melee.png	battle	true
tech_arkhan_grave_guard_bonus_4	armour.png	97	armour.png	battle	true
tech_arkhan_cairn_hex_mortis_wayfarer_enable	general_ability.png	122	charge.png	battle	true
tech_arkhan_ethereal_bonus_1	resistance_magic.png	100	resistance_magic.png	battle	true
tech_arkhan_ethereal_bonus_2	weapon_damage.png	100	weapon_damage.png	battle	true
tech_arkhan_ethereal_bonus_3	melee.png	100	melee.png	battle	true
tech_arkhan_crypt_horror_bonus_1	melee.png	100	melee.png	battle	true
tech_arkhan_crypt_horror_weapon_strength	weapon_damage.png	100	weapon_damage.png	battle	true
tech_arkhan_crypt_horror_speed	battle_movement.png	100	battle_movement.png	battle	true
tech_arkhan_vargheist_weapon_strength	weapon_damage.png	100	weapon_damage.png	battle	true
tech_arkhan_vargheist_speed	battle_movement.png	100	battle_movement.png	battle	true
tech_arkhan_vargheist_charge_bonus	charge.png	100	charge.png	battle	true
tech_arkhan_terrorgheist_melee_attack	melee.png	100	melee.png	battle	true
tech_arkhan_terrorgheist_weapon_strength	weapon_damage.png	100	weapon_damage.png	battle	true
tech_arkhan_terrorgheist_charge_bonus	charge.png	100	charge.png	battle	true
tech_arkhan_rank_7_defence_armour	armour.png	100	armour.png	battle	true
tech_arkhan_rank_7_defence_melee_defence	defence.png	100	defence.png	battle	true
tech_arkhan_rank_7_offence_weapon_strength	weapon_damage.png	50	weapon_damage.png	battle	true
tech_arkhan_rank_7_offence_missile_strength	ranged_damage.png	100	ranged_damage.png	battle	true
tech_arkhan_rank_7_offence_melee_attack	melee.png	100	melee.png	battle	true
tech_arkhan_army_1_missile_resistance	resistance_missile.png	100	resistance_missile.png	battle	true
tech_arkhan_army_2_magic_resistance	resistance_magic.png	100	resistance_magic.png	battle	true
tech_arkhan_army_3_physical_resistance	resistance_physical.png	100	resistance_physical.png	battle	true
tech_arkhan_enable_army_abilty_raise_skeletons	general_ability.png	500	general_ability.png	battle	true
tech_arkhan_enable_army_abilty_raise_skeletons_uses	general_ability.png	500	general_ability.png	battle	true
tech_arkhan_enable_army_ability_rain_of_souls	general_ability.png	500	general_ability.png	battle	true
tech_arkhan_global_recruitment_duration_arkhan_vampiric_units	turns.png	130	turns.png	campaign	false
skill_arkhan_crypt_ghouls_crypt_horrors_bonus_1	armour.png	100	armour.png	battle	true
