land_unit	ability
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/extra_tomb_king_lords	
stephen_tmb_cha_tomb_king_1	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_1	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_1	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_1	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_1	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_1	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_2	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_2	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_2	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_2	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_2	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_2	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_3	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_3	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_3	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_3	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_3	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_3	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_4	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_4	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_4	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_4	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_4	wh2_dlc09_unit_passive_unstable_mark_ii_sand
