land_unit	ability
#land_units_to_unit_abilites_junctions_tables	0	db/land_units_to_unit_abilites_junctions_tables/shyish_realm_of_souls
wh2_dlc09_tmb_inf_crypt_ghouls	followers_of_nagash_realm_of_souls_1
wh2_dlc09_tmb_inf_crypt_ghouls	followers_of_nagash_realm_of_souls_2
wh2_dlc09_tmb_inf_crypt_ghouls	followers_of_nagash_realm_of_souls_3
wh2_dlc09_tmb_mon_fell_bats	followers_of_nagash_realm_of_souls_1
wh2_dlc09_tmb_mon_fell_bats	followers_of_nagash_realm_of_souls_2
wh2_dlc09_tmb_mon_fell_bats	followers_of_nagash_realm_of_souls_3
wh2_dlc09_tmb_cav_hexwraiths	followers_of_nagash_realm_of_souls_1
wh2_dlc09_tmb_cav_hexwraiths	followers_of_nagash_realm_of_souls_2
wh2_dlc09_tmb_cav_hexwraiths	followers_of_nagash_realm_of_souls_3
wh2_dlc09_tmb_mon_dire_wolves	followers_of_nagash_realm_of_souls_1
wh2_dlc09_tmb_mon_dire_wolves	followers_of_nagash_realm_of_souls_2
wh2_dlc09_tmb_mon_dire_wolves	followers_of_nagash_realm_of_souls_3
steve_ark_zmb	followers_of_nagash_realm_of_souls_1
steve_ark_zmb	followers_of_nagash_realm_of_souls_2
steve_ark_zmb	followers_of_nagash_realm_of_souls_3
steve_ark_grave_guard	followers_of_nagash_realm_of_souls_1
steve_ark_grave_guard	followers_of_nagash_realm_of_souls_2
steve_ark_grave_guard	followers_of_nagash_realm_of_souls_3
steve_ark_grave_guard_great	followers_of_nagash_realm_of_souls_1
steve_ark_grave_guard_great	followers_of_nagash_realm_of_souls_2
steve_ark_grave_guard_great	followers_of_nagash_realm_of_souls_3
steve_ark_zmb_halberd	followers_of_nagash_realm_of_souls_1
steve_ark_zmb_halberd	followers_of_nagash_realm_of_souls_2
steve_ark_zmb_halberd	followers_of_nagash_realm_of_souls_3
steve_ark_zmb_gunner_mob	followers_of_nagash_realm_of_souls_1
steve_ark_zmb_gunner_mob	followers_of_nagash_realm_of_souls_2
steve_ark_zmb_gunner_mob	followers_of_nagash_realm_of_souls_3
steve_ark_zmb_handgunner_mob	followers_of_nagash_realm_of_souls_1
steve_ark_zmb_handgunner_mob	followers_of_nagash_realm_of_souls_2
steve_ark_zmb_handgunner_mob	followers_of_nagash_realm_of_souls_3
steve_ark_prometheans_gunnery_mob	followers_of_nagash_realm_of_souls_1
steve_ark_prometheans_gunnery_mob	followers_of_nagash_realm_of_souls_2
steve_ark_prometheans_gunnery_mob	followers_of_nagash_realm_of_souls_3
steve_ark_cairn_wraith	followers_of_nagash_realm_of_souls_1
steve_ark_cairn_wraith	followers_of_nagash_realm_of_souls_2
steve_ark_cairn_wraith	followers_of_nagash_realm_of_souls_3
steve_ark_nagashizzar_guard	followers_of_nagash_realm_of_souls_1
steve_ark_nagashizzar_guard	followers_of_nagash_realm_of_souls_2
steve_ark_nagashizzar_guard	followers_of_nagash_realm_of_souls_3
steve_ark_skeleton_spearmen	followers_of_nagash_realm_of_souls_1
steve_ark_skeleton_spearmen	followers_of_nagash_realm_of_souls_2
steve_ark_skeleton_spearmen	followers_of_nagash_realm_of_souls_3
steve_ark_skeleton_warriors	followers_of_nagash_realm_of_souls_1
steve_ark_skeleton_warriors	followers_of_nagash_realm_of_souls_2
steve_ark_skeleton_warriors	followers_of_nagash_realm_of_souls_3
steve_ark_skeleton_archers	followers_of_nagash_realm_of_souls_1
steve_ark_skeleton_archers	followers_of_nagash_realm_of_souls_2
steve_ark_skeleton_archers	followers_of_nagash_realm_of_souls_3
