unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables	36	db/main_units_tables/extra_tomb_king_lords
stephen_tmb_cha_tomb_king_1	stephen_tmb_cha_tomb_king_1	1	wh_main_shp_transport	1	1	1	false	medium	0	0	1	-1	1100	0	lord	0					false	false	0	406836789	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_infantry_sword	lord_infantry_sword	0	true	tmb_general		true	false		1100.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
stephen_tmb_cha_tomb_king_2	stephen_tmb_cha_tomb_king_2	1	wh_main_shp_transport	1	1	1	false	medium	0	0	1	-1	1300	0	lord	0					false	false	0	406836790	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_cavalry	lord_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true	false		1300.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
stephen_tmb_cha_tomb_king_3	stephen_tmb_cha_tomb_king_3	2	wh_main_shp_transport	1	1	1	false	heavy	0	0	1	-1	1350	0	lord	0					false	false	0	406836791	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_chariot	lord_chariot	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_general_chariot	true	false		1350.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
stephen_tmb_cha_tomb_king_4	stephen_tmb_cha_tomb_king_4	1	wh_main_shp_transport	1	1	1	false	very_heavy	0	0	1	-1	2000	0	lord	0					false	false	0	406836792	false		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_lord_tmb_warsphinx	wh2_dlc09_lord_tmb_warsphinx	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_khemrian_warsphinx	true	false		2000.0	0.0	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	true	0	false	false	
stephen_tmb_cha_tomb_king_grief	stephen_tmb_cha_tomb_king_grief	1	wh_main_shp_transport	1	1	1	false	medium	0	0	1	-1	1100	0	lord	0					false	false	0	406836793	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_infantry_sword	lord_infantry_sword	0	true	tmb_general		true	false		1100.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
stephen_tmb_cha_tomb_king_grief_horse	stephen_tmb_cha_tomb_king_grief_horse	1	wh_main_shp_transport	1	1	1	false	medium	0	0	1	-1	1300	0	lord	0					false	false	0	406836794	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_cavalry	lord_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true	false		1300.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
stephen_tmb_cha_tomb_king_grief_chariot	stephen_tmb_cha_tomb_king_grief_chariot	2	wh_main_shp_transport	1	1	1	false	heavy	0	0	1	-1	1350	0	lord	0					false	false	0	406836795	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_chariot	lord_chariot	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_settra_chariot	true	false		1350.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
stephen_tmb_cha_tomb_king_grief_warsphinx	stephen_tmb_cha_tomb_king_grief_warsphinx	1	wh_main_shp_transport	1	1	1	false	very_heavy	0	0	1	-1	2000	0	lord	0					false	false	0	406836796	false		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_lord_tmb_warsphinx	wh2_dlc09_lord_tmb_warsphinx	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_khemrian_warsphinx	true	false		2000.0	0.0	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	true	0	false	false	
stephen_tmb_cha_tomb_king_terror	stephen_tmb_cha_tomb_king_terror	1	wh_main_shp_transport	1	1	1	false	medium	0	0	1	-1	1100	0	lord	0					false	false	0	406836797	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_infantry_sword	lord_infantry_sword	0	true	tmb_general		true	false		1100.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
stephen_tmb_cha_tomb_king_terror_horse	stephen_tmb_cha_tomb_king_terror_horse	1	wh_main_shp_transport	1	1	1	false	medium	0	0	1	-1	1300	0	lord	0					false	false	0	406836798	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_cavalry	lord_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true	false		1300.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
stephen_tmb_cha_tomb_king_terror_chariot	stephen_tmb_cha_tomb_king_terror_chariot	2	wh_main_shp_transport	1	1	1	false	heavy	0	0	1	-1	1350	0	lord	0					false	false	0	406836799	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_chariot	lord_chariot	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_settra_chariot	true	false		1350.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
stephen_tmb_cha_tomb_king_terror_warsphinx	stephen_tmb_cha_tomb_king_terror_warsphinx	1	wh_main_shp_transport	1	1	1	false	very_heavy	0	0	1	-1	2000	0	lord	0					false	false	0	406836800	false		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_lord_tmb_warsphinx	wh2_dlc09_lord_tmb_warsphinx	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_khemrian_warsphinx	true	false		2000.0	0.0	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	true	0	false	false	
stephen_tmb_cha_tomb_king_madness	stephen_tmb_cha_tomb_king_madness	1	wh_main_shp_transport	1	1	1	false	medium	0	0	1	-1	1100	0	lord	0					false	false	0	406836801	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_infantry_sword	lord_infantry_sword	0	true	tmb_general		true	false		1100.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
stephen_tmb_cha_tomb_king_madness_horse	stephen_tmb_cha_tomb_king_madness_horse	1	wh_main_shp_transport	1	1	1	false	medium	0	0	1	-1	1300	0	lord	0					false	false	0	406836802	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_cavalry	lord_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true	false		1300.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
stephen_tmb_cha_tomb_king_madness_chariot	stephen_tmb_cha_tomb_king_madness_chariot	2	wh_main_shp_transport	1	1	1	false	heavy	0	0	1	-1	1350	0	lord	0					false	false	0	406836803	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_chariot	lord_chariot	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_settra_chariot	true	false		1350.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
stephen_tmb_cha_tomb_king_madness_warsphinx	stephen_tmb_cha_tomb_king_madness_warsphinx	1	wh_main_shp_transport	1	1	1	false	very_heavy	0	0	1	-1	2000	0	lord	0					false	false	0	406836804	false		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_lord_tmb_warsphinx	wh2_dlc09_lord_tmb_warsphinx	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_khemrian_warsphinx	true	false		2000.0	0.0	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	true	0	false	false	
stephen_tmb_cha_tomb_king_sacrament	stephen_tmb_cha_tomb_king_sacrament	1	wh_main_shp_transport	1	1	1	false	medium	0	0	1	-1	1100	0	lord	0					false	false	0	406836805	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_infantry_sword	lord_infantry_sword	0	true	tmb_general		true	false		1100.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
stephen_tmb_cha_tomb_king_sacrament_horse	stephen_tmb_cha_tomb_king_sacrament_horse	1	wh_main_shp_transport	1	1	1	false	medium	0	0	1	-1	1300	0	lord	0					false	false	0	406836806	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_cavalry	lord_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true	false		1300.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
