main_units_tables	36
unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
steve_ark_zmb	steve_ark_zmb	160	wh_main_shp_transport	1	1	160	false	heavy	0	0	1	-1	200	0	melee_infantry	0					false	false	0	198765843	true		wh_main_vo_culture_Zombie	wh2_main_infantry_dual_swords	wh2_main_infantry_dual_swords	1	false	vamp_zombie		false	true		150.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false	
steve_ark_zmb_summon	steve_ark_zmb_summon	160	wh_main_shp_transport	1	1	160	false	heavy	0	0	1	-1	200	0	melee_infantry	0					false	false	0	198765842	true		wh_main_vo_culture_Zombie	infantry_sword	infantry_sword	1	false	vamp_zombie		false	true		150.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false	
steve_ark_grave_guard	steve_ark_grave_guard	120	wh_main_shp_transport	1	1	120	false	heavy	0	0	1	0	800	0	melee_infantry	0					false	false	0	198765844	true		wh_main_vo_culture_Skeleton	infantry_sword	infantry_sword	3	false	vamp_grave_guard		false	true		750.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false	
steve_ark_grave_guard_great	steve_ark_grave_guard_great	120	wh_main_shp_transport	1	1	120	false	heavy	0	0	1	0	800	0	melee_infantry	0					false	false	0	198765845	true		wh_main_vo_culture_Skeleton	infantry_sword_great	infantry_sword_great	3	false	vamp_grave_guard		false	true		950.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false	
steve_ark_terrorgheist	steve_ark_terrorgheist	1	wh_main_shp_transport	1	1	1	false	heavy	0	0	3	0	1750	0	monster	0					false	false	0	198765846	true		wh_main_vo_culture_Terrorgheist	dragon	dragon	5	true	vamp_terrorgheist		true	false		2000.0	0.0	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	true	0	false	false	
steve_ark_vargheist	steve_ark_vargheist	16	wh_main_shp_transport	1	1	16	false	heavy	0	0	2	0	1400	0	monstrous_infantry	0					false	false	0	198765847	true		wh_main_vo_culture_Var_Creature	monstrous_infantry_flying	monstrous_infantry_flying	4	true	vamp_vargheist		false	true		1000.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	true	0	false	false	
steve_ark_mourngul	steve_ark_mourngul	16	wh_main_shp_transport	1	1	16	false	very_heavy	0	0	2	0	1000	0	monstrous_infantry	0					false	false	0	198765848	true		wh2_dlc11_vo_culture_Mourngul	monstrous_infantry	monstrous_infantry	3	false	cst_mournguls		false	true		1000.0	0.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	0	false	false	
steve_ark_zmb_halberd	steve_ark_zmb_halberd	160	wh_main_shp_transport	1	1	160	false	heavy	0	0	1	-1	300	0	melee_infantry	0					false	false	0	198765849	true		wh_main_vo_culture_Zombie	infantry_spear_halberd	infantry_spear_halberd	2	false	cst_zombie_deckhands		false	true		400.0	0.0	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob	0	true	false	0	false	false	
steve_ark_crypt_horror	steve_ark_crypt_horror	16	wh_main_shp_transport	1	1	16	false	heavy	0	0	2	0	1250	0	monstrous_infantry	0					false	false	0	198765850	true		wh_main_vo_culture_Crypt_Horror	monstrous_infantry	monstrous_infantry	3	true	vamp_crypt_horror		false	true		800.0	0.0	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false	
steve_ark_cairn_wraith	steve_ark_cairn_wraith	60	wh_main_shp_transport	1	1	60	false	heavy	0	0	1	0	1100	0	melee_infantry	0					false	false	0	198765858	true		wh_main_vo_culture_Wraith	vmp_infantry_scythe	vmp_infantry_scythe	4	false	vamp_cairn_wraith		false	true		850.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false	
