slot_template_to_building_superchain_junctions_tables	0
id	slot_template	building_superchain
1122560551	wh2_main_human_major_secondary_spices	arkhan_major_walls
1122560552	wh2_main_special_har_ganeth_secondary	arkhan_major_walls
1122560553	wh_main_special_karak_ungor_secondary	arkhan_major_walls
1122560554	wh2_main_special_ghrond_secondary_ritual	arkhan_major_walls
1122560555	wh_main_human_major_secondary_pottery	arkhan_major_walls
1122560556	wh_main_human_major_secondary_marble	arkhan_major_walls
1122560557	wh_main_human_major_secondary_gold	arkhan_major_walls
1122560558	wh2_main_special_parravon_secondary	arkhan_major_walls
1122560559	wh_main_special_kislev_secondary	arkhan_major_walls
1122560560	wh2_main_human_major_secondary_medicine	arkhan_major_walls
1122560561	wh2_dlc10_special_gaean_vale_secondary	arkhan_major_walls
1122560562	wh2_dlc15_special_morgheim_secondary	arkhan_major_walls
1122560563	wh2_main_special_altar_of_the_horned_rat_secondary_ritual	arkhan_major_walls
1122560564	wh2_main_special_altar_of_ultimate_darkness_secondary_major	arkhan_major_walls
1122560565	wh2_main_special_clar_karond_secondary	arkhan_major_walls
1122560566	wh2_main_special_tlaxtlan_secondary_ritual	arkhan_major_walls
1122560567	wh2_main_special_tor_elyr_secondary	arkhan_major_walls
1122560568	wh_dlc15_special_plain_of_bones_fortress_of_vorag_secondary	arkhan_major_walls
1122560569	wh2_main_special_kraka_drak_secondary	arkhan_major_walls
1122560570	wh2_main_special_tower_of_hoeth_secondary	arkhan_major_walls
1122560571	wh_main_human_major_secondary_salt	arkhan_major_walls
1122560572	wh_main_special_erengrad_secondary	arkhan_major_walls
1122560573	wh_main_special_karak_norn_secondary	arkhan_major_walls
1122560574	wh2_main_special_tor_anlec_secondary	arkhan_major_walls
1122560575	wh2_main_special_karond_kar_secondary	arkhan_major_walls
1122560576	wh_main_special_karak_kadrin_2_secondary	arkhan_major_walls
1122560577	wh_main_special_pfeildorf_secondary	arkhan_major_walls
1122560578	wh2_main_special_skeggi_secondary_major	arkhan_major_walls
1122560579	wh2_main_special_hag_graef_secondary	arkhan_major_walls
1122560580	wh2_main_special_tlaxtlan_secondary	arkhan_major_walls
1122560581	wh2_main_special_oyxl_secondary	arkhan_major_walls
1122560582	wh2_main_special_karag_orrud_secondary	arkhan_major_walls
1122560583	wh2_main_human_major_secondary_beer	arkhan_major_walls
1122560584	wh_main_special_middenheim_secondary	arkhan_major_walls
1122560585	wh2_main_special_galbaraz_secondary	arkhan_major_walls
1122560586	wh2_dlc14_special_gnoblar_country_flayed_rock_secondary	arkhan_major_walls
1122560587	wh_main_special_black_crag_secondary	arkhan_major_walls
1122560588	wh2_main_special_altar_of_ultimate_darkness_secondary_ritual	arkhan_major_walls
1122560589	wh_main_human_major_secondary	arkhan_major_walls
