id	slot_template	building_superchain
#slot_template_to_building_superchain_junctions_tables	0	db/slot_template_to_building_superchain_junctions_tables/zzzzz_mixu_comp_stevie_mortal_empires
1142561265	major_secondary_atalan_mountains_vulture_mountain	arkhan_major_walls
1142561266	major_secondary_averland_averheim	arkhan_major_walls
1142561267	major_secondary_bastonne_et_montfort_castle_bastonne	arkhan_major_walls
1142561268	major_secondary_crater_of_the_walking_dead_rasetra	arkhan_major_walls
1142561269	major_secondary_deadwood_the_frozen_city	arkhan_major_walls
1142561270	major_secondary_dragon_isles_dread_rock	arkhan_major_walls
1142561271	major_secondary_dyes_blood_river_valley_barak_varr	arkhan_major_walls
1142561272	major_secondary_fort_bergbres	arkhan_major_walls
1142561273	major_secondary_fort_helmgart	arkhan_major_walls
1142561274	major_secondary_fort_soll	arkhan_major_walls
1142561275	major_secondary_gems_jungles_of_green_mists_spektazuma	arkhan_major_walls
1142561276	major_secondary_gold_ostland_wolfenburg	arkhan_major_walls
1142561277	major_secondary_huahuan_desert_sentinels_of_xeti	arkhan_major_walls
1142561278	major_secondary_iron_the_clawed_coast_hoteks_column	arkhan_major_walls
1142561279	major_secondary_land_of_assassins_palace_of_the_wizard_caliph	arkhan_major_walls
1142561280	major_secondary_land_of_the_dervishes_sudenburg	arkhan_major_walls
1142561281	major_secondary_marble_northern_jungle_of_pahualaxa_macu_peaks	arkhan_major_walls
1142561282	major_secondary_medicine_southern_jungle_of_pahualaxa_pahuax	arkhan_major_walls
1142561283	major_secondary_misty_hills_the_black_pit	arkhan_major_walls
1142561284	major_secondary_northern_oblast_fort_ostrosk	arkhan_major_walls
1142561285	major_secondary_obsidian_volcanic_islands_the_star_tower	arkhan_major_walls
1142561286	major_secondary_pastures_doom_glades_hag_hall	arkhan_major_walls
1142561287	major_secondary_pastures_eastern_border_princes_akendorf	arkhan_major_walls
1142561288	major_secondary_pastures_kingdom_of_beasts_temple_of_skulls	arkhan_major_walls
1142561289	major_secondary_pastures_lyonesse_lyonesse	arkhan_major_walls
1142561290	major_secondary_pastures_western_jungles_tlaqua	arkhan_major_walls
1142561291	major_secondary_pottery_ostermark_bechafen	arkhan_major_walls
1142561292	major_secondary_pottery_western_border_princes_myrmidens	arkhan_major_walls
1142561293	major_secondary_salt_blackspine_mountains_red_desert	arkhan_major_walls
1142561294	major_secondary_salt_coast_of_araby_al_haikk	arkhan_major_walls
1142561295	major_secondary_savages_western_badlands_ekrund	arkhan_major_walls
1142561296	major_secondary_southlands_jungle_teotiqua	arkhan_major_walls
1142561297	major_secondary_spine_of_sotek_hualotal	arkhan_major_walls
1142561298	major_secondary_the_black_coast_arnheim	arkhan_major_walls
1142561299	major_secondary_the_plain_of_bones_the_fortress_of_vorag	arkhan_major_walls
1142561300	major_secondary_timber_forest_of_arden_castle_artois	arkhan_major_walls
1142561301	major_secondary_timber_hochland_hergig	arkhan_major_walls
1142561302	major_secondary_wine_stirland_wurtbad	arkhan_major_walls
1142561303	major_secondary_wine_western_sylvania_castle_templehof	arkhan_major_walls
1142561304	major_secondary_northern_dark_lands_silver_pinnacle	arkhan_major_walls
1142561305	minor_norsca_aghol_wastelands_palace_of_princes	arkhan_minor_walls
1142561306	minor_norsca_aghol_wastelands_the_palace_of_ruin	arkhan_minor_walls
1142561307	minor_norsca_albion_isle_of_wights	arkhan_minor_walls
1142561308	minor_norsca_goromandy_mountains_frozen_landing	arkhan_minor_walls
1142561309	minor_norsca_helspire_mountains_serpent_jetty	arkhan_minor_walls
1142561310	minor_norsca_ice_tooth_mountains_longship_graveyard	arkhan_minor_walls
1142561311	minor_norsca_ironfrost_glacier_dagraks_end	arkhan_minor_walls
1142561312	minor_norsca_mountains_of_hel_winter_pyre	arkhan_minor_walls
1142561313	minor_norsca_vanaheim_mountains_troll_fjord	arkhan_minor_walls
1142561314	minor_secondary_avelorn_evershale	arkhan_minor_walls
1142561315	minor_secondary_black_mountains_mighdal_vongalbarak	arkhan_minor_walls
1142561316	minor_secondary_blackspine_mountains_plain_of_dogs	arkhan_minor_walls
1142561317	minor_secondary_blightwater_deff_gorge	arkhan_minor_walls
1142561318	minor_secondary_blightwater_kradtommen	arkhan_minor_walls
1142561319	minor_secondary_blood_river_valley_barag_dawazbag	arkhan_minor_walls
