slot_template_to_building_superchain_junctions_tables	0
id	slot_template	building_superchain
1142561820	major_norsca_vor_aghol_wastelands_fortress_of_the_damned	arkhan_major_walls
1142561821	major_norsca_vor_ironfrost_glacier_bear_isle	arkhan_major_walls
1142561822	major_secondary_vor_ashen_coast_scarpels_lair	arkhan_major_walls
1142561823	major_secondary_vor_cobra_pass_vulture_mountain	arkhan_major_walls
1142561824	major_secondary_vor_copper_desert_the_forgotten_isles	arkhan_major_walls
1142561825	major_secondary_vor_culchan_plains_kaiax	arkhan_major_walls
1142561826	major_secondary_vor_deadwood_the_frozen_city	arkhan_major_walls
1142561827	major_secondary_vor_land_of_assassins_palace_of_the_wizard_caliph	arkhan_major_walls
1142561828	major_secondary_vor_northern_spine_of_sotek_hualotal	arkhan_major_walls
1142561829	major_secondary_vor_red_desert_drackla_spire	arkhan_major_walls
1142561830	major_secondary_vor_scorpion_coast_temple_of_tlencan	arkhan_major_walls
1142561831	major_secondary_vor_shifting_mangrove_coastline_teotiqua	arkhan_major_walls
1142561832	major_secondary_vor_southern_great_jungle_gwakmol_crater	arkhan_major_walls
1142561833	major_secondary_vor_southern_yvresse_elessaeli	arkhan_major_walls
1142561834	major_secondary_vor_the_black_coast_bleak_hold_fortress	arkhan_major_walls
1142561835	major_secondary_vor_the_capes_citadel_of_dusk	arkhan_major_walls
1142561836	major_secondary_vor_the_forbidden_jungle_sentinels_of_xeti	arkhan_major_walls
1142561837	major_secondary_vor_the_jungles_of_the_gods_tor_surpindar	arkhan_major_walls
1142561838	major_secondary_vor_the_red_rivers_cuexotl	arkhan_major_walls
1142561839	major_norsca_vor_aghol_wastelands_fortress_of_the_damned	arkhan_vmp_halls_dead
1142561840	major_norsca_vor_ironfrost_glacier_bear_isle	arkhan_vmp_halls_dead
1142561841	major_secondary_vor_ashen_coast_scarpels_lair	arkhan_vmp_halls_dead
1142561842	major_secondary_vor_cobra_pass_vulture_mountain	arkhan_vmp_halls_dead
1142561843	major_secondary_vor_copper_desert_the_forgotten_isles	arkhan_vmp_halls_dead
1142561844	major_secondary_vor_culchan_plains_kaiax	arkhan_vmp_halls_dead
1142561845	major_secondary_vor_deadwood_the_frozen_city	arkhan_vmp_halls_dead
1142561846	major_secondary_vor_land_of_assassins_palace_of_the_wizard_caliph	arkhan_vmp_halls_dead
1142561847	major_secondary_vor_northern_spine_of_sotek_hualotal	arkhan_vmp_halls_dead
1142561848	major_secondary_vor_red_desert_drackla_spire	arkhan_vmp_halls_dead
1142561849	major_secondary_vor_scorpion_coast_temple_of_tlencan	arkhan_vmp_halls_dead
1142561850	major_secondary_vor_shifting_mangrove_coastline_teotiqua	arkhan_vmp_halls_dead
1142561851	major_secondary_vor_southern_great_jungle_gwakmol_crater	arkhan_vmp_halls_dead
1142561852	major_secondary_vor_southern_yvresse_elessaeli	arkhan_vmp_halls_dead
1142561853	major_secondary_vor_the_black_coast_bleak_hold_fortress	arkhan_vmp_halls_dead
1142561854	major_secondary_vor_the_capes_citadel_of_dusk	arkhan_vmp_halls_dead
1142561855	major_secondary_vor_the_forbidden_jungle_sentinels_of_xeti	arkhan_vmp_halls_dead
1142561856	major_secondary_vor_the_jungles_of_the_gods_tor_surpindar	arkhan_vmp_halls_dead
1142561857	major_secondary_vor_the_red_rivers_cuexotl	arkhan_vmp_halls_dead
1142561858	minor_norsca_vor_aghol_wastelands_palace_of_princes	arkhan_minor_walls
1142561859	minor_norsca_vor_aghol_wastelands_the_palace_of_ruin	arkhan_minor_walls
1142561860	minor_norsca_vor_albion_troll_fjord	arkhan_minor_walls
1142561861	minor_norsca_vor_ironfrost_glacier_dagraks_end	arkhan_minor_walls
1142561862	minor_norsca_vor_ironfrost_glacier_ironfrost	arkhan_minor_walls
1142561863	minor_norsca_vor_ironfrost_glacier_mung_encampment	arkhan_minor_walls
1142561864	minor_secondary_vor_ashen_coast_titan_peak	arkhan_minor_walls
1142561865	minor_secondary_vor_ashen_coast_tyrant_peak	arkhan_minor_walls
1142561866	minor_secondary_vor_avelorn_evershale	arkhan_minor_walls
1142561867	minor_secondary_vor_caledor_tor_sethai	arkhan_minor_walls
1142561868	minor_secondary_vor_central_spine_of_sotek_caverns_of_the_great_bat	arkhan_minor_walls
1142561869	minor_secondary_vor_chrace_tor_gard	arkhan_minor_walls
1142561870	minor_secondary_vor_coast_of_squalls_monument_of_the_sun	arkhan_minor_walls
1142561871	minor_secondary_vor_coasts_of_the_lustrian_gulf_the_night_forest	arkhan_minor_walls
1142561872	minor_secondary_vor_cothique_mistnar	arkhan_minor_walls
1142561873	minor_secondary_vor_culchan_plains_the_hissing_god	arkhan_minor_walls
1142561874	minor_secondary_vor_culchan_plains_the_southern_sentinels	arkhan_minor_walls
1142561875	minor_secondary_vor_deadwood_shagrath	arkhan_minor_walls
1142561876	minor_secondary_vor_ellyrion_the_arc_span	arkhan_minor_walls
1142561877	minor_secondary_vor_forest_of_the_viper_chotecs_causeway	arkhan_minor_walls
1142561878	minor_secondary_vor_headhunters_jungle_marks_of_the_old_ones	arkhan_minor_walls
1142561879	minor_secondary_vor_iron_mountains_rackdo_gorge	arkhan_minor_walls
1142561880	minor_secondary_vor_iron_mountains_shroktak_mount	arkhan_minor_walls
1142561881	minor_secondary_vor_isthmus_of_lustria_monolith_of_fallen_gods	arkhan_minor_walls
1142561882	minor_secondary_vor_jungle_of_pahualaxa_monument_of_the_moon	arkhan_minor_walls
1142561883	minor_secondary_vor_jungles_of_green_mist_pillars_of_unseen_constellations	arkhan_minor_walls
1142561884	minor_secondary_vor_kingdom_of_beasts_serpent_coast	arkhan_minor_walls
1142561885	minor_secondary_vor_land_of_assassins_lashiek	arkhan_minor_walls
1142561886	minor_secondary_vor_land_of_the_dervishes_elven_ruins	arkhan_minor_walls
1142561887	minor_secondary_vor_mosquito_swamps_tlax	arkhan_minor_walls
1142561888	minor_secondary_vor_nagarythe_tor_dranil	arkhan_minor_walls
1142561889	minor_secondary_vor_naggarond_har_kaldra	arkhan_minor_walls
1142561890	minor_secondary_vor_northern_great_jungle_quittax	arkhan_minor_walls
1142561891	minor_secondary_vor_northern_spine_of_sotek_monument_of_izzatal	arkhan_minor_walls
1142561892	minor_secondary_vor_northern_yvresse_tralinia	arkhan_minor_walls
1142561893	minor_secondary_vor_obsidian_peaks_ice_rock_gorge	arkhan_minor_walls
1142561894	minor_secondary_vor_obsidian_peaks_temple_of_addaioth	arkhan_minor_walls
1142561895	minor_secondary_vor_plain_of_spiders_pits_of_zardok	arkhan_minor_walls
1142561896	minor_secondary_vor_saphery_port_elistor	arkhan_minor_walls
1142561897	minor_secondary_vor_sea_of_dread_tower_of_the_stars	arkhan_minor_walls
1142561898	minor_secondary_vor_settlers_coast_port_reaver	arkhan_minor_walls
1142561899	minor_secondary_vor_shadow_wood_circle_of_destruction	arkhan_minor_walls
1142561900	minor_secondary_vor_shadow_wood_daldrachs_lair	arkhan_minor_walls
1142561901	minor_secondary_vor_shifting_sands_antoch	arkhan_minor_walls
1142561902	minor_secondary_vor_southern_great_jungle_mortuary_of_tzulaqua	arkhan_minor_walls
1142561903	minor_secondary_vor_southern_great_jungle_xhotl	arkhan_minor_walls
1142561904	minor_secondary_vor_southern_jungles_dawns_light	arkhan_minor_walls
1142561905	minor_secondary_vor_southern_yvresse_shrine_of_loec	arkhan_minor_walls
1142561906	minor_secondary_vor_southlands_world_edge_mountains_lost_plateau	arkhan_minor_walls
1142561907	minor_secondary_vor_the_black_coast_arnheim	arkhan_minor_walls
1142561908	minor_secondary_vor_the_black_flood_storag_kor	arkhan_minor_walls
1142561909	minor_secondary_vor_the_black_flood_temple_of_khaine	arkhan_minor_walls
1142561910	minor_secondary_vor_the_broken_land_blacklight_tower	arkhan_minor_walls
1142561911	minor_secondary_vor_the_broken_land_slavers_point	arkhan_minor_walls
1142561912	minor_secondary_vor_the_capes_tip_of_lustria	arkhan_minor_walls
1142561913	minor_secondary_vor_the_chill_road_the_great_arena	arkhan_minor_walls
1142561914	minor_secondary_vor_the_clawed_coast_the_twisted_glade	arkhan_minor_walls
1142561915	minor_secondary_vor_the_creeping_jungle_temple_of_kara	arkhan_minor_walls
1142561916	minor_secondary_vor_the_dragon_isles_isle_of_the_crimson_skull	arkhan_minor_walls
1142561917	minor_secondary_vor_the_great_desert_pools_of_despair	arkhan_minor_walls
1142561918	minor_secondary_vor_the_lost_valleys_the_sentinel_of_time	arkhan_minor_walls
1142561919	minor_secondary_vor_the_red_rivers_soteks_trail	arkhan_minor_walls
1142561920	minor_secondary_vor_the_road_of_skulls_kauark	arkhan_minor_walls
1142561921	minor_secondary_vor_the_road_of_skulls_the_black_pillar	arkhan_minor_walls
1142561922	minor_secondary_vor_the_turtle_isles_golden_ziggurat	arkhan_minor_walls
1142561923	minor_secondary_vor_tiranoc_salvation_isle	arkhan_minor_walls
1142561924	minor_secondary_vor_western_jungles_statues_of_the_gods	arkhan_minor_walls
1142561925	major_secondary_animals_vor_the_turtle_isles_great_turtle_isle	arkhan_minor_walls
1142561926	minor_secondary_animals_vor_caledor_caledors_repose	arkhan_minor_walls
1142561927	minor_secondary_animals_vor_grey_guardians_sulpharets	arkhan_minor_walls
1142561928	minor_secondary_animals_vor_iron_mountains_cragroth_deep	arkhan_minor_walls
1142561929	minor_secondary_animals_vor_river_qurveza_mouth_of_qurveza	arkhan_minor_walls
1142561930	minor_secondary_animals_vor_southlands_world_edge_mountains_mount_arachnos	arkhan_minor_walls
1142561931	minor_secondary_animals_vor_volcanic_islands_fuming_serpent	arkhan_minor_walls
1142561932	major_secondary_dyes_vor_land_of_the_dervishes_el-kalabad	arkhan_minor_walls
1142561933	major_secondary_dyes_vor_obsidian_peaks_keshta_vault	arkhan_minor_walls
1142561934	minor_secondary_dyes_vor_southern_yvresse_cairn_thel	arkhan_minor_walls
1142561935	minor_secondary_dyes_vor_the_vampire_coast_the_blood_swamps	arkhan_minor_walls
1142561936	major_secondary_gems_vor_central_spine_of_sotek_chiquibol	arkhan_minor_walls
1142561937	major_secondary_gems_vor_jungles_of_green_mist_spektazuma	arkhan_minor_walls
1142561938	major_secondary_gems_vor_the_red_rivers_zlatan	arkhan_minor_walls
1142561939	minor_secondary_gems_vor_cobra_pass_eye_of_the_panther	arkhan_minor_walls
1142561940	minor_secondary_gems_vor_saphery_shadow_peak	arkhan_minor_walls
1142561941	major_secondary_gold_vor_culchan_plains_chupayotl	arkhan_minor_walls
1142561942	minor_secondary_gold_vor_northern_yvresse_sardenath	arkhan_minor_walls
1142561943	minor_secondary_gold_vor_shifting_mangrove_coastline_temple_avenue_of_gold	arkhan_minor_walls
1142561944	minor_secondary_gold_vor_southern_spine_of_sotek_thrice-cursed_peak	arkhan_minor_walls
1142561945	minor_secondary_gold_vor_the_great_desert_bel_aliad	arkhan_minor_walls
1142561946	major_secondary_medicine_vor_jungle_of_pahualaxa_pahuax	arkhan_minor_walls
1142561947	minor_secondary_medicine_vor_kingdom_of_beasts_the_cursed_jungle	arkhan_minor_walls
1142561948	minor_secondary_medicine_vor_mosquito_swamps_xahutec	arkhan_minor_walls
1142561949	minor_secondary_obsidian_vor_deadwood_dargoth	arkhan_minor_walls
1142561950	minor_secondary_obsidian_vor_obsidian_peaks_ice_spire	arkhan_minor_walls
1142561951	minor_secondary_obsidian_vor_the_chill_road_ashrak	arkhan_minor_walls
1142561952	minor_secondary_furs_vor_naggarond_kaelra	arkhan_minor_walls
1142561953	minor_secondary_furs_vor_shadow_wood_venom_glade	arkhan_minor_walls
1142561954	minor_secondary_furs_vor_shifting_sands_plain_of_tuskers	arkhan_minor_walls
1142561955	minor_secondary_furs_vor_southern_jungles_scrag_hole	arkhan_minor_walls
1142561956	major_secondary_iron_vor_southern_spine_of_sotek_mine_of_the_bearded_skulls	arkhan_minor_walls
1142561957	major_secondary_iron_vor_the_clawed_coast_hoteks_column	arkhan_minor_walls
1142561958	minor_norsca_iron_vor_albion_pack_ice_bay	arkhan_minor_walls
1142561959	minor_secondary_iron_vor_coast_of_araby_martek	arkhan_minor_walls
1142561960	minor_secondary_iron_vor_iron_peaks_ironspike	arkhan_minor_walls
1142561961	minor_secondary_iron_vor_jungle_of_pahualaxa_the_high_sentinel	arkhan_minor_walls
1142561962	minor_secondary_iron_vor_saphery_tor_finu	arkhan_minor_walls
1142561963	major_secondary_salt_vor_coast_of_araby_al_haikk	arkhan_minor_walls
1142561964	minor_secondary_salt_vor_land_of_the_dead_the_salt_plain	arkhan_minor_walls
1142561965	minor_secondary_salt_vor_red_desert_rothkar_spire	arkhan_minor_walls
1142561966	minor_secondary_salt_vor_straits_of_lothern_tower_of_lysean	arkhan_minor_walls
1142561967	minor_secondary_salt_vor_the_broken_land_black_creek_spire	arkhan_minor_walls
1142561968	major_secondary_marble_vor_coast_of_squalls_macu_peaks	arkhan_minor_walls
1142561969	minor_secondary_marble_vor_ash_river_springs_of_eternal_life	arkhan_minor_walls
1142561970	minor_secondary_marble_vor_copper_desert_the_golden_colossus	arkhan_minor_walls
1142561971	minor_secondary_marble_vor_grey_guardians_grey_rock_point	arkhan_minor_walls
1142561972	minor_secondary_marble_vor_northern_spine_of_sotek_cavern_of_the_mlexigaur	arkhan_minor_walls
1142561973	minor_secondary_marble_vor_the_clawed_coast_the_monoliths	arkhan_minor_walls
1142561974	minor_secondary_marble_vor_tiranoc_whitepeak	arkhan_minor_walls
1142561975	minor_secondary_marble_vor_western_jungles_deaths-head_monoliths	arkhan_minor_walls
1142561976	major_secondary_pastures_vor_kingdom_of_beasts_temple_of_skulls	arkhan_minor_walls
1142561977	major_secondary_pastures_vor_western_jungles_tlaqua	arkhan_minor_walls
1142561978	minor_secondary_pastures_vor_culchan_plains_xlansec	arkhan_minor_walls
1142561979	minor_secondary_pastures_vor_ellyrion_reavers_mark	arkhan_minor_walls
1142561980	minor_secondary_pastures_vor_jungles_of_green_mist_wellsprings_of_eternity	arkhan_minor_walls
1142561981	minor_secondary_pastures_vor_scorpion_coast_chotec	arkhan_minor_walls
1142561982	minor_secondary_pastures_vor_the_black_coast_hag_hall	arkhan_minor_walls
1142561983	minor_secondary_pastures_vor_the_lost_valleys_subatuun	arkhan_minor_walls
1142561984	minor_secondary_pastures_vor_tiranoc_the_high_vale	arkhan_minor_walls
1142561985	major_secondary_pottery_vor_sea_of_dread_tor_elasor	arkhan_minor_walls
1142561986	minor_secondary_pottery_vor_coast_of_araby_copher	arkhan_minor_walls
1142561987	minor_secondary_pottery_vor_settlers_coast_swamp_town	arkhan_minor_walls
1142561988	minor_secondary_pottery_vor_the_turtle_isles_mud_isle	arkhan_minor_walls
1142561989	minor_secondary_pottery_vor_the_vampire_coast_pox_marsh	arkhan_minor_walls
1142561990	minor_secondary_timber_vor_avelorn_tor_saroir	arkhan_minor_walls
1142561991	minor_secondary_timber_vor_chrace_elisia	arkhan_minor_walls
1142561992	minor_secondary_timber_vor_deadwood_nagrar	arkhan_minor_walls
1142561993	minor_secondary_timber_vor_iron_peaks_the_moon_shard	arkhan_minor_walls
1142561994	minor_secondary_timber_vor_northern_great_jungle_chaqua	arkhan_minor_walls
1142561995	minor_secondary_timber_vor_the_creeping_jungle_tlanxla	arkhan_minor_walls
1142561996	minor_secondary_timber_vor_the_red_rivers_nahuontl	arkhan_minor_walls
1142561997	major_secondary_wine_vor_eataine_angerrial	arkhan_minor_walls
1142561998	major_secondary_wine_vor_grey_guardians_ssildra_tor	arkhan_minor_walls
1142561999	minor_secondary_wine_vor_land_of_the_dervishes_sudenburg	arkhan_minor_walls
1142562000	minor_secondary_wine_vor_the_road_of_skulls_spite_reach	arkhan_minor_walls
1142562001	minor_secondary_savages_vor_jungle_of_pahualaxa_floating_pyramid	arkhan_minor_walls
1142562002	major_secondary_spices_vor_the_capes_fortress_of_dawn	arkhan_minor_walls
1142562003	major_secondary_spices_vor_the_dragon_isles_the_blood_hall	arkhan_minor_walls
