key	resource
#slot_templates_tables	1	db/slot_templates_tables/zzzzz_mixu_comp_stevie_mortal_empires
major_norsca_aghol_wastelands_fortress_of_the_damned	
major_norsca_albion_albion	
major_norsca_helspire_mountains_graeling_moot	
major_norsca_ice_tooth_mountains_icedrake_fjord	
major_norsca_ironfrost_glacier_ironfrost	
major_norsca_mountains_of_hel_aeslings_conclave	
major_norsca_mountains_of_naglfari_varg_camp	
major_norsca_trollheim_mountains_sarl_encampment	
major_norsca_vanaheim_mountains_bjornlings_gathering	
major_secondary_atalan_mountains_vulture_mountain	
major_secondary_averland_averheim	
major_secondary_bastonne_et_montfort_castle_bastonne	
major_secondary_crater_of_the_walking_dead_rasetra	
major_secondary_deadwood_the_frozen_city	
major_secondary_dragon_isles_dread_rock	
major_secondary_fort_bergbres	
major_secondary_fort_helmgart	
major_secondary_fort_soll	
major_secondary_huahuan_desert_sentinels_of_xeti	
major_secondary_land_of_assassins_palace_of_the_wizard_caliph	
major_secondary_land_of_the_dervishes_sudenburg	
major_secondary_misty_hills_the_black_pit	
major_secondary_northern_oblast_fort_ostrosk	
major_secondary_southlands_jungle_teotiqua	
major_secondary_spine_of_sotek_hualotal	
major_secondary_the_black_coast_arnheim	
major_secondary_the_plain_of_bones_the_fortress_of_vorag	
minor_norsca_aghol_wastelands_palace_of_princes	
minor_norsca_aghol_wastelands_the_palace_of_ruin	
minor_norsca_albion_isle_of_wights	
minor_norsca_goromandy_mountains_frozen_landing	
minor_norsca_helspire_mountains_serpent_jetty	
minor_norsca_ice_tooth_mountains_longship_graveyard	
minor_norsca_ironfrost_glacier_dagraks_end	
minor_norsca_mountains_of_hel_winter_pyre	
minor_norsca_vanaheim_mountains_troll_fjord	
minor_secondary_avelorn_evershale	
minor_secondary_black_mountains_mighdal_vongalbarak	
minor_secondary_blackspine_mountains_plain_of_dogs	
minor_secondary_blightwater_deff_gorge	
minor_secondary_blightwater_kradtommen	
minor_secondary_blood_river_valley_barag_dawazbag	
minor_secondary_bordeleaux_et_aquitaine_aquitaine	
minor_secondary_charnel_valley_granite_massif	
minor_secondary_cothique_mistnar	
minor_secondary_couronne_et_languille_languille	
minor_secondary_deadwood_shagrath	
minor_secondary_desolation_of_nagash_spitepeak	
minor_secondary_doom_glades_ice_rock_gorge	
minor_secondary_doom_glades_temple_of_addaioth	
minor_secondary_dragon_isles_dragon_fang_mount	
minor_secondary_eastern_badlands_crooked_fang_fort	
minor_secondary_eastern_badlands_valayas_sorrow	
minor_secondary_eastern_sylvania_waldenhof	
minor_secondary_eataine_tower_of_lysean	
minor_secondary_gianthome_mountains_khazid_bordkarag	
minor_secondary_great_desert_of_araby_pools_of_despair	
minor_secondary_headhunters_jungle_marks_of_the_old_ones	
minor_secondary_huahuan_desert_the_golden_colossus	
minor_secondary_iron_mountains_har_kaldra	
minor_secondary_iron_mountains_rackdo_gorge	
minor_secondary_jungles_of_green_mist_pillars_of_unseen_constellations	
minor_secondary_kingdom_of_beasts_serpent_coast	
minor_secondary_land_of_assassins_sorcerers_islands	
minor_secondary_land_of_the_dervishes_plain_of_tuskers	
minor_secondary_middenland_middenstag	
minor_secondary_misty_hills_wreckers_point	
minor_secondary_nagarythe_tor_dranil	
minor_secondary_northern_great_jungle_temple_of_tlencan	
minor_secondary_northern_jungle_of_pahualaxa_port_reaver	
minor_secondary_northern_oblast_fort_straghov	
minor_secondary_northern_worlds_edge_mountains_khazid_irkulaz	
minor_secondary_obsidian_peaks_circle_of_destruction	
minor_secondary_obsidian_peaks_storag_kor	
minor_secondary_ostermark_nagenhof	
minor_secondary_ostland_castle_von_rauken	
minor_secondary_ostland_norden	
minor_secondary_reikland_eilhart	
minor_secondary_rib_peaks_grom_peak	
minor_secondary_saphery_port_elistor	
minor_secondary_shifting_sands_antoch	
minor_secondary_solland_steingart	
minor_secondary_southern_grey_mountains_grimhold	
minor_secondary_southern_grey_mountains_karak_azgaraz	
minor_secondary_southern_jungle_of_pahualaxa_monument_of_the_moon	
minor_secondary_southern_oblast_zavastra	
minor_secondary_southlands_worlds_edge_mountains_lost_plateau	
minor_secondary_spine_of_sotek_monument_of_izzatal	
minor_secondary_stirland_flensburg	
minor_secondary_stirland_niedling	
minor_secondary_talabecland_kemperbad	
minor_secondary_talabecland_krugenheim	
minor_secondary_the_black_coast_bleak_hold_fortress	
minor_secondary_the_black_flood_shroktak_mount	
minor_secondary_the_black_flood_temple_of_khaine	
minor_secondary_the_broken_land_blacklight_tower	
minor_secondary_the_broken_land_slavers_point	
minor_secondary_the_broken_teeth_desolation_of_nagash	
minor_secondary_the_chill_road_the_great_arena	
minor_secondary_the_clawed_coast_the_twisted_glade	
minor_secondary_the_creeping_jungle_temple_of_kara	
minor_secondary_the_plain_of_bones_ash_ridge_mountains	
minor_secondary_the_road_of_skulls_kauark	
minor_secondary_the_road_of_skulls_the_black_pillar	
minor_secondary_the_silver_road_mount_squighorn	
minor_secondary_the_silver_road_the_pillars_of_grungni	
minor_secondary_the_vaults_zarakzil	
minor_secondary_the_wasteland_aarnau	
minor_secondary_the_wolf_lands_mount_greyhag	
minor_secondary_western_badlands_bitterstone_mine	
minor_secondary_western_badlands_dragonhorn_mines	
minor_secondary_western_badlands_stonemine_tower	
minor_secondary_western_jungles_cuexotl	
minor_secondary_western_sylvania_fort_oberstyre	
minor_secondary_zhufbar_oakenhammer	
minor_secondary_animals_caledor_tor_sethai	res_animals
minor_secondary_animals_southlands_worlds_edge_mountains_mount_arachnos	res_animals
minor_secondary_animals_the_black_flood_cragroth_deep	res_animals
minor_secondary_animals_volcanic_islands_fuming_serpent	res_animals
major_secondary_dyes_blood_river_valley_barak_varr	res_dyes
minor_secondary_dyes_great_desert_of_araby_el-kalabad	res_dyes
minor_secondary_dyes_northern_grey_mountains_karak_ziflin	res_dyes
minor_secondary_dyes_peak_pass_gnashraks_lair	res_dyes
minor_secondary_dyes_vampire_coast_the_blood_swamps	res_dyes
minor_secondary_dyes_yvresse_elessaeli	res_dyes
major_secondary_gems_jungles_of_green_mists_spektazuma	res_gems
minor_secondary_gems_atalan_mountains_eye_of_the_panther	res_gems
minor_secondary_gems_ellyrion_whitefire_tor	res_gems
major_secondary_gold_ostland_wolfenburg	res_gold
minor_secondary_gold_great_desert_of_araby_bel_aliad	res_gold
minor_secondary_gold_headhunters_jungle_chupayotl	res_gold
major_secondary_medicine_southern_jungle_of_pahualaxa_pahuax	res_medicine
minor_secondary_medicine_headhunters_jungle_mangrove_coast	res_medicine
minor_secondary_medicine_kingdom_of_beasts_the_cursed_jungle	res_medicine
minor_secondary_medicine_northern_great_jungle_xahutec	res_medicine
major_secondary_obsidian_volcanic_islands_the_star_tower	res_obsidian
minor_norsca_obsidian_mountains_of_hel_altar_of_spawns	res_obsidian
minor_secondary_obsidian_blackspine_mountains_plain_of_spiders	res_obsidian
minor_secondary_furs_blood_river_valley_varenka_hills	res_rom_furs
minor_secondary_furs_dragon_isles_shattered_stone_isle	res_rom_furs
minor_secondary_furs_forest_of_arden_gisoreux	res_rom_furs
minor_secondary_furs_nordland_dietershafen	res_rom_furs
minor_secondary_furs_obsidian_peaks_venom_glade	res_rom_furs
major_norsca_iron_goromandy_mountains_baersonlings_camp	res_rom_iron
major_secondary_iron_the_clawed_coast_hoteks_column	res_rom_iron
minor_norsca_iron_vanaheim_mountains_pack_ice_bay	res_rom_iron
minor_secondary_iron_atalan_mountains_martek	res_rom_iron
minor_secondary_iron_bastonne_et_montfort_montfort	res_rom_iron
minor_secondary_iron_desolation_of_nagash_black_iron_mine	res_rom_iron
minor_secondary_iron_devils_backbone_mahrak	res_rom_iron
minor_secondary_iron_saphery_tor_finu	res_rom_iron
minor_secondary_iron_southern_jungle_of_pahualaxa_the_high_sentinel	res_rom_iron
minor_secondary_iron_southern_oblast_fort_jakova	res_rom_iron
