key	resource
#slot_templates_tables;1;db/slot_templates_tables/zzzzz_mixu_comp_stevie_vortex	
major_norsca_vor_aghol_wastelands_fortress_of_the_damned	
major_norsca_vor_ironfrost_glacier_bear_isle	
major_secondary_vor_ashen_coast_scarpels_lair	
major_secondary_vor_cobra_pass_vulture_mountain	
major_secondary_vor_copper_desert_the_forgotten_isles	
major_secondary_vor_culchan_plains_kaiax	
major_secondary_vor_deadwood_the_frozen_city	
major_secondary_vor_land_of_assassins_palace_of_the_wizard_caliph	
major_secondary_vor_northern_spine_of_sotek_hualotal	
major_secondary_vor_red_desert_drackla_spire	
major_secondary_vor_scorpion_coast_temple_of_tlencan	
major_secondary_vor_shifting_mangrove_coastline_teotiqua	
major_secondary_vor_southern_great_jungle_gwakmol_crater	
major_secondary_vor_southern_yvresse_elessaeli	
major_secondary_vor_the_black_coast_bleak_hold_fortress	
major_secondary_vor_the_capes_citadel_of_dusk	
major_secondary_vor_the_forbidden_jungle_sentinels_of_xeti	
major_secondary_vor_the_jungles_of_the_gods_tor_surpindar	
major_secondary_vor_the_red_rivers_cuexotl	
minor_norsca_vor_aghol_wastelands_palace_of_princes	
minor_norsca_vor_aghol_wastelands_the_palace_of_ruin	
minor_norsca_vor_albion_troll_fjord	
minor_norsca_vor_ironfrost_glacier_dagraks_end	
minor_norsca_vor_ironfrost_glacier_ironfrost	
minor_norsca_vor_ironfrost_glacier_mung_encampment	
minor_secondary_vor_ashen_coast_titan_peak	
minor_secondary_vor_ashen_coast_tyrant_peak	
minor_secondary_vor_avelorn_evershale	
minor_secondary_vor_caledor_tor_sethai	
minor_secondary_vor_central_spine_of_sotek_caverns_of_the_great_bat	
minor_secondary_vor_chrace_tor_gard	
minor_secondary_vor_coast_of_squalls_monument_of_the_sun	
minor_secondary_vor_coasts_of_the_lustrian_gulf_the_night_forest	
minor_secondary_vor_cothique_mistnar	
minor_secondary_vor_culchan_plains_the_hissing_god	
minor_secondary_vor_culchan_plains_the_southern_sentinels	
minor_secondary_vor_deadwood_shagrath	
minor_secondary_vor_ellyrion_the_arc_span	
minor_secondary_vor_forest_of_the_viper_chotecs_causeway	
minor_secondary_vor_headhunters_jungle_marks_of_the_old_ones	
minor_secondary_vor_iron_mountains_rackdo_gorge	
minor_secondary_vor_iron_mountains_shroktak_mount	
minor_secondary_vor_isthmus_of_lustria_monolith_of_fallen_gods	
minor_secondary_vor_jungle_of_pahualaxa_monument_of_the_moon	
minor_secondary_vor_jungles_of_green_mist_pillars_of_unseen_constellations	
minor_secondary_vor_kingdom_of_beasts_serpent_coast	
minor_secondary_vor_land_of_assassins_lashiek	
minor_secondary_vor_land_of_the_dervishes_elven_ruins	
minor_secondary_vor_mosquito_swamps_tlax	
minor_secondary_vor_nagarythe_tor_dranil	
minor_secondary_vor_naggarond_har_kaldra	
minor_secondary_vor_northern_great_jungle_quittax	
minor_secondary_vor_northern_spine_of_sotek_monument_of_izzatal	
minor_secondary_vor_northern_yvresse_tralinia	
minor_secondary_vor_obsidian_peaks_ice_rock_gorge	
minor_secondary_vor_obsidian_peaks_temple_of_addaioth	
minor_secondary_vor_plain_of_spiders_pits_of_zardok	
minor_secondary_vor_saphery_port_elistor	
minor_secondary_vor_sea_of_dread_tower_of_the_stars	
minor_secondary_vor_settlers_coast_port_reaver	
minor_secondary_vor_shadow_wood_circle_of_destruction	
minor_secondary_vor_shadow_wood_daldrachs_lair	
minor_secondary_vor_shifting_sands_antoch	
minor_secondary_vor_southern_great_jungle_mortuary_of_tzulaqua	
minor_secondary_vor_southern_great_jungle_xhotl	
minor_secondary_vor_southern_jungles_dawns_light	
minor_secondary_vor_southern_yvresse_shrine_of_loec	
minor_secondary_vor_southlands_world_edge_mountains_lost_plateau	
minor_secondary_vor_the_black_coast_arnheim	
minor_secondary_vor_the_black_flood_storag_kor	
minor_secondary_vor_the_black_flood_temple_of_khaine	
minor_secondary_vor_the_broken_land_blacklight_tower	
minor_secondary_vor_the_broken_land_slavers_point	
minor_secondary_vor_the_capes_tip_of_lustria	
minor_secondary_vor_the_chill_road_the_great_arena	
minor_secondary_vor_the_clawed_coast_the_twisted_glade	
minor_secondary_vor_the_creeping_jungle_temple_of_kara	
minor_secondary_vor_the_dragon_isles_isle_of_the_crimson_skull	
minor_secondary_vor_the_great_desert_pools_of_despair	
minor_secondary_vor_the_lost_valleys_the_sentinel_of_time	
minor_secondary_vor_the_red_rivers_soteks_trail	
minor_secondary_vor_the_road_of_skulls_kauark	
minor_secondary_vor_the_road_of_skulls_the_black_pillar	
minor_secondary_vor_the_turtle_isles_golden_ziggurat	
minor_secondary_vor_tiranoc_salvation_isle	
minor_secondary_vor_western_jungles_statues_of_the_gods	
major_secondary_animals_vor_the_turtle_isles_great_turtle_isle	res_animals
minor_secondary_animals_vor_caledor_caledors_repose	res_animals
minor_secondary_animals_vor_grey_guardians_sulpharets	res_animals
minor_secondary_animals_vor_iron_mountains_cragroth_deep	res_animals
minor_secondary_animals_vor_river_qurveza_mouth_of_qurveza	res_animals
minor_secondary_animals_vor_southlands_world_edge_mountains_mount_arachnos	res_animals
minor_secondary_animals_vor_volcanic_islands_fuming_serpent	res_animals
major_secondary_dyes_vor_land_of_the_dervishes_el-kalabad	res_dyes
major_secondary_dyes_vor_obsidian_peaks_keshta_vault	res_dyes
minor_secondary_dyes_vor_southern_yvresse_cairn_thel	res_dyes
