technologies_tables	5
key	building_level	position_index	icon_name	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	mp_available_early	mp_available_late	info_pic	unique_index	is_civil	is_engineering	is_military
tech_arkhan_nagash_monsters_1_1	wh_main_chs_port	1	wh_main_vmp_cannibalistic_rituals	0	0	0	0	false	false	"placeholder.tga"	33557788	false	false	true
tech_arkhan_nagash_monsters_1_2	wh_main_chs_port	1	wh_main_vmp_master_of_the_swarm	0	0	0	0	false	false	"placeholder.tga"	33557789	false	false	true
tech_arkhan_nagash_monsters_1_3	wh_main_chs_port	1	wh_main_vmp_leader_of_the_pack	0	0	0	0	false	false	"placeholder.tga"	33557790	false	false	true
tech_arkhan_nagash_monsters_1_4	wh_main_chs_port	1	wh_main_vmp_unearth_cursed_wightblades	0	0	0	0	false	false	"placeholder.tga"	33557791	false	false	true
tech_arkhan_nagash_monsters_2_1	wh_main_chs_port	1	wh_main_vmp_nightmarish_reaping	0	0	0	0	false	false	"placeholder.tga"	33557792	false	false	true
tech_arkhan_nagash_monsters_2_2	wh_main_chs_port	1	wh_main_vmp_invoke_animalistic_hunger	0	0	0	0	false	false	"placeholder.tga"	33557793	false	false	true
tech_arkhan_nagash_monsters_2_3	wh_main_chs_port	1	wh_main_vmp_strigoi_legacy	0	0	0	0	false	false	"placeholder.tga"	33557794	false	false	true
tech_arkhan_nagash_monsters_2_4	wh_main_chs_port	1	wh_main_vmp_fuelled_by_fear	0	0	0	0	false	false	"placeholder.tga"	33557795	false	false	true
tech_arkhan_nagash_rank_7_defence	wh_main_chs_port	1	tech_arkhan_nagash_rank_7_defence	0	0	0	0	false	false	"placeholder.tga"	33557796	false	false	true
tech_arkhan_nagash_rank_7_attack	wh_main_chs_port	1	tech_arkhan_nagash_rank_7_attack	0	0	0	0	false	false	"placeholder.tga"	33557797	false	false	true
tech_arkhan_nagash_army_ability_1	wh_main_chs_port	1	tech_arkhan_nagash_army_ability_1	0	0	0	0	false	false	"placeholder.tga"	33557798	false	false	true
tech_arkhan_nagash_army_ability_2	wh_main_chs_port	1	tech_arkhan_nagash_army_ability_2	0	0	0	0	false	false	"placeholder.tga"	33557799	false	false	true
tech_arkhan_nagash_army_ability_3	wh_main_chs_port	1	tech_arkhan_nagash_army_ability_3	0	0	0	0	false	false	"placeholder.tga"	33557800	false	false	true
tech_arkhan_lord_top_left	wh_main_chs_port	1	tech_dlc09_lord	0	0	0	0	false	false	"placeholder.tga"	33557801	false	false	true
tech_arkhan_lord_top_right	wh_main_chs_port	1	tech_dlc09_lord	0	0	0	0	false	false	"placeholder.tga"	33557802	false	false	true
tech_arkhan_lord_left_centre	wh_main_chs_port	1	tech_dlc09_wisdom_of_the_fourth_dynasty	0	0	0	0	false	false	"placeholder.tga"	33557803	false	false	true
tech_arkhan_lord_bottom_left	wh_main_chs_port	1	tech_dlc09_proclamation_of_the_second_dynasty1	0	0	0	0	false	false	"placeholder.tga"	33557804	false	false	true
tech_arkhan_lord_bottom_right	wh_main_chs_port	1	tech_dlc09_proclamation_of_the_first_dynasty	0	0	0	0	false	false	"placeholder.tga"	33557805	false	false	true
tech_arkhan_lord_right_centre	wh_main_chs_port	1	tech_dlc09_wisdom_of_the_fourth_dynasty	0	0	0	0	false	false	"placeholder.tga"	33557806	false	false	true
tech_arkhan_army_unlock_left	wh_main_chs_port	1	tech_dlc09_wisdom_of_the_first_dynasty	0	0	0	0	false	false	"placeholder.tga"	33557807	false	false	true
tech_arkhan_army_unlock_right	wh_main_chs_port	1	tech_dlc09_wisdom_of_the_second_dynasty	0	0	0	0	false	false	"placeholder.tga"	33557808	false	false	true
tech_arkhan_nagash_nagashizzar_me	wh_main_chs_port	1	tech_arkhan_nagash_nagashizzar_me	0	0	0	0	false	false	"placeholder.tga"	33557809	false	false	true
tech_arkhan_nagash_vault_of_nagash_me	wh_main_chs_port	1	tech_arkhan_nagash_vault_of_nagash_me	0	0	0	0	false	false	"placeholder.tga"	33557810	false	false	true
tech_arkhan_lord_extra_left_lord_unlock	wh_main_chs_port	1	tech_dlc09_lord	0	0	0	0	false	false	"placeholder.tga"	33557813	false	false	true
tech_arkhan_lord_extra_right_lord_unlock	wh_main_chs_port	1	tech_dlc09_lord	0	0	0	0	false	false	"placeholder.tga"	33557814	false	false	true
