technology_effects_junction_tables	0
technology	effect	value	effect_scope
tech_arkhan_nagash_monsters_1_1	tech_arkhan_crypt_ghoul_bonus_1	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_1_1	tech_arkhan_crypt_ghoul_bonus_2	5.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_1_1	tech_arkhan_crypt_ghoul_bonus_3	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_1_2	tech_arkhan_bats_defence	5.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_1_2	tech_arkhan_bats_phys_resistance	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_1_2	tech_arkhan_bats_vanguard	1.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_1_3	tech_arkhan_dire_wolves_bonus_1	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_1_3	tech_arkhan_dire_wolves_bonus_2	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_1_3	tech_arkhan_dire_wolves_bonus_3	5.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_1_4	tech_arkhan_grave_guard_bonus_1	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_1_4	tech_arkhan_grave_guard_bonus_2	5.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_1_4	tech_arkhan_grave_guard_bonus_3	5.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_1_4	tech_arkhan_grave_guard_bonus_4	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_1	tech_arkhan_cairn_wraith_stalk	1.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_1	tech_arkhan_hexwraith_stalk	1.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_1	tech_arkhan_ethereal_bonus_1	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_1	tech_arkhan_ethereal_bonus_2	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_1	tech_arkhan_ethereal_bonus_3	5.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_2	tech_arkhan_vargheist_weapon_strength	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_2	tech_arkhan_vargheist_speed	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_2	tech_arkhan_vargheist_charge_bonus	8.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_3	tech_arkhan_crypt_horror_bonus_1	5.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_3	tech_arkhan_crypt_horror_weapon_strength	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_3	tech_arkhan_crypt_horror_speed	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_4	tech_arkhan_terrorgheist_melee_attack	5.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_4	tech_arkhan_terrorgheist_weapon_strength	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_monsters_2_4	tech_arkhan_terrorgheist_charge_bonus	8.0	faction_to_force_own_unseen
tech_arkhan_army_unlock_left	wh2_dlc09_effect_increase_army_capacity	1.0	faction_to_faction_own_unseen
tech_arkhan_army_unlock_left	wh_main_effect_technology_research_points_mod	-30.0	faction_to_faction_own_unseen
tech_arkhan_army_unlock_right	wh2_dlc09_effect_increase_army_capacity	1.0	faction_to_faction_own_unseen
tech_arkhan_army_unlock_right	wh_main_effect_technology_research_points_mod	-30.0	faction_to_faction_own_unseen
tech_arkhan_nagash_rank_7_defence	tech_arkhan_rank_7_defence_armour	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_rank_7_defence	tech_arkhan_rank_7_defence_melee_defence	5.0	faction_to_force_own_unseen
tech_arkhan_nagash_rank_7_attack	tech_arkhan_rank_7_offence_weapon_strength	10.0	faction_to_force_own_unseen
