key	technology_node_set	technology_key	faction_key	campaign_key	tier	indent	research_points_required	cost_per_round	optional_ui_group	food_cost	resource_cost
#technology_nodes_tables;3;db/technology_nodes_tables/arkhan_technology											
tech_arkhan_nagash_monsters_1_1	tmb_mil	tech_arkhan_nagash_monsters_1_1	wh2_dlc09_tmb_followers_of_nagash		15	4	200	0	tmb_03	0	
tech_arkhan_nagash_monsters_1_2	tmb_mil	tech_arkhan_nagash_monsters_1_2	wh2_dlc09_tmb_followers_of_nagash		15	5	200	0	tmb_03	0	
tech_arkhan_nagash_monsters_1_3	tmb_mil	tech_arkhan_nagash_monsters_1_3	wh2_dlc09_tmb_followers_of_nagash		16	4	200	0	tmb_03	0	
tech_arkhan_nagash_monsters_1_4	tmb_mil	tech_arkhan_nagash_monsters_1_4	wh2_dlc09_tmb_followers_of_nagash		16	5	200	0	tmb_03	0	
tech_arkhan_nagash_monsters_2_1	tmb_mil	tech_arkhan_nagash_monsters_2_1	wh2_dlc09_tmb_followers_of_nagash		18	4	200	0	tmb_04	0	
tech_arkhan_nagash_monsters_2_2	tmb_mil	tech_arkhan_nagash_monsters_2_2	wh2_dlc09_tmb_followers_of_nagash		18	5	200	0	tmb_04	0	
tech_arkhan_nagash_monsters_2_3	tmb_mil	tech_arkhan_nagash_monsters_2_3	wh2_dlc09_tmb_followers_of_nagash		19	4	200	0	tmb_04	0	
tech_arkhan_nagash_monsters_2_4	tmb_mil	tech_arkhan_nagash_monsters_2_4	wh2_dlc09_tmb_followers_of_nagash		19	5	200	0	tmb_04	0	
tech_arkhan_nagash_rank_7_defence	tmb_mil	tech_arkhan_nagash_rank_7_defence	wh2_dlc09_tmb_followers_of_nagash		16	8	1	0	tmb_01	0	tech_rank_7_unlock
tech_arkhan_nagash_rank_7_attack	tmb_mil	tech_arkhan_nagash_rank_7_attack	wh2_dlc09_tmb_followers_of_nagash		18	8	1	0	tmb_01	0	tech_rank_7_unlock
tech_arkhan_nagash_army_ability_1	tmb_mil	tech_arkhan_nagash_army_ability_1	wh2_dlc09_tmb_followers_of_nagash		17	8	1	0	tmb_01	0	tech_army_ability_unlock
tech_arkhan_nagash_army_ability_2	tmb_mil	tech_arkhan_nagash_army_ability_2	wh2_dlc09_tmb_followers_of_nagash		17	4	1	0	tmb_01	0	tech_army_ability_unlock
tech_arkhan_nagash_army_ability_3	tmb_mil	tech_arkhan_nagash_army_ability_3	wh2_dlc09_tmb_followers_of_nagash		17	0	1	0	tmb_01	0	tech_army_ability_unlock
tech_arkhan_lord_top_left	tmb_mil	tech_arkhan_lord_top_left	wh2_dlc09_tmb_followers_of_nagash		14	0	1	0	tmb_01	0	wh2_dlc09_tmb_tech_tomb_king_unlock
tech_arkhan_lord_top_right	tmb_mil	tech_arkhan_lord_top_right	wh2_dlc09_tmb_followers_of_nagash		20	0	1	0	tmb_01	0	wh2_dlc09_tmb_tech_tomb_king_unlock
tech_arkhan_lord_left_centre	tmb_mil	tech_arkhan_lord_left_centre	wh2_dlc09_tmb_followers_of_nagash		14	4	1500	0	tmb_02	0	
tech_arkhan_lord_bottom_left	tmb_mil	tech_arkhan_lord_bottom_left	wh2_dlc09_tmb_followers_of_nagash		14	8	1	5000	tmb_01	0	
tech_arkhan_lord_bottom_right	tmb_mil	tech_arkhan_lord_bottom_right	wh2_dlc09_tmb_followers_of_nagash		20	8	1	5000	tmb_01	0	
tech_arkhan_lord_right_centre	tmb_mil	tech_arkhan_lord_right_centre	wh2_dlc09_tmb_followers_of_nagash		20	4	1500	0	tmb_05	0	
tech_arkhan_army_unlock_left	tmb_mil	tech_arkhan_army_unlock_left	wh2_dlc09_tmb_followers_of_nagash		16	2	1500	0		0	
tech_arkhan_army_unlock_right	tmb_mil	tech_arkhan_army_unlock_right	wh2_dlc09_tmb_followers_of_nagash		18	2	1500	0		0	
tech_arkhan_nagash_nagashizzar_me	tmb_mil	tech_arkhan_nagash_nagashizzar_me	wh2_dlc09_tmb_followers_of_nagash		16	0	1	0		0	tech_army_ability_unlock
tech_arkhan_nagash_vault_of_nagash_me	tmb_mil	tech_arkhan_nagash_vault_of_nagash_me	wh2_dlc09_tmb_followers_of_nagash		18	0	1	0		0	tech_army_ability_unlock
tech_arkhan_lord_extra_left_lord_unlock	tmb_mil	tech_arkhan_lord_extra_left_lord_unlock	wh2_dlc09_tmb_followers_of_nagash		15	2	1	0		0	wh2_dlc09_tmb_tech_tomb_king_unlock
tech_arkhan_lord_extra_right_lord_unlock	tmb_mil	tech_arkhan_lord_extra_right_lord_unlock	wh2_dlc09_tmb_followers_of_nagash		19	2	1	0		0	wh2_dlc09_tmb_tech_tomb_king_unlock
