trait_level	effect	value	effect_scope
#trait_level_effects_tables;0;db/trait_level_effects_tables/extra_tomb_king_lords			
stephen_tmb_tomb_king_dummy_trait_1	wh2_main_effect_grant_immortality_lord	1.0	character_to_character_own
stephen_tmb_tomb_king_dummy_trait_1	skill_arkhan_lord_passive_aoe_drain_enable	1.0	character_to_character_own
stephen_tmb_tomb_king_dummy_trait_1	wh2_main_effect_campaign_enemy_attrition_vampiric_attrition_casualties	25.0	character_to_force_enemy_provincewide
stephen_tmb_tomb_king_dummy_trait_1	wh2_dlc11_effect_force_all_enemy_campaign_replenishment_rate	-10.0	character_to_force_enemy_provincewide
stephen_tmb_tomb_king_dummy_trait_1	wh_main_effect_religion_conversion_undeath	2.0	character_to_character_own_provincetext
stephen_tmb_tomb_king_dummy_trait_2	wh2_main_effect_grant_immortality_lord	1.0	character_to_character_own
stephen_tmb_tomb_king_dummy_trait_2	skill_arkhan_lord_passive_aoe_debuff_enable	1.0	character_to_character_own
stephen_tmb_tomb_king_dummy_trait_2	wh_main_effect_public_order_characters_negative	-10.0	character_to_enemy_province
stephen_tmb_tomb_king_dummy_trait_2	wh_main_effect_force_army_battle_enemy_unit_morale	-5.0	character_to_force_enemy_provincewide
stephen_tmb_tomb_king_dummy_trait_2	wh_main_effect_religion_conversion_undeath	2.0	character_to_character_own_provincetext
stephen_tmb_tomb_king_dummy_trait_3	wh2_main_effect_grant_immortality_lord	1.0	character_to_character_own
stephen_tmb_tomb_king_dummy_trait_3	skill_arkhan_lord_passive_aoe_rampage_enable	1.0	character_to_character_own
stephen_tmb_tomb_king_dummy_trait_3	wh_dlc08_effect_ability_enable_frenzy	1.0	character_to_character_own
stephen_tmb_tomb_king_dummy_trait_3	wh_main_effect_force_all_campaign_raid_income	15.0	general_to_force_own
stephen_tmb_tomb_king_dummy_trait_3	wh_main_effect_force_all_campaign_sacking_income	15.0	general_to_force_own
stephen_tmb_tomb_king_dummy_trait_3	wh_main_effect_religion_conversion_undeath	2.0	character_to_character_own_provincetext
stephen_tmb_tomb_king_dummy_trait_4	wh2_main_effect_grant_immortality_lord	1.0	character_to_character_own
stephen_tmb_tomb_king_dummy_trait_4	skill_arkhan_lord_sacrament_bound_spells	1.0	character_to_character_own
stephen_tmb_tomb_king_dummy_trait_4	wh_main_effect_military_force_winds_of_magic_depletion_mod_other	10.0	general_to_force_own
stephen_tmb_tomb_king_dummy_trait_4	wh_main_effect_character_stat_mod_ward_save_magic	10.0	general_to_force_own
stephen_tmb_tomb_king_dummy_trait_4	wh_main_effect_religion_conversion_undeath	2.0	character_to_character_own_provincetext
