unit_key	bullet_point
#ui_unit_bullet_point_unit_overrides_tables	0	db/ui_unit_bullet_point_unit_overrides_tables/extra_tomb_king_lords
stephen_tmb_cha_tomb_king_1	anti_infantry
stephen_tmb_cha_tomb_king_1	armoured_and_shielded
stephen_tmb_cha_tomb_king_1	melee_expert
stephen_tmb_cha_tomb_king_2	anti_infantry
stephen_tmb_cha_tomb_king_2	armoured_and_shielded
stephen_tmb_cha_tomb_king_2	melee_expert
stephen_tmb_cha_tomb_king_3	anti_infantry
stephen_tmb_cha_tomb_king_3	armoured
stephen_tmb_cha_tomb_king_3	melee_expert
stephen_tmb_cha_tomb_king_4	anti_infantry
stephen_tmb_cha_tomb_king_4	armoured
stephen_tmb_cha_tomb_king_4	melee_expert
stephen_tmb_cha_tomb_king_grief	anti_infantry
stephen_tmb_cha_tomb_king_grief	armoured_and_shielded
stephen_tmb_cha_tomb_king_grief	melee_expert
stephen_tmb_cha_tomb_king_grief_horse	anti_infantry
stephen_tmb_cha_tomb_king_grief_horse	armoured_and_shielded
stephen_tmb_cha_tomb_king_grief_horse	melee_expert
stephen_tmb_cha_tomb_king_grief_chariot	anti_infantry
stephen_tmb_cha_tomb_king_grief_chariot	armoured
stephen_tmb_cha_tomb_king_grief_chariot	melee_expert
stephen_tmb_cha_tomb_king_grief_warsphinx	anti_infantry
stephen_tmb_cha_tomb_king_grief_warsphinx	armoured
stephen_tmb_cha_tomb_king_grief_warsphinx	melee_expert
stephen_tmb_cha_tomb_king_terror	anti_infantry
stephen_tmb_cha_tomb_king_terror	armoured_and_shielded
stephen_tmb_cha_tomb_king_terror	melee_expert
stephen_tmb_cha_tomb_king_terror_horse	anti_infantry
stephen_tmb_cha_tomb_king_terror_horse	armoured_and_shielded
stephen_tmb_cha_tomb_king_terror_horse	melee_expert
stephen_tmb_cha_tomb_king_terror_chariot	anti_infantry
stephen_tmb_cha_tomb_king_terror_chariot	armoured
stephen_tmb_cha_tomb_king_terror_chariot	melee_expert
stephen_tmb_cha_tomb_king_terror_warsphinx	anti_infantry
stephen_tmb_cha_tomb_king_terror_warsphinx	armoured
stephen_tmb_cha_tomb_king_terror_warsphinx	melee_expert
stephen_tmb_cha_tomb_king_madness	anti_infantry
stephen_tmb_cha_tomb_king_madness	armoured_and_shielded
stephen_tmb_cha_tomb_king_madness	melee_expert
stephen_tmb_cha_tomb_king_madness_horse	anti_infantry
stephen_tmb_cha_tomb_king_madness_horse	armoured_and_shielded
stephen_tmb_cha_tomb_king_madness_horse	melee_expert
stephen_tmb_cha_tomb_king_madness_chariot	anti_infantry
stephen_tmb_cha_tomb_king_madness_chariot	armoured
stephen_tmb_cha_tomb_king_madness_chariot	melee_expert
stephen_tmb_cha_tomb_king_madness_warsphinx	anti_infantry
stephen_tmb_cha_tomb_king_madness_warsphinx	armoured
stephen_tmb_cha_tomb_king_madness_warsphinx	melee_expert
stephen_tmb_cha_tomb_king_sacrament	anti_infantry
stephen_tmb_cha_tomb_king_sacrament	armoured_and_shielded
stephen_tmb_cha_tomb_king_sacrament	melee_expert
stephen_tmb_cha_tomb_king_sacrament_horse	anti_infantry
stephen_tmb_cha_tomb_king_sacrament_horse	armoured_and_shielded
stephen_tmb_cha_tomb_king_sacrament_horse	melee_expert
stephen_tmb_cha_tomb_king_sacrament_chariot	anti_infantry
stephen_tmb_cha_tomb_king_sacrament_chariot	armoured
stephen_tmb_cha_tomb_king_sacrament_chariot	melee_expert
stephen_tmb_cha_tomb_king_sacrament_warsphinx	anti_infantry
stephen_tmb_cha_tomb_king_sacrament_warsphinx	armoured
stephen_tmb_cha_tomb_king_sacrament_warsphinx	melee_expert
