ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/arkhan_technology	
tech_arkhan_army_ability_raise_skeletons	wh_dlc09_all_summon_skeleton_warriors
tech_arkhan_army_ability_raise_skeletons	wh_main_all_defend_vs_charge
tech_arkhan_army_ability_raise_skeletons	wh_main_all_direct_damage_unbinding
tech_arkhan_army_ability_rain_of_souls	wh2_main_army_scattershot_2
tech_arkhan_army_ability_rain_of_souls	wh_main_all_strong_against_unit
tech_arkhan_army_ability_rain_of_souls	wh_main_all_weak_against_single
tech_arkhan_army_ability_rain_of_souls	wh_main_bombardment_large_strike_aoe
tech_arkhan_army_ability_rain_of_souls	rain_of_souls
skill_arkhan_passive_endless_hordes	wh2_dlc15_heal_passive_4
skill_arkhan_passive_endless_hordes	wh_main_all_resurrect
skill_arkhan_passive_endless_hordes	wh_main_all_resurrect_hp
arkhan_unit_passive_devastating_charge	wh2_dlc15_all_increased_knockback
