name	faction	unit	variant	unit_card
#unit_variants_tables	5	db/unit_variants_tables/!sda_tomb_kings
steve_ark_zmb		steve_ark_zmb	steve_ark_zmb	steve_ark_zmb
steve_ark_zmb_summon		steve_ark_zmb_summon	steve_ark_zmb_summon	steve_ark_zmb_summon
steve_ark_grave_guard		steve_ark_grave_guard	steve_ark_grave_guard	steve_ark_grave_guard
steve_ark_terrorgheist		steve_ark_terrorgheist	steve_ark_terrorgheist	steve_ark_terrorgheist
steve_ark_vargheist		steve_ark_vargheist	steve_ark_vargheist	steve_ark_vargheist
steve_ark_mourngul		steve_ark_mourngul	steve_ark_mourngul	steve_ark_mourngul
steve_ark_zmb_halberd		steve_ark_zmb_halberd	steve_ark_zmb_halberd	steve_ark_zmb_halberd
steve_ark_crypt_horror		steve_ark_crypt_horror	steve_ark_crypt_horror	steve_ark_crypt_horror
steve_ark_grave_guard_great		steve_ark_grave_guard_great	steve_ark_grave_guard_great	steve_ark_grave_guard_great
steve_ark_cairn_wraith		steve_ark_cairn_wraith	steve_ark_cairn_wraith	steve_ark_cairn_wraith
steve_ark_rotting_leviathan		steve_ark_rotting_leviathan	steve_ark_rotting_leviathan	steve_ark_rotting_leviathan
steve_ark_grave_guard_halberd		steve_ark_grave_guard_halberd	steve_ark_grave_guard_halberd	steve_ark_grave_guard_halberd
steve_ark_mortis_engine		steve_ark_mortis_engine	steve_ark_mortis_engine	steve_ark_mortis_engine
steve_ark_zmb_gunner_mob		steve_ark_zmb_gunner_mob	steve_ark_zmb_gunner_mob	steve_ark_zmb_gunner_mob
steve_ark_zmb_handgunner_mob		steve_ark_zmb_handgunner_mob	steve_ark_zmb_handgunner_mob	steve_ark_zmb_handgunner_mob
steve_ark_prometheans_gunnery_mob		steve_ark_prometheans_gunnery_mob	steve_ark_prometheans_gunnery_mob	steve_ark_prometheans_gunnery_mob
steve_ark_nagashizzar_guard		steve_ark_nagashizzar_guard	steve_ark_nagashizzar_guard	steve_ark_nagashizzar_guard
steve_ark_skeleton_spearmen		steve_ark_skeleton_spearmen	steve_ark_skeleton_spearmen	steve_ark_skeleton_spearmen
steve_ark_skeleton_warriors		steve_ark_skeleton_warriors	steve_ark_skeleton_warriors	steve_ark_skeleton_warriors
steve_ark_skeleton_archers		steve_ark_skeleton_archers	steve_ark_skeleton_archers	steve_ark_skeleton_archers
steve_ark_zombie_dragon		steve_ark_zombie_dragon	steve_ark_zombie_dragon	steve_ark_zombie_dragon
steve_ark_tmb_mon_ushabti		steve_ark_tmb_mon_ushabti	steve_ark_tmb_mon_ushabti	steve_ark_tmb_mon_ushabti
steve_ark_tmb_mon_ushabti_great		steve_ark_tmb_mon_ushabti_great	steve_ark_tmb_mon_ushabti_great	steve_ark_tmb_mon_ushabti_great
