name	faction	unit	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/sda_tomb_kings				
xereus_tmb_inf_zmb		xereus_tmb_inf_zmb	xereus_tmb_inf_zmb	xereus_tmb_inf_zmb
xereus_tmb_inf_zmb_summon		xereus_tmb_inf_zmb_summon	xereus_tmb_inf_zmb_summon	xereus_tmb_inf_zmb_summon
xereus_tmb_inf_grave_guard		xereus_tmb_inf_grave_guard	xereus_tmb_inf_grave_guard	xereus_tmb_inf_grave_guard
xereus_tmb_mon_terrorgheist		xereus_tmb_mon_terrorgheist	xereus_tmb_mon_terrorgheist	xereus_tmb_mon_terrorgheist
xereus_tmb_mon_vargheist		xereus_tmb_mon_vargheist	xereus_tmb_mon_vargheist	xereus_tmb_mon_vargheist
xereus_tmb_mon_mourngul		xereus_tmb_mon_mourngul	xereus_tmb_mon_mourngul	xereus_tmb_mon_mourngul
xereus_tmb_inf_zmb_halberd		xereus_tmb_inf_zmb_halberd	xereus_tmb_inf_zmb_halberd	xereus_tmb_inf_zmb_halberd
xereus_tmb_mon_crypt_horror		xereus_tmb_mon_crypt_horror	xereus_tmb_mon_crypt_horror	xereus_tmb_mon_crypt_horror
xereus_tmb_inf_grave_guard_great		xereus_tmb_inf_grave_guard_great	xereus_tmb_inf_grave_guard_great	xereus_tmb_inf_grave_guard_great
xereus_tmb_inf_cairn_wraith		xereus_tmb_inf_cairn_wraith	xereus_tmb_inf_cairn_wraith	xereus_tmb_inf_cairn_wraith
xereus_tmb_mon_rotting_leviathan		xereus_tmb_mon_rotting_leviathan	xereus_tmb_mon_rotting_leviathan	xereus_tmb_mon_rotting_leviathan
xereus_tmb_inf_grave_guard_halberd		xereus_tmb_inf_grave_guard_halberd	xereus_tmb_inf_grave_guard_halberd	xereus_tmb_inf_grave_guard_halberd
xereus_tmb_veh_mortis_engine		xereus_tmb_veh_mortis_engine	xereus_tmb_veh_mortis_engine	xereus_tmb_veh_mortis_engine
xereus_tmb_inf_zmb_gunner_mob		xereus_tmb_inf_zmb_gunner_mob	xereus_tmb_inf_zmb_gunner_mob	xereus_tmb_inf_zmb_gunner_mob
xereus_tmb_inf_zmb_handgunner_mob		xereus_tmb_inf_zmb_handgunner_mob	xereus_tmb_inf_zmb_handgunner_mob	xereus_tmb_inf_zmb_handgunner_mob
xereus_tmb_mon_prometheans_gunnery_mob		xereus_tmb_mon_prometheans_gunnery_mob	xereus_tmb_mon_prometheans_gunnery_mob	xereus_tmb_mon_prometheans_gunnery_mob
xereus_tmb_inf_nagashizzar_guard		xereus_tmb_inf_nagashizzar_guard	xereus_tmb_inf_nagashizzar_guard	xereus_tmb_inf_nagashizzar_guard
xereus_tmb_inf_skeleton_spearmen		xereus_tmb_inf_skeleton_spearmen	xereus_tmb_inf_skeleton_spearmen	xereus_tmb_inf_skeleton_spearmen
xereus_tmb_inf_skeleton_warriors		xereus_tmb_inf_skeleton_warriors	xereus_tmb_inf_skeleton_warriors	xereus_tmb_inf_skeleton_warriors
xereus_tmb_inf_skeleton_archers		xereus_tmb_inf_skeleton_archers	xereus_tmb_inf_skeleton_archers	xereus_tmb_inf_skeleton_archers
xereus_tmb_mon_zombie_dragon		xereus_tmb_mon_zombie_dragon	xereus_tmb_mon_zombie_dragon	xereus_tmb_mon_zombie_dragon
xereus_tmb_mon_ushabti		xereus_tmb_mon_ushabti	xereus_tmb_mon_ushabti	xereus_tmb_mon_ushabti
xereus_tmb_mon_ushabti_great		xereus_tmb_mon_ushabti_great	xereus_tmb_mon_ushabti_great	xereus_tmb_mon_ushabti_great
xereus_tmb_inf_tomb_guard		xereus_tmb_inf_tomb_guard	xereus_tmb_inf_tomb_guard	xereus_tmb_inf_tomb_guard
xereus_tmb_inf_tomb_guard_halberd		xereus_tmb_inf_tomb_guard_halberd	xereus_tmb_inf_tomb_guard_halberd	xereus_tmb_inf_tomb_guard_halberd
xereus_tmb_art_screaming_skull_catapult		xereus_tmb_art_screaming_skull_catapult	wh2_dlc09_tmb_skeleton_sword	xereus_tmb_art_screaming_skull_catapult
