base_unit	mounted_unit	icon_name
#units_custom_battle_mounts_tables;1;db/units_custom_battle_mounts_tables/extra_tomb_king_lords		
stephen_tmb_cha_tomb_king_1	stephen_tmb_cha_tomb_king_2	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
stephen_tmb_cha_tomb_king_1	stephen_tmb_cha_tomb_king_3	ui/campaign ui/mounts/mount_skeleton_chariot.png
stephen_tmb_cha_tomb_king_1	stephen_tmb_cha_tomb_king_4	ui/campaign ui/mounts/mount_warsphinx.png
stephen_tmb_cha_tomb_king_grief	stephen_tmb_cha_tomb_king_grief_horse	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
stephen_tmb_cha_tomb_king_grief	stephen_tmb_cha_tomb_king_grief_chariot	ui/campaign ui/mounts/mount_chariot_of_the_gods.png
stephen_tmb_cha_tomb_king_grief	stephen_tmb_cha_tomb_king_grief_warsphinx	ui/campaign ui/mounts/mount_warsphinx.png
stephen_tmb_cha_tomb_king_terror	stephen_tmb_cha_tomb_king_terror_horse	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
stephen_tmb_cha_tomb_king_terror	stephen_tmb_cha_tomb_king_terror_chariot	ui/campaign ui/mounts/mount_chariot_of_the_gods.png
stephen_tmb_cha_tomb_king_terror	stephen_tmb_cha_tomb_king_terror_warsphinx	ui/campaign ui/mounts/mount_warsphinx.png
stephen_tmb_cha_tomb_king_madness	stephen_tmb_cha_tomb_king_madness_horse	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
stephen_tmb_cha_tomb_king_madness	stephen_tmb_cha_tomb_king_madness_chariot	ui/campaign ui/mounts/mount_chariot_of_the_gods.png
stephen_tmb_cha_tomb_king_madness	stephen_tmb_cha_tomb_king_madness_warsphinx	ui/campaign ui/mounts/mount_warsphinx.png
stephen_tmb_cha_tomb_king_sacrament	stephen_tmb_cha_tomb_king_sacrament_horse	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
stephen_tmb_cha_tomb_king_sacrament	stephen_tmb_cha_tomb_king_sacrament_chariot	ui/campaign ui/mounts/mount_chariot_of_the_gods.png
stephen_tmb_cha_tomb_king_sacrament	stephen_tmb_cha_tomb_king_sacrament_warsphinx	ui/campaign ui/mounts/mount_warsphinx.png
