units_to_exclusive_faction_permissions_tables	0
key	faction	allowed
steve_ark_zmb	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_zmb_summon	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_grave_guard	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_terrorgheist	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_vargheist	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_mourngul	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_zmb_halberd	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_crypt_horror	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_grave_guard_great	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_cairn_wraith	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_rotting_leviathan	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_grave_guard_halberd	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_mortis_engine	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_tmb_liche_priest_vampire	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_tmb_liche_priest_vampire_1	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_zmb_gunner_mob	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_zmb_handgunner_mob	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_prometheans_gunnery_mob	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_nagashizzar_guard	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_skeleton_spearmen	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_skeleton_warriors	wh2_dlc09_tmb_followers_of_nagash	true
steve_ark_skeleton_archers	wh2_dlc09_tmb_followers_of_nagash	true
