key	text	tooltip
#Loc PackedFile;1;text/db/arkhan_technology_effects__.loc		
effects_description_tech_arkhan_crypt_ghoul_bonus_1	Weapon strength: %+n% for Crypt Ghouls	true
effects_description_tech_arkhan_crypt_ghoul_bonus_2	Melee attack: %+n for Crypt Ghouls	true
effects_description_tech_arkhan_crypt_ghoul_bonus_3	Speed: %+n% for Crypt Ghouls	true
effects_description_tech_arkhan_bats_defence	Melee defence: %+n for Fell Bats	true
effects_description_tech_arkhan_bats_phys_resistance	Physical resistance: %n% for Fell Bats	true
effects_description_tech_arkhan_bats_vanguard	Attribute: Vanguard Deployment for Fell Bats	true
effects_description_tech_arkhan_dire_wolves_bonus_1	Missile resistance: %n% for Dire Wolves	true
effects_description_tech_arkhan_dire_wolves_bonus_2	Speed: %+n% for Dire Wolves	true
effects_description_tech_arkhan_dire_wolves_bonus_3	Melee defence: %+n for Dire Wolves	true
effects_description_tech_arkhan_grave_guard_bonus_1	Weapon strength: %+n% for Grave Guard	true
effects_description_tech_arkhan_grave_guard_bonus_2	Melee defence: %+n for Grave Guard	true
effects_description_tech_arkhan_grave_guard_bonus_3	Melee attack: %+n for Grave Guard	true
effects_description_tech_arkhan_grave_guard_bonus_4	Armour: %+n for Grave Guard	true
effects_description_tech_arkhan_cairn_hex_mortis_wayfarer_enable	Passive ability: "Wayfarer" for Cairn Wraiths, Hexwraiths & Mortis Engines units	true
effects_description_tech_arkhan_ethereal_bonus_1	Magical resistance: %n% for Cairn Wraiths, Hexwraiths & Mortis Engines	true
effects_description_tech_arkhan_ethereal_bonus_2	Weapon strength: %+n% for Cairn Wraiths, Hexwraiths & Mortis Engines	true
effects_description_tech_arkhan_ethereal_bonus_3	Melee attack: %+n for Cairn Wraiths, Hexwraiths & Mortis Engines	true
effects_description_tech_arkhan_crypt_horror_bonus_1	Melee attack: %+n for Crypt Horrors	true
effects_description_tech_arkhan_crypt_horror_weapon_strength	Weapon strength: %+n% for Crypt Horrors	true
effects_description_tech_arkhan_crypt_horror_speed	Speed: %+n% for Crypt Horrors	true
effects_description_tech_arkhan_vargheist_weapon_strength	Weapon strength: %+n% for Vargheists	true
effects_description_tech_arkhan_vargheist_speed	Speed: %+n% for Vargheists	true
effects_description_tech_arkhan_vargheist_charge_bonus	Charge bonus: %+n for Vargheists	true
effects_description_tech_arkhan_terrorgheist_melee_attack	Melee attack: %+n for Terrorgheists	true
effects_description_tech_arkhan_terrorgheist_weapon_strength	Weapon strength: %+n% for Terrorgheists	true
effects_description_tech_arkhan_terrorgheist_charge_bonus	Charge bonus: %+n for Terrorgheists	true
effects_description_tech_arkhan_rank_7_defence_armour	Armour: %+n for Arkhan's Vampiric units {{tr:rank7}}	true
effects_description_tech_arkhan_rank_7_defence_melee_defence	Melee defence: %+n for Arkhan's Vampiric units {{tr:rank7}}	true
effects_description_tech_arkhan_rank_7_offence_weapon_strength	Weapon strength: %+n% for Arkhan's Vampiric units {{tr:rank7}}	true
effects_description_tech_arkhan_rank_7_offence_missile_strength	Missile strength: %+n% for all units {{tr:rank7}}	true
effects_description_tech_arkhan_rank_7_offence_melee_attack	Melee attack: %+n for Arkhan's Vampiric units {{tr:rank7}}	true
effects_description_tech_arkhan_army_1_missile_resistance	Missile resistance: %n% for Arkhan's Vampiric units	true
effects_description_tech_arkhan_army_2_magic_resistance	Magical resistance: %n% for Arkhan's Vampiric units	true
effects_description_tech_arkhan_army_3_physical_resistance	Physical resistance: %n% for Arkhan's Vampiric units	true
effects_description_tech_arkhan_enable_army_abilty_raise_skeletons	Army ability: "Raise Skeleton Warriors"	true
effects_description_tech_arkhan_enable_army_abilty_raise_skeletons_uses	Army ability number of uses: %+n for "Raise Skeleton Warriors"	true
effects_description_tech_arkhan_enable_army_ability_rain_of_souls	Army ability: "Rain of Souls"	true
effects_description_tech_arkhan_global_recruitment_duration_arkhan_vampiric_units	Global recruitment duration: %+n turn for Arkhan's Vampiric units	true
effects_description_skill_arkhan_crypt_ghouls_crypt_horrors_bonus_1	Armour: %+n for Crypt Ghouls & Crypt Horror units	true
effects_description_skill_arkhan_crypt_ghouls_crypt_horrors_bonus_2	Weapon strength: %+n% for Crypt Ghouls & Crypt Horror units	true
effects_description_skill_arkhan_crypt_ghouls_crypt_horrors_bonus_3	Missile resistance: %n% for Crypt Ghouls & Crypt Horror units	true
effects_description_skill_arkhan_fell_bats_dire_wolves_bonus_1	Charge bonus: %+n for Dire Wolves & Fell Bat units	true
effects_description_skill_arkhan_fell_bats_dire_wolves_bonus_2	Speed: %+n% for Dire Wolves & Fell Bat units	true
effects_description_skill_arkhan_fell_bats_dire_wolves_bonus_3	Weapon strength: %+n% for Dire Wolves & Fell Bat units	true
effects_description_skill_arkhan_grave_guard_bonus_1	Armour: %+n for Grave Guard units	true
effects_description_skill_arkhan_grave_guard_bonus_2	Melee defence: %+n for Grave Guard units	true
effects_description_skill_arkhan_grave_guard_bonus_3	Missile resistance: %n% for Grave Guard units	true
effects_description_skill_arkhan_cairn_wraiths_hexwraiths_mortis_bonus_1	Vigour loss reduction: %+n% for Cairn Wraiths, Hexwraiths & Mortis Engine units	true
effects_description_skill_arkhan_cairn_wraiths_hexwraiths_mortis_bonus_2	Weapon strength: %+n% for Cairn Wraiths, Hexwraiths & Mortis Engine units	true
effects_description_skill_arkhan_cairn_wraiths_hexwraiths_mortis_bonus_3	Speed: %+n% for Cairn Wraiths, Hexwraiths & Mortis Engine units	true
effects_description_skill_arkhan_vargheists_terrorgheists_bonus_1	Missile resistance: %n% for Vargheists & Terrorgheist units	true
effects_description_skill_arkhan_vargheists_terrorgheists_bonus_2	Speed: %+n% for Vargheists & Terrorgheist units	true
effects_description_skill_arkhan_vargheists_terrorgheists_bonus_3	Weapon strength: %+n% for Vargheists & Terrorgheist units	true
effects_description_skill_arkhan_tomb_skeleton_bonus_1	Armour: %+n for Skeleton Warriors & Spearmen units	true
effects_description_skill_arkhan_tomb_skeleton_bonus_2	Melee defence: %+n for Skeleton Warriors & Spearmen units	true
effects_description_skill_arkhan_tomb_skeleton_bonus_3	Speed: %+n% for Skeleton Warriors & Spearmen units	true
effects_description_skill_arkhan_tomb_skeleton_bonus_4	Ammunition: %+n% for Skeleton Archer units	true
effects_description_skill_arkhan_tomb_skeleton_bonus_5	Missile Strength: %+n% for Skeleton Archer units	true
effects_description_skill_arkhan_level_10_bonus_1	Armour: %+n for Arkhan's Vampiric units	true
