Loc PackedFile	1
key	text	tooltip
technologies_long_description_tech_arkhan_army_unlock_left		true
technologies_onscreen_name_tech_arkhan_army_unlock_left	Legions of Nagash	true
technologies_short_description_tech_arkhan_army_unlock_left	The incantations of Nagash are the darkest of fell rituals, not to be used lightly if at all. For while they may ease the burden of Unlife, they can also act as a siren call to their original author. Nagash has been gone long from this world, but should he ever return then doom awaits us all! 	true
technologies_long_description_tech_arkhan_army_unlock_right		true
technologies_onscreen_name_tech_arkhan_army_unlock_right	Legions of Sacrement	true
technologies_short_description_tech_arkhan_army_unlock_right	In the forsaken lands of Sylvania, the Undead battalions of the Vampire Counts gather. Upon fen and moor, creatures of darkness that have haunted the nightmares of Men for millennia break free from ancient cairns and age worn mausoleums, thundering the ground beneath them and eclipsing the moon as they spread their tattered wings and take to the skies.	true
technologies_long_description_tech_arkhan_nagash_army_ability_1		true
technologies_onscreen_name_tech_arkhan_nagash_army_ability_1	Dark Creatures	true
technologies_short_description_tech_arkhan_nagash_army_ability_1	Only the most foulest creatures lurk here....	true
technologies_long_description_tech_arkhan_nagash_army_ability_2		true
technologies_onscreen_name_tech_arkhan_nagash_army_ability_2	Black Tower	true
technologies_short_description_tech_arkhan_nagash_army_ability_2	Constructed in union with the accursed Black Pyramid, Arkhan's infernal spire and the lands that surround it are saturated with magic, and many vile things dwell in its shadow.	true
technologies_long_description_tech_arkhan_nagash_army_ability_3		true
technologies_onscreen_name_tech_arkhan_nagash_army_ability_3	Black Pyramid	true
technologies_short_description_tech_arkhan_nagash_army_ability_3	The first of Nagash's great and powerful edifices. Even millennia later it is still surrounded by fell magic.	true
technologies_long_description_tech_arkhan_nagash_rank_7_defence		true
technologies_onscreen_name_tech_arkhan_nagash_rank_7_defence	Cursed Relics	true
technologies_short_description_tech_arkhan_nagash_rank_7_defence	Now bolstered, Arkhan's legions will be unstoppable! 	true
technologies_long_description_tech_arkhan_nagash_rank_7_attack		true
technologies_onscreen_name_tech_arkhan_nagash_rank_7_attack	Unnatural Strength	true
technologies_short_description_tech_arkhan_nagash_rank_7_attack	With enough magic and jars, Arkhan's forces will swell in power!	true
technologies_long_description_tech_arkhan_lord_top_left		true
technologies_onscreen_name_tech_arkhan_lord_top_left	Priest King of Grief	true
technologies_short_description_tech_arkhan_lord_top_left	Grief and Pain are tools to be used without question.	true
technologies_long_description_tech_arkhan_lord_left_centre		true
technologies_onscreen_name_tech_arkhan_lord_left_centre	Defiled Dynasty	true
technologies_short_description_tech_arkhan_lord_left_centre	The Black Harvester.	true
technologies_long_description_tech_arkhan_lord_bottom_left		true
technologies_onscreen_name_tech_arkhan_lord_bottom_left	Proclamation of Befoulment	true
technologies_short_description_tech_arkhan_lord_bottom_left	All will succumb to Death.	true
technologies_long_description_tech_arkhan_lord_top_right		true
technologies_onscreen_name_tech_arkhan_lord_top_right	Priest King of Sacrement	true
technologies_short_description_tech_arkhan_lord_top_right	Save Nagash, none have mastered the art of necromancy to the extent that Arkhan has.	true
technologies_long_description_tech_arkhan_lord_right_centre		true
technologies_onscreen_name_tech_arkhan_lord_right_centre	Desecrated Dynasty	true
technologies_short_description_tech_arkhan_lord_right_centre	The Grave God.	true
technologies_long_description_tech_arkhan_lord_bottom_right		true
technologies_onscreen_name_tech_arkhan_lord_bottom_right	Proclamation of Despair	true
technologies_short_description_tech_arkhan_lord_bottom_right	There is no hope for the living....	true
technologies_long_description_tech_arkhan_nagash_monsters_1_1		true
technologies_onscreen_name_tech_arkhan_nagash_monsters_1_1	Strigoi Legacy	true
technologies_short_description_tech_arkhan_nagash_monsters_1_1	The legacy of the Strigoi runs deep among Ghoul-kind for it was at Mourkain, capital of the Strygos Empire, when they were at the pinnacle of their power. Now, the remnants of that bloodline scavenge amidst the Ghouls, awaiting a return to greatness. It is a racial memory that can be implanted into all Crypt Ghouls, if the correct rituals are used.   	true
technologies_long_description_tech_arkhan_nagash_monsters_1_2		true
technologies_onscreen_name_tech_arkhan_nagash_monsters_1_2	Bat Swarms	true
technologies_short_description_tech_arkhan_nagash_monsters_1_2	To blight the trees, blacken and twist them, is to create the perfect surrounding for creatures that skulk with the Undead. This may be wolves with black hearts or those who are dead already, or Fell Bats resting between feedings of blood and the bodies of domestic cats. 	true
technologies_long_description_tech_arkhan_nagash_monsters_1_3		true
technologies_onscreen_name_tech_arkhan_nagash_monsters_1_3	The Alpha of the Pack	true
technologies_short_description_tech_arkhan_nagash_monsters_1_3	To glean obedience from the notoriously feral Dire Wolves is to become the alpha whom they follow. The iron will of Vampires and Necromancers alike can achieve this through strength of mind, but the bestiary provides other, more efficient methods to make the hounds eager to join the fray and fight on the reader's behalf. 	true
