key	text	tooltip
#Loc PackedFile	1	text/db/extra_tomb_king_lords_agent_subtypes__.loc
agent_subtypes_description_text_override_arkhan_tmb_tomb_king		true
agent_subtypes_onscreen_name_override_arkhan_tmb_tomb_king	Tomb King	true
agent_subtypes_description_text_override_arkhan_tmb_tomb_king_grief		true
agent_subtypes_onscreen_name_override_arkhan_tmb_tomb_king_grief	Tomb King	true
agent_subtypes_description_text_override_arkhan_tmb_tomb_king_terror		true
agent_subtypes_onscreen_name_override_arkhan_tmb_tomb_king_terror	Tomb King	true
agent_subtypes_description_text_override_arkhan_tmb_tomb_king_madness		true
agent_subtypes_onscreen_name_override_arkhan_tmb_tomb_king_madness	Tomb King	true
agent_subtypes_description_text_override_arkhan_tmb_tomb_king_sacrament		true
agent_subtypes_onscreen_name_override_arkhan_tmb_tomb_king_sacrament	Tomb King	true
