key	text	tooltip
#Loc PackedFile;1;text/db/extra_tomb_king_lords_ancillaries__.loc		
ancillaries_onscreen_name_stephen_anc_mount_tomb_king_warsphinx	Khemrian Warsphinx	true
ancillaries_colour_text_stephen_anc_mount_tomb_king_warsphinx	Giant leonine statues, almost impervious to harm; they wade through foes, crushing them like bothersome insects.	true
ancillaries_onscreen_name_stephen_anc_mount_tomb_king_steed	Skeletal Steed	true
ancillaries_colour_text_stephen_anc_mount_tomb_king_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
ancillaries_onscreen_name_stephen_anc_mount_tomb_king_chariot	Skeleton Chariot	true
ancillaries_colour_text_stephen_anc_mount_tomb_king_chariot	The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.	true
ancillaries_onscreen_name_stephen_anc_mount_tomb_king_grief_chariot	Chariot of the Gods	true
ancillaries_colour_text_stephen_anc_mount_tomb_king_grief_chariot	Its wheels ablaze with a mystical flame, the blessings of the gods are carried by this mighty chariot.	true
ancillaries_onscreen_name_stephen_anc_mount_tomb_king_terror_chariot	Chariot of the Gods	true
ancillaries_colour_text_stephen_anc_mount_tomb_king_terror_chariot	Its wheels ablaze with a mystical flame, the blessings of the gods are carried by this mighty chariot.	true
ancillaries_onscreen_name_stephen_anc_mount_tomb_king_madness_chariot	Chariot of the Gods	true
ancillaries_colour_text_stephen_anc_mount_tomb_king_madness_chariot	Its wheels ablaze with a mystical flame, the blessings of the gods are carried by this mighty chariot.	true
ancillaries_onscreen_name_stephen_anc_mount_tomb_king_sacrament_chariot	Chariot of the Gods	true
ancillaries_colour_text_stephen_anc_mount_tomb_king_sacrament_chariot	Its wheels ablaze with a mystical flame, the blessings of the gods are carried by this mighty chariot.	true
