Loc PackedFile	1
key	text	tooltip
land_units_onscreen_name_stephen_tmb_cha_tomb_king_1	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_2	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_3	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_4	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_grief	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_grief_horse	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_grief_chariot	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_grief_warsphinx	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_terror	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_terror_horse	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_terror_chariot	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_terror_warsphinx	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_madness	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_madness_horse	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_madness_chariot	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_madness_warsphinx	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_sacrament	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_sacrament_horse	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_sacrament_chariot	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_sacrament_warsphinx	Tomb King	true
