key	text	tooltip
#Loc PackedFile;1;text/db/province_commandment_levels_ui_text_replacements__.loc		
ui_text_replacements_localised_text_geomantic_web_key_description_wh2_dlc09_sc_tmb_tomb_kings	The strength and influnce of the Great Necromancer affects the potency of your commandments across your undead empire. A settlement must be linked to another of equal or higher strength if it is to operate at its maximum potential strength.\\n\\nThe colour of the rings around settlements indicate the current strength of Nagash's  power there. A pulsing ring indicates that a settlement is not operating at its maximum potential strength - upgrade the strength of the link in nearby settlements in this case.	true
ui_text_replacements_localised_text_geomantic_web_strength_tooltip_wh2_dlc09_sc_tmb_tomb_kings	The strength of Nagash's power is determined by the strongest link between a province capital and its nearest neighbour. It dictates the level of the commandment that can be applied across this province.||Nagash's threads of power can be viewed by clicking on the dedicated button on the right-hand side of the campaign interface. Links can be strengthened by constructing the Great Necropolis building chain or via alliances.	true
ui_text_replacements_localised_text_hp_campaign_point_1_geomantic_web_wh2_dlc09_sc_tmb_tomb_kings		true
ui_text_replacements_localised_text_hp_campaign_point_2_geomantic_web_wh2_dlc09_sc_tmb_tomb_kings		true
ui_text_replacements_localised_text_hp_campaign_point_3_geomantic_web_wh2_dlc09_sc_tmb_tomb_kings		true
ui_text_replacements_localised_text_hp_campaign_point_4_geomantic_web_wh2_dlc09_sc_tmb_tomb_kings		true
ui_text_replacements_localised_text_hp_campaign_title_geomantic_web_wh2_dlc09_sc_tmb_tomb_kings	[[sl_tooltip:campaign_geomantic_web_link]]Necromantic Web[[/sl_tooltip]]	true
ui_text_replacements_localised_text_hp_campaign_title_geomantic_web_link_wh2_dlc09_sc_tmb_tomb_kings		true
ui_text_replacements_localised_text_geomantic_web_button_wh2_dlc09_sc_tmb_tomb_kings		true
ui_text_replacements_localised_text_hp_campaign_description_geomantic_web_wh2_dlc09_sc_tmb_tomb_kings	The Great Necromancer shall return! Show the mortal world that death comes for all!	true
campaign_localised_strings_string_commandments_level_tooltip	           Nagash's Strength: %d	true
campaign_localised_strings_string_province_panel_geomantic_web_label	           Nagash's Strength: %d	true
uied_component_texts_localised_string_button_geomantic_web_Tooltip_58000deds	Geomantic Web - Lizardmen||Necromantic Web - Followers of Nagash	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_asaph_1	Worship of Asaph	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_asaph_2	Worship of Asaph	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_asaph_3	Worship of Asaph	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_asaph_4	Worship of Asaph	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_djaf_1	Worship of Djaf	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_djaf_2	Worship of Djaf	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_djaf_3	Worship of Djaf	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_djaf_4	Worship of Djaf	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_khsar_1	Worship of Khsar	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_khsar_2	Worship of Khsar	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_khsar_3	Worship of Khsar	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_khsar_4	Worship of Khsar	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_phakth_1	Worship of Phakth	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_phakth_2	Worship of Phakth	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_phakth_3	Worship of Phakth	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_phakth_4	Worship of Phakth	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_ptra_1	Worship of Ptra	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_ptra_2	Worship of Ptra	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_ptra_3	Worship of Ptra	true
effect_bundles_localised_title_wh2_dlc09_edict_tmb_worship_of_ptra_4	Worship of Ptra	true
effects_description_arkhan_necromantic_dummy	Reinforces the Necromantic Web, indirectly improving commandments	true
