key	text	tooltip
#Loc PackedFile;1;text/db/sda_tomb_kings_building_chains__.loc		
building_chains_chain_tooltip_arkhan_awaken_battlefield	Battlefield	true
building_chains_chain_tooltip_arkhan_vmp_growth	Growth	true
building_chains_chain_tooltip_arkhan_vmp_income	Income	true
building_chains_chain_tooltip_arkhan_vmp_fell_tree	Vampire Beasts	true
building_chains_chain_tooltip_arkhan_vmp_halls_dead	Dark Nexus	true
building_chains_chain_tooltip_arkhan_minor_walls	Garrison	true
building_chains_chain_tooltip_arkhan_major_walls	Walls	true
building_chains_chain_tooltip_arkhan_vmp_barracks	Undead Legions	true
building_chains_chain_tooltip_arkhan_vmp_guns_powder	Guns	true
building_chains_chain_tooltip_arkhan_vmp_balefire	Balefire	true
building_chains_chain_tooltip_arkhan_vmp_great_necropolis	Necropolis	true
building_chains_chain_tooltip_arkhan_vmp_ushabti	Ushabti	true
