key	text	tooltip
#Loc PackedFile;1;text/db/sda_tomb_kings_building_culture_variants__.loc		
building_culture_variants_name_arkhan_minor_walls_1wh2_dlc09_tmb_followers_of_nagash	Desert Lookout	true
building_culture_variants_name_arkhan_minor_walls_2wh2_dlc09_tmb_followers_of_nagash	Tower of Bone	true
building_culture_variants_name_arkhan_major_walls_1wh2_dlc09_tmb_followers_of_nagash	Skeletal Garrison	true
building_culture_variants_name_arkhan_major_walls_2wh2_dlc09_tmb_followers_of_nagash	Sandstone Walls	true
building_culture_variants_name_arkhan_major_walls_3wh2_dlc09_tmb_followers_of_nagash	Engraved Walls	true
building_culture_variants_name_arkhan_awaken_battlefield_1wh2_dlc09_tmb_followers_of_nagash	Ancient Battlefield	true
building_culture_variants_name_arkhan_vmp_fell_tree_1wh2_dlc09_tmb_followers_of_nagash	Crypt Horrors	true
building_culture_variants_name_arkhan_vmp_fell_tree_2wh2_dlc09_tmb_followers_of_nagash	Vargheists	true
building_culture_variants_name_arkhan_vmp_fell_tree_3wh2_dlc09_tmb_followers_of_nagash	Terrorgheist Lair	true
building_culture_variants_name_arkhan_vmp_halls_dead_0wh2_dlc09_tmb_followers_of_nagash	Crypt	true
building_culture_variants_name_arkhan_vmp_halls_dead_1wh2_dlc09_tmb_followers_of_nagash	Halls of the Dead	true
building_culture_variants_name_arkhan_vmp_halls_dead_2wh2_dlc09_tmb_followers_of_nagash	Altar of Darkness	true
building_culture_variants_name_arkhan_vmp_guns_powder_1wh2_dlc09_tmb_followers_of_nagash	Rusty Pistol-Trove	true
building_culture_variants_name_arkhan_vmp_guns_powder_2wh2_dlc09_tmb_followers_of_nagash	Hoard of Filched Firearms	true
building_culture_variants_name_arkhan_vmp_guns_powder_3wh2_dlc09_tmb_followers_of_nagash	Armoury of the Soulless	true
building_culture_variants_name_arkhan_vmp_guns_powder_4wh2_dlc09_tmb_followers_of_nagash	Dead Pirates' Workshop	true
building_culture_variants_name_arkhan_vmp_balefire_1wh2_dlc09_tmb_followers_of_nagash	Balefire Brazier	true
building_culture_variants_name_arkhan_vmp_balefire_2wh2_dlc09_tmb_followers_of_nagash	Infernal Flames	true
building_culture_variants_name_arkhan_vmp_balefire_3wh2_dlc09_tmb_followers_of_nagash	Undeathly Hellfire	true
building_culture_variants_name_arkhan_vmp_great_necropolis_1wh2_dlc09_tmb_followers_of_nagash	Forbidden Archive	true
building_culture_variants_name_arkhan_vmp_great_necropolis_2wh2_dlc09_tmb_followers_of_nagash	Sanctum of Scrolls	true
building_culture_variants_name_arkhan_vmp_great_necropolis_3wh2_dlc09_tmb_followers_of_nagash	Necropolis of Dread	true
building_culture_variants_name_arkhan_vmp_ushabti_1wh2_dlc09_tmb_followers_of_nagash	Statuary of Khemri	true
building_culture_variants_name_arkhan_vmp_ushabti_2wh2_dlc09_tmb_followers_of_nagash	Statue of Phakth	true
