Loc PackedFile	1
key	text	tooltip
building_short_description_texts_short_description_arkhan_minor_walls_1	The lookouts are dark blotches on a horizon of sand; vigilant hawks against the horrors of the desert.	true
building_short_description_texts_short_description_arkhan_minor_walls_2	A column of gleaming bone holds a stern and ominous watch over the shifting and treacherous Nehekharan sands.	true
building_short_description_texts_short_description_arkhan_major_walls_1	The heat-bleached bone warriors of grim countenance watch over the battlements, watching for foes through hollowed sockets.	true
building_short_description_texts_short_description_arkhan_major_walls_2	These lithified walls have seen empires rise and fall, and endured the accession of doom. They hold.	true
building_short_description_texts_short_description_arkhan_major_walls_3	The hieroglyphics inscribed upon these battlements channel protective wards, fending off any would-be invaders.	true
building_short_description_texts_short_description_arkhan_awaken_battlefield_1	Some battles are fought over areas drenched in magic. The corpses that litter these sites are ripe for Necromancers…	true
building_short_description_texts_short_description_arkhan_vmp_fell_tree_1	Despite their hunched forms, Crypt Horrors loom above their smaller brethren, each one a monster of pale flesh and twisted bone.	true
building_short_description_texts_short_description_arkhan_vmp_fell_tree_2	Vargheists are the darkness within a Vampire's soul made manifest.	true
building_short_description_texts_short_description_arkhan_vmp_fell_tree_3	Terrorgheist are the largest and most ferocious bat species to have ever existed, so large and terrifying that they've grown to the size of Dragons.	true
building_short_description_texts_short_description_arkhan_vmp_halls_dead_0	This dark nexus houses the foulest creatures.	true
building_short_description_texts_short_description_arkhan_vmp_halls_dead_1	Ever growing in power, ethereal spirits are drawn from the Underworld.	true
building_short_description_texts_short_description_arkhan_vmp_halls_dead_2	Do not defy the will and fate of the Death God.	true
building_short_description_texts_short_description_arkhan_vmp_guns_powder_1	There's a fair chance that some of them won't work and some will explode, but that's not so important as their owners are already dead.	true
building_short_description_texts_short_description_arkhan_vmp_guns_powder_2	If it goes bang and doesn't blow the shooter to pieces, who cares where it came from?	true
building_short_description_texts_short_description_arkhan_vmp_guns_powder_3	Be wary of the Undead bearing projectiles.	true
building_short_description_texts_short_description_arkhan_vmp_guns_powder_4	What's been destroyed can be recreated.	true
building_short_description_texts_short_description_arkhan_vmp_balefire_1	Infernal flames and incantations spread the taint of undeath.	true
building_short_description_texts_short_description_arkhan_vmp_balefire_2	Hellfire and unholy flames spread the taint of undeath ever onwards.	true
building_short_description_texts_short_description_arkhan_vmp_balefire_3	The lands withered, wilted, offering no respite to the living. Only death and decay.	true
building_short_description_texts_short_description_arkhan_vmp_great_necropolis_1	Ancient and vengeful guardians patrol these dark corridors.	true
building_short_description_texts_short_description_arkhan_vmp_great_necropolis_2	Reeking and infused with Vampiric magic, the Necropolis swells with power.	true
building_short_description_texts_short_description_arkhan_vmp_great_necropolis_3	Behold, my Master's power!	true
building_short_description_texts_short_description_arkhan_vmp_ushabti_1	The City of Kings is an eternal monument to the sovereigns of the desert.	true
building_short_description_texts_short_description_arkhan_vmp_ushabti_2	May the God of the Skies bless the warriors that stride forth in his name.	true
