Loc PackedFile	1
key	text	tooltip
character_skills_localised_description_nagash_must_rise	Arkhan’s mastery of the dread art of necromancy is superior to even that of his fellow Mortarchs. He is so steeped in deathly sorcery that his presence bolsters and invorgates his forces.	true
character_skills_localised_name_nagash_must_rise	First of the Mortarchs	true
character_skills_localised_name_arkhan_skill_mount_tmb_wizard_unique_liche_priest_death_skeletal_steed	Skeletal Steed	true
character_skills_localised_description_arkhan_skill_mount_tmb_wizard_unique_liche_priest_death_skeletal_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
character_skills_localised_name_wh2_dlc09_skill_tmb_magic_vampires_raise_dead	Raise Dead	true
character_skills_localised_description_wh2_dlc09_skill_tmb_magic_vampires_raise_dead		true
character_skills_localised_name_wh2_dlc09_skill_tmb_magic_vampires_raise_dead_lord	Raise Dead	true
character_skills_localised_description_wh2_dlc09_skill_tmb_magic_vampires_raise_dead_lord		true
character_skills_localised_description_arkhan_skill_tmb_army_leadership	The dead do not sit idly by in Nehekhara...	true
character_skills_localised_name_arkhan_skill_tmb_army_leadership	Restless Dead	true
character_skills_localised_description_arkhan_skill_tmb_chariot_rampage	Clouds of deathly magic swirl around Arkhan.	true
character_skills_localised_name_arkhan_skill_tmb_chariot_rampage	Deathly Invocation	true
character_skills_localised_description_arkhan_skill_tmb_chariot_devastation	No creature is safe from the destructive power that Arkhan wields.....	true
character_skills_localised_name_arkhan_skill_tmb_chariot_devastation	Desert Wind	true
