key	text	tooltip
#Loc PackedFile;1;text/db/sda_tomb_kings_core_land_units__.loc		
land_units_onscreen_name_xereus_tmb_inf_zmb	Zombies	true
land_units_onscreen_name_xereus_tmb_inf_zmb_summon	Zombies	true
land_units_onscreen_name_xereus_tmb_inf_grave_guard	Grave Guard	true
land_units_onscreen_name_xereus_tmb_inf_grave_guard_great	Grave Guard (Great Weapons)	true
land_units_onscreen_name_xereus_tmb_mon_terrorgheist	Terrorgheist	true
land_units_onscreen_name_xereus_tmb_mon_vargheist	Vargheists	true
land_units_onscreen_name_xereus_tmb_mon_mourngul	Mournguls	true
land_units_onscreen_name_xereus_tmb_inf_zmb_halberd	Zombies (Halberds)	true
land_units_onscreen_name_xereus_tmb_mon_crypt_horror	Crypt Horrors	true
land_units_onscreen_name_xereus_tmb_inf_cairn_wraith	Cairn Wraiths	true
land_units_onscreen_name_xereus_tmb_mon_rotting_leviathan	Rotting Leviathan	true
land_units_onscreen_name_xereus_tmb_inf_grave_guard_halberd	Grave Guard (Halberds)	true
land_units_onscreen_name_xereus_tmb_veh_mortis_engine	Mortis Engine	true
land_units_onscreen_name_steve_ark_tmb_liche_priest_vampire	Liche Priest (Vampires)	true
land_units_onscreen_name_steve_ark_tmb_liche_priest_vampire_1	Liche Priest (Vampires)	true
land_units_onscreen_name_xereus_tmb_inf_zmb_gunner_mob	Zombies (Pistols)	true
land_units_onscreen_name_xereus_tmb_inf_zmb_handgunner_mob	Zombies (Handgunners)	true
land_units_onscreen_name_xereus_tmb_mon_prometheans_gunnery_mob	Gunnery Promethians 	true
land_units_onscreen_name_xereus_tmb_inf_nagashizzar_guard	Nagashizzar Guard	true
land_units_onscreen_name_xereus_tmb_inf_skeleton_spearmen	Skeleton Spearmen	true
land_units_onscreen_name_xereus_tmb_inf_skeleton_warriors	Skeleton Warriors	true
land_units_onscreen_name_xereus_tmb_inf_skeleton_archers	Skeleton Archers	true
land_units_onscreen_name_xereus_tmb_mon_zombie_dragon	Zombie Dragon	true
land_units_onscreen_name_xereus_tmb_mon_ushabti	Ushabti	true
land_units_onscreen_name_xereus_tmb_mon_ushabti_great	Ushabti (Great Bow)	true
land_units_onscreen_name_xereus_tmb_inf_tomb_guard	Tomb Guard	true
land_units_onscreen_name_xereus_tmb_inf_tomb_guard_halberd	Tomb Guard (Halberds)	true
land_units_onscreen_name_xereus_tmb_art_screaming_skull_catapult	Screaming Skull Catapult	true
